Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
Alonzo Gee;1400000;1320000;1063384;3250000;3500000;854389;479735;;;;;;;;;;;;;;;;;;;;
Alonzo Mourning;;;;;;;;;;2762500;2500000;1138500;5408700;4917000;20629800;18754800;16880000;15004800;13130000;11254800;9380000;4560000;3840000;3120000;2400000;;
Alton Ford;;;;;;;;;;;;;;586082;512435;332817;;;;;;;;;;;
Alton Lister;;;;;;;;;;;;;;;;;;;;272250;500000;300000;150000;;1283000;1333000;1700000
Alvin Heggs;;;;;;;;;;;;;;;;;;;;;;200000;;;;;
Alvin Jones;;;;;;;;;;;;;;;;332817;;;;;;;;;;;
Alvin Robertson;;;;;;;;;;;;;;;;;;;;;;2300000;2015000;1408000;1283000;1033000;870000
Alvin Williams;;;;;;;;;;4516484;103992;6300000;5850000;5500000;5350000;5350000;2100000;1925000;Unknown;242000;;;;;;;
Amal McCaskill;;;;;;;;;;;;;932546;688679;143277;465850;;485000;;20700;220000;;;;;;
Amar'e Stoudemire;;1499187;477150;21679893;19948799;18217705;16486611;16378325;15070550;13762775;12455000;2589023;2032200;1899720;1767120;;;;;;;;;;;;
Amir Johnson;12000000;12000000;7000000;6500000;6000000;5500000;5000000;3666666;3666667;3666666;664209;398762;;;;;;;;;;;;;;;
Anderson Varejao;1551659;443546;9800000;9036364;8368182;7700000;7281818;6300000;5784480;5356000;945600;866800;788000;;;;;;;;;;;;;;
Andrae Patterson;;;;;;;;;;;;;;;;;498500;385000;287500;;;;;;;;
Andray Blatche;;;8471339;1375604;1146337;6442083;5900000;3000000;2739669;2470000;664209;398762;;;;;;;;;;;;;;;
Andre Barrett;;;;;;;;;;;744551;;385277;;;;;;;;;;;;;;
Andre Brown;;;;;;;;;107908;711517;241591;;;;;;;;;;;;;;;;
Andre Dawkins;;;59687;;;;;;;;;;;;;;;;;;;;;;;;
Andre Drummond;22116750;3272091;2568360;2462400;2356320;;;;;;;;;;;;;;;;;;;;;;
Andre Emmett;;;;;;61433;;;;;;641748;385277;;;;;;;;;;;;;;
Andre Iguodala;11131368;11710456;12289544;12868632;14968250;13531750;12345250;12200000;11300000;2804889;2201640;2058000;1914480;;;;;;;;;;;;;;
Andre Miller;;1499187;4650000;5000000;5000000;7807728;7269264;6730800;10333334;9366666;8733333;8100000;7366667;8000000;2460709;1934520;1808400;1682280;;;;;;;;;
Andre Owens;;;;;;;;;;687456;676800;398762;;;;;;;;;;;;;;;
Andre Roberson;2183072;1210800;1160880;1110840;;;;;;;;;;;;;;;;;;;;;;;
Andre Spencer;;;;;;;;;;;;;;;;;;;;;;;;250000;;;
Andre Turner;;;;;;;;;;;;;;;;;;;;;;;;;140000;130000;110000
Andrea Bargnani;323599;1362897;11500000;11862500;10000000;9250000;8500000;6527491;5176440;4838880;4501200;;;;;;;;;;;;;;;;
Andreas Glyniadakis;;;;;;;;;;;161061;;;;;;;;;;;;;;;;
Andrei Kirilenko;;;3326235;3183000;9779349;;17823000;16452000;15106000;13735000;12364000;10983000;1671694;955800;893400;831120;;632400;;;;;;;;;
Andres Guibert;;;;;;;;;;;;;;;;;;;;;;;175000;;;;
Andres Nocioni;;;;;;6650000;6850000;7500000;8000000;8500000;3950000;2775000;2525000;;;;;;;;;;;;;;
Andrew Bogut;11027027;13800000;12972973;14000000;13000000;12000000;11000000;10000000;6294310;4991520;4665960;4340520;;;;;;;;;;;;;;;
Andrew Bynum;;;;6000000;16889000;14900000;13700000;12526998;2769300;2172000;2030280;1888680;;;;;;;;;;;;;;;
Andrew DeClercq;;;;;;;;;;;;;2500000;2500000;3262500;2900000;1920000;1680000;1440000;1200000;276000;230000;;;;;
Andrew Gaze;;;;;;;;;;;;;;;;;;460000;350000;;;;;;;;
Andrew Goudelock;;196181;;;;473604;;;;;;;;;;;;;;;;;;;;;
Andrew Harrison;945000;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrew Lang;;;;;;;;;;;;;;;;;;510000;3068000;2700000;2332000;1964000;1596000;1228000;1040000;700000;600000
Andrew Nicholson;6088993;2380594;1545840;1482000;1418160;;;;;;;;;;;;;;;;;;;;;;
Andrew Toney;;;;;;;;;;;;;;;;;;;;;;;;;;450000;
Andrew Wiggins;6006600;5758680;5510640;;;;;;;;;;;;;;;;;;;;;;;;
Andris Biedrins;;;;9000000;9000000;9000000;9000000;9000000;9000000;2636696;1986960;1857360;1727760;;;;;;;;;;;;;;
Andy Panko;;;;;;;;;;;;;;;;;;5000;;;;;;;;;
Andy Rautins;;;;;;788872;600000;;;;;;;;;;;;;;;;;;;;
Andy Toolson;;;;;;;;;;;;;;;;;;;;;;310000;;;;250000;120000
Anfernee Hardaway;;;;;;;;;;320142;;15750000;14625000;13500000;12375000;11250000;10130000;9000000;8505000;7580000;6655000;5230000;4305000;1244000;;;
Ansu Sesay;;;;;;;;;;;;;745046;688679;612435;;508000;535000;287500;;;;;;;;
Antawn Jamison;;;;1399507;1352181;15076715;13358905;11641095;9923285;16360094;15101625;13843156;12584688;11326219;10067750;3388176;2678400;2503800;1940000;;;;;;;;
Anthony Avent;;;;;;;;;;;;;;;;;;510000;;;;950000;800000;650000;500000;;
