Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
Bryant Stith;;;;;;;;;;;;;;;2000000;2000000;5920000;5290000;4666000;4030000;3400000;1550000;1375000;1100000;850000;;
Bryce Cotton;;60004;152201;;;;;;;;;;;;;;;;;;;;;;;;
Bryce Dejean-Jones;;164674;;;;;;;;;;;;;;;;;;;;;;;;;
Bryce Drew;;;;;;;;;;;;;;1300000;1300000;1300000;1182600;1105560;857000;;;;;;;;
Bryn Forbes;543471;;;;;;;;;;;;;;;;;;;;;;;;;;
Bryon Russell;;;;;;;;;;;;1138500;1100000;1070000;1400000;5142857;4570000;4000000;3428000;2857144;385000;300000;265000;150000;;;
Bubba Wells;;;;;;;;;;;;;;;;;;;312000;260000;;;;;;;
Buck Johnson;;;;;;;;;;;;;;;;;;;;;;;;715000;550000;775000;675000
Buck Williams;;;;;;;;;;;;;;;;;;;1670000;1431000;1193000;3400000;3200000;5050000;1850000;1700000;1550000
Byron Houston;;;;;;;;;;;;;;;;;;;;;;800000;700000;600000;500000;;
Byron Irvin;;;;;;;;;;;;;;;;;;;;;;;;;;;375000
Byron Mullens;;;;947907;2253306;1288200;1204200;1120200;;;;;;;;;;;;;;;;;;;
Byron Scott;;;;;;;;;;;;;;;;;;510000;;;247500;1650000;1550000;650000;1100000;1100000;1100000
C.J. McCollum;3219579;2525160;2421000;2316720;;;;;;;;;;;;;;;;;;;;;;;
C.J. Miles;4583450;4394225;4205000;2225000;2225000;3700000;3700000;3700000;3700000;770610;664209;398762;;;;;;;;;;;;;;;
C.J. Watson;5000000;5000000;2077000;2016000;992680;3400000;3100000;1000497;711517;125479;;;;;;;;;;;;;;;;;
C.J. Wilcox;1209600;1159680;1109760;;;;;;;;;;;;;;;;;;;;;;;;
Cal Bowdler;;;;;;;;;;;;;;;;1179720;1102800;1025880;;;;;;;;;
Calbert Cheaney;;;;;;;;;;;;1760000;1600000;1070000;1000000;2400000;2200000;2000000;4000000;3600000;3200000;2800000;2400000;2000000;;;
Calvin Booth;;;;;;;;;1319651;1103225;6629891;6354600;5900700;5446800;4992900;4539000;423500;301875;;;;;;;;;
Cameron Bairstow;;845059;507336;;;;;;;;;;;;;;;;;;;;;;;;
Cameron Jones;50000;;;;;;;;;;;;;;;;;;;;;;;;;;
Cameron Payne;2112480;2021520;;;;;;;;;;;;;;;;;;;;;;;;;
Carl Herrera;;;;;;;;;;;;;;;;;;;662500;1820000;1550000;1300000;1350000;1000000;800000;325000;
Carl Landry;6500000;6500000;6750000;6500000;4000000;8500000;3000000;3000000;3000000;427163;;;;;;;;;;;;;;;;;
Carl Thomas;;;;;;;;;;;;;;;;;;;;272250;247500;;;;;;
Carldell Johnson;;;;;;168035;;;;;;;;;;;;;;;;;;;;;
Carlos Arroyo;;;;;;;1223166;1107572;;4100000;4100000;4000000;4000000;800000;546000;332817;;;;;;;;;;;
Carlos Boozer;;;13550000;15300000;15000000;13500000;14400000;13520500;11593817;11260483;11260483;11593816;10967500;563679;349458;;;;;;;;;;;;
Carlos Delfino;650000;;3250000;3250000;3000000;3500000;3500000;3500000;;1868141;1037280;969696;901920;;;;;;;;;;;;;;
Carlos Rogers;;;;;;;;;;;;;;;;778350;2200000;2100000;2000000;1900000;1144000;930000;715000;;;;
Carlos Strong;;;;;;;;;;;;;;;;;;;;;220000;;;;;;
Carmelo Anthony;24559380;22875000;22458401;21388953;19450000;18518574;17149243;15779912;14410581;13041250;4694041;3713640;3471360;3229200;;;;;;;;;;;;;
Caron Butler;517220;1449187;4500000;8000000;8000000;8000000;10561960;9780970;9249980;8218990;7438000;2461617;1930680;1804680;1678800;;;;;;;;;;;;
Carrick Felix;;;;510000;;;;;;;;;;;;;;;;;;;;;;;
Cartier Martin;;1270964;1145685;876332;915852;;854389;86638;200252;;;;;;;;;;;;;;;;;;
Casey Jacobsen;;;;;;;;;;826269;31250;;1082160;1011600;941040;;;;;;;;;;;;
Casey Shaw;;;;;;;;;;;;;;;;;;25000;287500;;;;;;;;
Casper Ware;;;;69202;;;;;;;;;;;;;;;;;;;;;;;
Cat Barber;50000;;;;;;;;;;;;;;;;;;;;;;;;;;
Cedric Bozeman;;;;;;;;;;;412718;;;;;;;;;;;;;;;;
Cedric Ceballos;;;;;;;;;;;;;;;;;3937500;3500000;750000;2605000;2400000;2245000;1750000;2000000;350000;250000;175000
Cedric Henderson;;;;;;;;;;;;;;;;3000000;2700000;2400000;250000;250000;;;;;;;
Cedric Jackson;;;;;;;;53834;;;;;;;;;;;;;;;;;;;
Cedric Simmons;;;;;;;;;1742760;1629120;1515480;;;;;;;;;;;;;;;;
Cezary Trybanski;;;;;;;;;;;;;1700000;1600000;1500000;;;;;;;;;;;;
Chandler Parsons;22116750;15361500;14700000;926500;888250;850000;;;;;;;;;;;;;;;;;;;;;
Channing Frye;7806971;8193029;8579088;6400000;6000000;5600000;5200000;2000000;3163769;2487240;2325000;2162880;;;;;;;;;;;;;;;
Charles Barkley;;;;;;;;;;;;;;;;;;9000000;1000000;2250000;4695000;4760000;4030000;3250000;2420000;3200000;2900000
Charles Claxton;;;;;;;;;;;;;;;;;;;;;;200000;;;;;
Charles Jenkins;;;;;762195;473604;;;;;;;;;;;;;;;;;;;;;
Charles Jones;;;;;;;;;;;;;;;;;;385000;287500;;247500;350000;;;875000;750000;675000
Charles Oakley;;;;;;;;;;;;;;;1030000;6545000;5760000;5236000;10186000;2850000;2600000;2400000;2200000;1950000;1050000;1050000;1050000
Charles O'Bannon;;;;;;;;;;;;;;;;;;;320000;320000;;;;;;;
Charles Shackleford;;;;;;;;;;;;;;;;;;;537500;;;;650000;;1720000;1332000;
Charles Smith;;;;;;;;;;;;771123;;;637435;540850;;779960;677080;619200;3557000;225000;2857000;2557000;1250000;1050000;1000000
Charles Thomas;;;;;;;;;;;;;;;;;;;;;;;;;;130000;
Charlie Bell;;;;;;4099920;4447792;3596000;3354480;3100000;744551;641748;;;;89292;;;;;;;;;;;
Charlie Villanueva;;1499187;1316809;8580000;8060000;7540000;7020000;6500000;3448050;2715000;2537880;2360880;;;;;;;;;;;;;;;
Charlie Ward;;;;;;;;;;;;1870000;1700000;6030000;5570000;5110000;5040000;4540000;1221000;1054500;888000;722000;555000;;;;
Chase Budinger;;5000000;5000000;5000000;885120;854389;780871;457588;;;;;;;;;;;;;;;;;;;
Chasson Randle;100000;;;;;;;;;;;;;;;;;;;;;;;;;;
Chauncey Billups;;;;2500000;4000000;2000032;13150000;12100000;11050000;10000000;6364400;5909800;5455200;5000600;4546000;2475000;2250000;3100080;2742000;2384640;;;;;;;
Cheikh Samb;;;;;;;;;797581;427163;;;;;;;;;;;;;;;;;
Cherokee Parks;;;;;;;;;;;;;;228946;824935;715850;2100000;1925000;2000000;1262640;1117000;971000;;;;;
Chris Andersen;1551659;5000000;5375000;4818000;4526000;4234000;4533300;3650000;998398;;;3500000;1600000;638679;512435;288171;;;;;;;;;;;
Chris Anstey;;;;;;;;;;;;;;;;;;1113720;985200;713900;;;;;;;
Chris Babb;;;72234;138404;;;;;;;;;;;;;;;;;;;;;;;
Chris Bosh;23741060;22192730;20644400;19067500;17545000;16022500;14500000;15779912;14410581;12455000;4235220;3348000;3129720;2911320;;;;;;;;;;;;;
Chris Carr;;;;;;;;;;;;;;;;;1200000;30000;1000000;900000;750000;200000;;;;;
Chris Carrawell;;;;;;;;;;;;;;;;;316969;;;;;;;;;;
Chris Childs;;;;;;;;;;;;;;1166667;1750000;5200000;4680000;4160000;3640000;3120000;2600000;350000;150000;;;;
Chris Copeland;;1150000;3130000;3000000;473604;;;;;;;;;;;;;;;;;;;;;;
Chris Corchiani;;;;;;;;;;;;;;;;;;;;;;;;150000;300000;;
Chris Crawford;;;;;;;;;;;;;3250000;3000000;2750000;2500000;2200000;2000000;350000;242000;;;;;;;
Chris Douglas-Roberts;;;1063384;684380;72892;;854389;736000;442411;;;;;;;;;;;;;;;;;;
Chris Dudley;;;;;;;;;;;;;;;1030000;6200000;6200000;7100000;Unknown;1135000;4100000;3800000;3500000;790000;1200000;1000000;950000
Chris Duhon;;;;1500000;3500000;3500000;3500000;6031800;5585000;3248000;3024000;2800000;385277;;;;;;;;;;;;;;
Chris Garner;;;;;;;;;;;;;;;;;;;;242000;;;;;;;
Chris Gatling;;;;;;;;;;;;;;;;2504227;5550000;4875200;4266000;3656400;3047000;1540000;1330000;1120000;910000;700000;
Chris Herren;;;;;;;;;;;;;;;;;316969;301875;;;;;;;;;
Chris Hunter;;;;;;;;632455;;;;;;;;;;;;;;;;;;;
Chris Jefferies;;;;;;;;;;;;;899040;840360;781800;;;;;;;;;;;;
Chris Jent;;;;;;;;;;;;;;;;;;;;;247500;;250000;;;;
Chris Johnson;;947276;107676;417638;61290;762195;136509;;;;;;;;;;;;;;;;;;;;
Chris Kaman;;5016000;4800000;3183000;8000000;14030000;11800000;10400000;9500000;8600000;3491768;2753760;2574240;2394600;;;;;;;;;;;;;
Chris King;;;;;;;;;;;;;;;;;;;;;;225000;;;;;
Chris McCray;;;;;;;;;;;161061;;;;;;;;;;;;;;;;
Chris McCullough;1191480;1140240;;;;;;;;;;;;;;;;;;;;;;;;;
Chris Mihm;;;;;;;;;2500000;2500000;4214241;3792817;3371393;2809494;2212200;2067960;1923600;;;;;;;;;;
Chris Mills;;;;;;;;;;;;;;6600000;6000000;5400000;4800000;4200000;3600000;3000000;1235000;1040000;845000;650000;;;
Chris Morris;;;;;;;;;;;;;;;;;;;1000000;3000000;2500000;2500000;2060000;1785000;1510000;650000;750000
Chris Mullin;;;;;;;;;;;;;;;;;1000000;4079100;3510000;2941500;2844000;2844000;2844000;2844000;2844000;2844000;2850000
Chris Owens;;;;;;;;;;;;;;;349458;;;;;;;;;;;;
Chris Paul;22868827;21486695;20068563;18686431;17779458;16359805;14940153;13520500;4574189;3615960;3380160;3144240;;;;;;;;;;;;;;;
Chris Porter;;;;;;;;;;;;;;;;465850;316969;;;;;;;;;;
Chris Quinn;;;;;;;861978;1055000;972581;687456;412718;;;;;;;;;;;;;;;;
Chris Richard;;;;;;;;43319;;427163;;;;;;;;;;;;;;;;;
Chris Robinson;;;;;;;;;;;;;;;;;;;375000;325000;220000;;;;;;
Chris Singleton;;;;1707720;1596360;1485000;;;;;;;;;;;;;;;;;;;;;
Chris Smith;;;;181655;;;;;;;;;;;;;;;;;;;355000;270000;200000;;
Chris Taft;;;;;;;;;;;664209;423762;;;;;;;;;;;;;;;
Chris Webber;;;;;;;;;;602173;661024;19125000;17531250;15937500;14343750;12750000;12000000;11000000;10000000;9000000;8000000;7000000;2080000;1600000;;;
Chris Whitney;;;;;;;;;;;;;;1070000;3000000;2700000;2370000;1680000;1440000;1200000;400000;50000;182900;150000;;;
Chris Wilcox;;;;;1352181;3000000;3000000;3000000;6750000;6500000;6250000;2812239;2210880;2066760;1922520;;;;;;;;;;;;
Chris Wright;100000;;;102089;;473604;;;;;;;;;;;;;;;;;;;;;
Christian Eyenga;;;;;1174080;1097520;1020960;;;;;;;;;;;;;;;;;;;;
Christian Laettner;;;;;;;;;;;;;5500000;5625000;5062500;4500000;6625000;6062500;5360000;5050000;4500000;3910000;3360000;2730000;2100000;;
Christian Wood;874636;298278;;;;;;;;;;;;;;;;;;;;;;;;;
Chuck Hayes;;64515;5958750;5722500;5486250;5250000;1972500;2111750;1768000;1750000;664209;;;;;;;;;;;;;;;;
Chuck Nevitt;;;;;;;;;;;;;;;;;;;;;;;;;;118000;
Chuck Person;;;;;;;;;;;;;;;;;1200000;510000;1000000;2470000;2060000;1690000;1300000;2156000;2156000;2156000;2150000
Chucky Atkins;;;;;;;;1306455;3240000;3000000;3000000;4500000;4200000;3900000;3600000;3300000;3000000;385000;;;;;;;;;
Chucky Brown;;;;;;;;;;;;;;;;;;510000;850000;272250;500000;425000;;;140000;640000;630000
Clarence Weatherspoon;;;;;;;;;;;;6353200;5899400;5445600;4991800;4638000;2100000;1925000;1750000;2800000;3300000;4500000;4000000;1040000;800000;;
Cleanthony Early;;845059;507336;;;;;;;;;;;;;;;;;;;;;;;;
Cliff Alexander;;525093;;;;;;;;;;;;;;;;;;;;;;;;;
Cliff Levingston;;;;;;;;;;;;;;;;;;;;;;;650000;;;1350000;750000
Cliff Robinson;;;;;;;;;;;;;;;;;;6125000;;;;;;;140000;474000;250000
Clifford Robinson;;;;;;;;;;500000;1600000;2500000;5287500;4700000;8421875;7656250;6890000;;3500000;1000000;2924000;3018000;2732000;2336000;;;
Clifford Rozier;;;;;;;;;;;;;;;;;;;;272250;1040000;845000;650000;;;;
Clint Capela;1296240;1242720;1189200;;;;;;;;;;;;;;;;;;;;;;;;
Clint McDaniel;;;;;;;;;;;;;;;;;;;;;;200000;;;;;
Clyde Drexler;;;;;;;;;;;;;;;;;;;;5500000;5500000;9810000;1578000;1578000;1378000;1378000;1180000
Coby Karl;;;;;;;;311896;;427163;;;;;;;;;;;;;;;;;
Cody Zeller;5318313;4204200;4300560;3857040;;;;;;;;;;;;;;;;;;;;;;;
Cole Aldrich;7643979;1100602;981084;916099;2445480;2286000;2126520;;;;;;;;;;;;;;;;;;;;
Constantin Popa;;;;;;;;;;;;;;;;;;;;;;15000;;;;;
Corey Beck;;;;;;;;;;;;;;;;;;;425000;272250;;Unknown;;;;;
Corey Benjamin;;;;;;;;;;;;;;;;;749160;696000;540000;;;;;;;;
Corey Brewer;7612172;8229375;4702500;4500000;3243000;3059000;3703472;2916120;2725920;2535720;;;;;;;;100000;;;;;;;;;
Corey Crowder;;;;;;;;;;;;;;;;;;;;;;;142982;;250000;130000;
Corey Gaines;;;;;;;;;;;;;;;;;;;;;;225000;;;13000;;
Corey Maggette;;;;;10924138;10262069;9600000;8937931;8275862;7000000;7000000;7000000;7000000;7000000;2069764;1448400;1353960;1259400;;;;;;;;;
Corey Williams;;;;;;;;;;;;;;;;;;;;;;;;;200000;;
Corie Blount;;;;;;;;;;;;;;1680000;1400000;1609235;1320000;1100000;537500;1430000;1235000;1040000;845000;620000;;;
Corliss Williamson;;;;;;;;;;;6500000;6000000;5500000;5000000;4500000;4000000;3940000;3560000;500000;1199520;1051000;923000;;;;;
Corsley Edwards;;;;;;;;;;;;;319498;;;;;;;;;;;;;;
Cory Alexander;;;;;;;;;;;;;;2302778;2149259;1995741;2160000;1980000;Unknown;562380;521000;490000;;;;;
Cory Carr;;;;;;;;;;;;;;;;;;;287500;;;;;;;;
Cory Higgins;;;;;44835;473604;;;;;;;;;;;;;;;;;;;;;
Cory Jefferson;;254779;507336;;;;;;;;;;;;;;;;;;;;;;;;
Cory Joseph;7315000;7000000;2134593;1182600;1105560;1028400;;;;;;;;;;;;;;;;;;;;;
Coty Clarke;;62141;;;;;;;;;;;;;;;;;;;;;;;;;
Courtney Alexander;;;;;;;;;;;;;79029;2168193;1517280;1418400;1319400;;;;;;;;;;
Courtney Fortson;;;;;;42009;;;;;;;;;;;;;;;;;;;;;
Courtney Lee;11242000;5675000;5450000;5225000;5000000;2225093;1409040;1264440;1176240;;;;;;;;;;;;;;;;;;
Courtney Sims;;;;;;;;;184648;112130;;;;;;;;;;;;;;;;;
Craig Brackins;;;;;;1404960;1306920;;;;;;;;;;;;;;;;;;;;
Craig Ehlo;;;;;;;;;;;;;;;;;;;504082;432081;360000;1855000;2650000;1200000;1075000;925000;925000
Craig Hodges;;;;;;;;;;;;;;;;;;;;;;;;;400000;700000;600000
Craig Smith;;;;;;992680;2300000;2500000;2500000;687456;412718;;;;;;;;;;;;;;;;
Cristiano Felicio;874636;525093;;;;;;;;;;;;;;;;;;;;;;;;;
Curtis Blair;;;;;;;;;;;;;;;;;;;;;;;;;25000;;
Curtis Borchardt;;;;;;;;;;;;1969993;1280880;1187240;1113720;;;;;;;;;;;;
Cuttino Mobley;;;;;;;;9500000;9100000;8350000;8125000;7200000;5884500;5394125;4903750;4413375;3920000;385000;287500;;;;;;;;
D.J. Augustin;7250000;3000000;3000000;755459;3500000;3236470;2540400;2385480;2208960;;;;;;;;;;;;;;;;;;
D.J. Kennedy;50000;;;;;;;;;;;;;;;;;;;;;;;;;;
D.J. Mbenga;;;;;;;1069509;959111;1971941;1800000;1628959;880000;800000;;;;;;;;;;;;;;
D.J. Stephens;35000;;;28834;;;;;;;;;;;;;;;;;;;;;;;
D.J. Strawberry;;;;;;;;;;427163;;;;;;;;;;;;;;;;;
D.J. White;;;;163179;269368;2001167;1108680;1036440;964080;;;;;;;;;;;;;;;;;;
Daequan Cook;;;;;589769;3341558;2169857;1362120;1273200;1184400;;;;;;;;;;;;;;;;;
Dahntay Jones;18255;8871;783889;;2900000;2700000;2500000;2500000;926678;753767;1886113;1223160;1143360;1063680;;;;;;;;;;;;;
DaJuan Summers;;;;;;303137;762195;457588;;;;;;;;;;;;;;;;;;;
Dajuan Wagner;;;;;;;;;;;771331;;2643600;2471280;2298840;;;;;;;;;;;;
Dale Davis;;;;;;;;;;;3500000;3500000;10068750;9061875;8055000;7010000;6000000;4490000;4038000;5273333;6508000;4050000;4050000;688000;559000;430000;
Dale Ellis;;;;;;;;;;;;;;;;;2290000;2095250;1750000;1920000;1600000;1310000;1007500;1300000;1000000;1300000;1250000
Dalibor Bagaric;;;;;;;;;;;;;;1599076;830947;854640;795000;;;;;;;;;;
Damian Lillard;24328425;4236287;3340920;3202920;3065040;;;;;;;;;;;;;;;;;;;;;;
Damien Inglis;;855000;820000;;;;;;;;;;;;;;;;;;;;;;;;
Damien Wilkins;;;;;1223166;1146337;748656;3300000;3100000;2900000;2700000;2500000;385277;;;;;;;;;;;;;;
Damion James;;;;75443;50258;1243080;1156320;;;;;;;;;;;;;;;;;;;;
Damion Lee;50000;;;;;;;;;;;;;;;;;;;;;;;;;;
Damir Markota;;;;;;;;;;;412718;;;;;;;;;;;;;;;;
Damjan Rudez;980431;1149500;1100000;;;;;;;;;;;;;;;;;;;;;;;;
Damon Bailey;;;;;;;;;;;;;;;;;;;;;;250000;150000;;;;
Damon Jones;;;;;;;;;4460186;4172432;3884678;3590000;2503000;751179;637435;565850;710000;106441;287500;;;;;;;;
Damon Stoudamire;;;;;;;;;2325000;4350000;4050000;3750000;12500000;12375000;12375000;12375000;11250000;10125000;9000000;1748760;1547000;1345000;;;;;
Damone Brown;;;;;;;;;;;;;;202508;;332817;;;;;;;;;;;
Dan Dickau;;;;;;;;;;926678;2753218;2250000;893400;835200;776880;;;;;;;;;;;;
Dan Gadzuric;;;;;;;7248325;6749260;6250195;5751130;5252065;4750000;695046;563679;349458;;;;;;;;;;;;
Dan Godfread;;;;;;;;;;;;;;;;;;;;;;;;;;100000;
Dan Langhi;;;;;;;;;;;;;;72843;587435;465850;316969;;;;;;;;;;
Dan Majerle;;;;;;;;;;;;;;;;1000000;4050000;3600000;3290000;2820000;2350000;3100000;3000000;2975000;735000;535000;430000
Dan O'Sullivan;;;;;;;;;;;;;;;;;;;;;;;;;140000;;
Dana Barros;;;;;;;;;;;;;;;;1600000;3700000;3500000;3500000;3400000;3400000;3300000;937500;750000;500000;500000;500000
D'Angelo Russell;5332800;5103120;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel Ewing;;;;;;;;;;;664209;450000;;;;;;;;;;;;;;;
Daniel Gibson;;;;;4792332;4403834;4015334;4088500;3700000;687456;412718;;;;;;;;;;;;;;;;
Daniel Horton;;;;;;;;;;;75000;;;;;;;;;;;;;;;;
Daniel Ochefu;543471;;;;;;;;;;;;;;;;;;;;;;;;;;
Daniel Orton;;;;201839;757712;1105560;1028400;;;;;;;;;;;;;;;;;;;;
Daniel Santiago;;;;;;;;;;;;;1320000;1200000;;465850;316969;;;;;;;;;;
Danilo Gallinari;15050000;14000000;10854850;10146925;9439000;4190182;3304560;3089040;2873520;;;;;;;;;;;;;;;;;;
Danny Ainge;;;;;;;;;;;;;;;;;;;;;;;2080000;1690000;1330000;725000;725000
Danny Ferry;;;;;;;;;;;;;;;4546000;1000000;1200000;4000000;4000000;4000000;4643000;4643000;4042000;3543000;3143000;2843000;2640000
Danny Fortson;;;;;;;;;;;6596990;6207670;5818136;5428602;5039068;4649534;3950000;1678800;1485000;1291440;;;;;;;
Danny Granger;;2100000;2100000;357452;13058606;12015904;10973202;9930500;2329805;1516800;1417800;1318920;;;;;;;;;;;;;;;
Danny Green;10000000;10000000;4025000;3762500;3500000;854389;94154;457588;;;;;;;;;;;;;;;;;;;
Danny Manning;;;;;;;;;;;;;;;900000;1500000;6830000;6833333;6833000;6833333;6833000;6833000;1000000;3250000;2600000;2300000;2200000
Danny Schayes;;;;;;;;;;;;;;;;;;211765;1000000;690000;575000;Unknown;672000;1750000;1600000;1600000;1500000
Danny Young;;;;;;;;;;;;;;;;;;;;;;;150000;;;550000;450000
Dante Cunningham;2978250;2850000;831942;2180000;2090000;2000000;762195;457588;;;;;;;;;;;;;;;;;;;
Dante Exum;3940320;3777720;3615000;;;;;;;;;;;;;;;;;;;;;;;;
Danuel House;543471;;;;;;;;;;;;;;;;;;;;;;;;;;
Darington Hobson;;;;;;245884;103078;;;;;;;;;;;;;;;;;;;;
Dario Saric;2318280;;;;;;;;;;;;;;;;;;;;;;;;;;
Darius Johnson-Odom;;;;46404;192228;;;;;;;;;;;;;;;;;;;;;;
Darius Miles;;;;;;;;9000000;704752;8250000;7750000;7250000;6750000;4130701;3267960;3054840;2841720;;;;;;;;;;
Darius Miller;;;915243;788872;473604;;;;;;;;;;;;;;;;;;;;;;
Darius Morris;;;702156;104034;962195;473604;;;;;;;;;;;;;;;;;;;;;
Darius Songaila;;;;;;;4818000;4526000;4235000;3942000;3650000;2200000;1600000;366931;;;;;;;;;;;;;
Darius Washington;;;;;;;;;;154847;;;;;;;;;;;;;;;;;
Darko Milicic;;;;;159080;4776500;4325000;7500000;7020000;6500000;5218622;4135200;3865440;3595800;;;;;;;;;;;;;
Darnell Jackson;;;;;;;854389;736420;450000;;;;;;;;;;;;;;;;;;
Darnell Mee;;;;;;;;;;;;;;;;;;;;;;;250000;150000;;;
Darnell Valentine;;;;;;;;;;;;;;;;;;;;;;;;;;130000;100000
Darrell Armstrong;;;;;;;;;;1219590;1178348;1138500;2275000;2475000;4010000;4005000;3100000;4125000;2900000;350000;410000;350000;;;;;
Darrell Arthur;8070175;2814000;3457149;3231683;3006217;2027119;1123680;1050480;977160;;;;;;;;;;;;;;;;;;
Darrell Griffith;;;;;;;;;;;;;;;;;;;;;;;;;;850000;850000
Darrell Walker;;;;;;;;;;;;;;;;;;;;;;;;;735000;665000;610000
Darren Collison;5229454;5013559;4797664;1900000;2319344;1455960;1361040;1266120;;;;;;;;;;;;;;;;;;;
Darren Morningstar;;;;;;;;;;;;;;;;;;;;;;;;43000;;;
Darrick Martin;;;;;;;;;;1219590;1178348;946646;;;;778350;673500;572500;Unknown;431250;375000;425000;;;;;
Darrin Hancock;;;;;;;;;;;;;;;;;;;;;247500;225000;150000;;;;
Darrun Hilliard;874636;600000;;;;;;;;;;;;;;;;;;;;;;;;;
Darryl Watkins;;;;;;;;;;109461;;;;;;;;;;;;;;;;;
Darvin Ham;;;;;;;;;;;;;932546;813679;699935;1760000;1700000;460000;;272250;220000;;;;;;
Da'Sean Butler;;;;;;;473604;;;;;;;;;;;;;;;;;;;;
Dave Corzine;;;;;;;;;;;;;;;;;;;;;;;;;;300000;300000
Dave Feitl;;;;;;;;;;;;;;;;;;;;;;;;;;135000;275000
Dave Greenwood;;;;;;;;;;;;;;;;;;;;;;;;;;100000;650000
Dave Hoppen;;;;;;;;;;;;;;;;;;;;;;;;;;500000;400000
Dave Jamerson;;;;;;;;;;;;;;;;;;;;;;;104000;780000;1034000;840000;650000
Dave Johnson;;;;;;;;;;;;;;;;;;;;;;300000;;650000;500000;;
Dave Popson;;;;;;;;;;;;;;;;;;;;;;;;;;;80000
David Andersen;;;;;;;2500000;2300000;;;;;;;;;;;;;;;;;;;
David Benoit;;;;;;;;;;;;;;;;;736000;;;609096;508000;1200000;1000000;810000;300000;230000;
David Harrison;;;;;;;;;;1734316;960840;898200;835560;;;;;;;;;;;;;;
David Lee;1551659;15035105;15012000;13878000;12744000;11610000;10800000;7000000;1788033;990600;926040;861360;;;;;;;;;;;;;;;
David Noel;;;;;;;;;;687456;412718;;;;;;;;;;;;;;;;
David Robinson;;;;;;;;;;;;;;;10500000;9500000;14700000;11592683;14841000;12397440;9952000;7700000;7300000;5740000;5720000;2240000;2265000
David Stockton;;;29483;;;;;;;;;;;;;;;;;;;;;;;;
David Vaughn;;;;;;;;;;;;;;;;;;;450000;693840;614000;534000;;;;;
David Wear;;;41781;;;;;;;;;;;;;;;;;;;;;;;;
David Wesley;;;;;;;;;;250000;1750000;5070000;4455000;3960000;3600000;3240000;2880000;2520000;2160000;1800000;350000;300000;250000;150000;;;
David West;1551659;1499187;12000000;12000000;10000000;10000000;8287500;9075000;9862500;10650000;2051938;1334160;1247160;1160160;;;;;;;;;;;;;
David Wingate;;;;;;;;;;;;;;;;;1000000;510000;1000000;570000;560000;560000;570000;570000;129000;250000;750000
David Wood;;;;;;;;;;;;;;;;;;;;;247500;350000;150000;488000;375000;;300000
Davis Bertans;543471;;;;;;;;;;;;;;;;;;;;;;;;;;
Dean Garrett;;;;;;;;;;;;;;;;3240000;2880000;2520000;2160000;1800000;247500;;;;;;
Dean Oliver;;;;;;;;;;;;;;;118735;332817;;;;;;;;;;;
DeAndre Jordan;21165675;19689000;11440123;10986550;10532977;10079404;854389;736420;550000;;;;;;;;;;;;;;;;;;
DeAndre Liggins;1015696;;;104034;762195;473604;;;;;;;;;;;;;;;;;;;;;
Dedric Willoughby;;;;;;;;;;;;;;;;;;134956;;;;;;;;;
Dee Brown;;;;;;;;;54410;;412718;;;;;;1000000;4000000;3750000;3500000;3250000;3000000;2500000;1025000;865000;705000;547000
DeJuan Blair;;2000000;2000000;947907;1054000;986000;918000;850000;;;;;;;;;;;;;;;;;;;
DeJuan Wheat;;;;;;;;;;;;;;;;;;460000;350000;20000;;;;;;;
Delaney Rudd;;;;;;;;;;;;;;;;;;;;;;;;;;240000;215000
Dell Curry;;;;;;;;;;;;;;;;2100000;2000000;2100000;1000000;3660000;1830000;1570000;1340000;1040000;750000;1006000;900000
Dell Demps;;;;;;;;;;;;;;;;;;;;;;225000;;;;;
Delon Wright;1577280;1509360;;;;;;;;;;;;;;;;;;;;;;;;;
Delonte West;;;;;992680;1146337;1069509;4254250;3850000;1889760;1080480;1010040;939480;;;;;;;;;;;;;;
DeMar DeRozan;26540100;10050000;10000000;9500000;3344250;2625000;2453880;2282640;;;;;;;;;;;;;;;;;;;
DeMarco Johnson;;;;;;;;;;;;;;;;;;111871;;;;;;;;;
DeMarcus Cousins;16957900;15851950;14746000;4916974;3880800;3627720;3374640;;;;;;;;;;;;;;;;;;;;
DeMarcus Nelson;;;;;;;;;182047;;;;;;;;;;;;;;;;;;
DeMarre Carroll;14200000;13600000;2500000;2557545;885120;289382;1085400;1009680;;;;;;;;;;;;;;;;;;;
Demetris Nichols;;;;;;;;;87893;427163;;;;;;;;;;;;;;;;;
Deng Gai;;;;;;;;;;;;92396;;;;;;;;;;;;;;;
Dennis Hopson;;;;;;;;;;;;;;;;;;;;;;;;;;950000;915000
Dennis Horner;;;;;;91642;;;;;;;;;;;;;;;;;;;;;
Dennis Rodman;;;;;;;;;;;;;;;;;;;1000000;4500000;9000000;2500000;2500000;2450000;2350000;1075000;880000
Dennis Schroder;2708582;1763400;1690680;1617840;;;;;;;;;;;;;;;;;;;;;;;
Dennis Scott;;;;;;;;;;;;;;;;;1200000;1100000;725000;2920000;3000000;3150000;3240000;2820000;2400000;1980000;1560000
DeQuan Jones;;;;;473504;;;;;;;;;;;;;;;;;;;;;;
