Team;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
Los Angeles Lakers; 87.938.201 ; 72.344.156 ; 77.336.807 ; 85.112.599 ; 100.451.593 ; 88.264.478 ; 91.428.140 ; 91.378.064 ; 78.245.793 ; 72.626.796 ; 77.099.949 ; 72.917.945 ; 65.059.098 ; 64.123.085 ; 63.151.182 ; 54.262.017 ; 58.968.213 ; 55.018.533 ; 41.872.000 ; 36.304.583 ; 28.838.500 ; 30.073.000 ; 42.068.300 ; 23.478.000 ; 18.851.000 ; 15.673.000 ; 12.120.000 
Memphis Grizzlies; 107.125.223 ; 82.972.532 ; 74.199.160 ; 72.807.659 ; 62.954.838 ; 70.628.007 ; 70.241.344 ; 57.287.474 ; 55.958.148 ; 54.118.526 ; 61.960.489 ; 67.525.538 ; 67.010.830 ; 57.378.323 ; 61.009.172 ; 50.920.631 ;;;;;;;;;;;
Miami Heat; 101.513.503 ; 85.716.053 ; 82.407.001 ; 87.114.705 ; 83.268.912 ; 77.120.306 ; 66.205.855 ; 74.208.013 ; 70.297.059 ; 74.767.603 ; 64.416.312 ; 60.732.452 ; 59.523.529 ; 47.349.374 ; 57.378.326 ; 53.351.186 ; 73.472.329 ; 52.496.573 ; 44.594.000 ; 34.641.186 ; 22.421.000 ; 22.087.000 ; 20.142.000 ; 17.811.000 ; 15.125.000 ; 11.514.000 ; 8.510.000 
Milwaukee Bucks; 96.142.528 ; 73.820.190 ; 64.064.915 ; 62.060.944 ; 62.476.395 ; 60.192.388 ; 69.076.690 ; 66.775.602 ; 71.360.656 ; 62.571.522 ; 63.498.518 ; 63.022.514 ; 57.448.246 ; 53.229.826 ; 57.995.152 ; 56.224.266 ; 57.819.318 ; 44.680.197 ; 33.703.240 ; 25.919.828 ; 24.222.500 ; 23.011.000 ; 16.256.960 ; 14.889.000 ; 14.032.000 ; 12.451.000 ; 11.595.000 
Minnesota Timberwolves; 78.322.537 ; 73.934.448 ; 69.322.836 ; 67.626.073 ; 69.001.896 ; 56.844.339 ; 53.461.123 ; 62.253.360 ; 66.445.144 ; 69.043.895 ; 66.820.673 ; 61.830.186 ; 70.123.411 ; 71.272.042 ; 59.518.801 ; 55.093.782 ; 47.488.500 ; 42.642.272 ; 33.107.230 ; 27.787.780 ; 24.100.500 ; 22.642.000 ; 17.673.260 ; 15.496.000 ; 13.732.000 ; 10.763.000 ; 7.540.000 
New Jersey Nets;;;;;; 65.281.235 ; 58.495.989 ; 59.366.715 ; 62.666.523 ; 61.836.211 ; 64.486.110 ; 66.449.350 ; 54.983.980 ; 63.697.123 ; 60.412.919 ; 75.193.712 ; 68.977.578 ; 53.245.461 ; 43.735.000 ; 28.504.567 ; 25.426.600 ; 22.580.000 ; 23.121.800 ; 20.107.000 ; 16.314.000 ; 12.598.000 ; 11.410.000 
New Orleans Hornets;; 81.652.543 ;; 66.356.450 ; 63.901.224 ; 65.441.008 ; 68.230.729 ; 70.163.827 ; 67.530.808 ; 62.609.991 ; 53.748.991 ; 41.277.617 ; 56.572.882 ; 49.800.204 ; 44.458.882 ;;;;;;;;;;;;
New Orleans Pelicans; 95.036.776 ;; 74.407.242 ;;;;;;;;;;;;;;;;;;;;;;;;
New York Knicks; 103.062.240 ; 74.168.903 ; 81.403.346 ; 89.069.657 ; 79.323.074 ; 77.093.212 ; 67.016.562 ; 85.710.076 ; 96.643.646 ; 96.190.114 ; 117.350.866 ; 126.631.098 ; 102.567.539 ; 89.444.820 ; 93.452.379 ; 85.993.039 ; 74.007.738 ; 72.288.001 ; 59.945.400 ; 53.974.881 ; 25.923.500 ; 43.329.000 ; 25.748.900 ; 22.109.000 ; 14.001.000 ; 12.399.000 ; 13.290.000 
Oklahoma City Thunder; 84.528.917 ; 93.888.376 ; 80.146.722 ; 71.009.755 ; 67.863.244 ; 59.501.709 ; 55.922.488 ; 58.578.614 ; 68.341.605 ;;;;;;;;;;;;;;;;;;
