,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Keith Brooking,ATL,28,LB,16,16,0,0,0,0,3,0,0,2,0,0,,144,126,18,6,0,
2,Donnie Edwards,SDG,30,LB/rolb,16,16,2,27,0,15,9,1,0,0,0,0,0.5,161,122,39,6,0,
3,Ray Lewis,BAL,28,lb/RILB,16,16,6,99,1,37,14,2,0,2,1,0,1.5,161,120,41,7,0,
4,David Thornton,IND,25,LB,16,16,2,3,0,2,5,,,,,,1.0,145,112,33,6,0,
5,Micheal Barrow,NYG,33,MLB,16,16,0,0,0,0,4,3,0,0,0,0,2.0,148,109,39,14,0,
6,Jamie Sharper,HOU,29,MLB,16,16,0,0,0,0,3,3,0,0,0,0,4.0,164,105,59,8,1,
7,Keith Bulluck,TEN,26,LB,16,16,2,9,0,9,6,5,0,2,32,1,3.0,135,104,31,7,0,
8,Chris Draft,ATL,27,LB,16,16,1,4,0,4,1,1,0,1,0,0,2.0,124,103,21,7,0,
9,Jay Foreman,HOU,27,LB,16,16,0,0,0,0,5,1,0,2,33,0,2.0,135,100,35,4,0,
10,Eric Barton,OAK,26,LB/rolb,16,16,0,0,0,0,6,1,0,0,0,0,0.5,132,98,34,7,0,
11,Andra Davis,CLE,25,MLB,16,16,0,0,0,0,6,2,0,0,0,0,5.0,136,97,39,6,0,
12,Scott Fujita,KAN,24,LOLB,16,16,1,8,0,8,2,2,0,0,0,0,4.0,111,97,14,6,2,
13,Sam Cowart,NYJ,28,LB,15,15,0,0,0,0,4,1,0,1,0,0,2.0,140,96,44,5,0,
14,James Farrior,PIT,28,LILB,16,16,1,9,0,9,4,0,1,1,0,0,,141,96,45,11,0,
15,London Fletcher,BUF,28,MLB,16,16,0,0,0,0,5,0,0,1,3,0,2.0,133,96,37,8,0,
16,Dhani Jones,NYG,25,LB,16,16,0,0,0,0,4,1,0,1,0,0,3.0,120,93,27,10,1,
17,Shawn Barber,KAN,28,ROLB,16,16,1,28,0,28,6,1,0,0,0,0,5.0,112,92,20,13,1,
18,Rodney Harrison,NWE,31,fs/S/ss,16,16,3,0,0,2,11,2,0,1,16,0,3.0,126,92,34,8,1,
19,Antoine Winfield,BUF,26,LCB,16,16,1,11,0,11,12,2,0,0,0,0,1.0,107,92,15,10,0,
20,Jeremiah Trotter,WAS,26,MLB,16,16,1,21,0,21,11,2,0,1,0,0,1.5,113,90,23,4,0,
21,Greg Wesley,KAN,25,SS,16,16,6,63,0,27,12,1,0,0,0,0,2.0,104,89,15,3,0,
22,Akin Ayodele,JAX,24,LB,16,16,2,15,0,13,4,0,0,3,15,1,1.0,115,88,27,8,0,
23,Dat Nguyen,DAL,28,MLB,16,16,0,0,0,0,11,2,0,2,0,0,2.0,119,88,31,11,0,
24,Derek Smith,SFO,28,LILB/mlb,16,16,0,0,0,0,3,1,0,1,7,0,3.5,115,88,27,10,2,
25,Brian Urlacher,CHI,25,MLB,16,16,0,0,0,0,4,,,,,,2.5,116,87,29,9,0,
26,Nick Barnett,GNB,22,MLB,15,15,3,21,0,14,6,0,0,1,0,0,2.0,112,86,26,4,0,
27,Nick Harper,IND,29,RCB,16,13,4,121,1,75,14,,,,,,,98,84,14,7,0,
28,Zach Thomas,MIA,30,MLB,15,15,3,21,0,19,10,1,0,2,0,0,1.0,152,84,68,10,0,
29,Kendrell Bell,PIT,23,RILB,16,16,1,61,0,42,3,1,0,1,0,0,5.0,99,80,19,17,2,
