,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Ray Lewis,BAL,26,MLB,16,16,3,115,0,64,10,1,0,1,0,0,3.5,161,112,49,13,4,
2,James Farrior,NYJ,26,LB,16,16,2,84,0,47,9,3,0,0,0,0,1.0,142,106,36,5,1,
3,Anthony Simmons,SEA,25,LB/lolb,16,16,0,0,0,0,7,2,0,0,0,0,2.0,121,101,20,11,2,
4,Keith Brooking,ATL,26,MLB,16,16,2,17,0,9,9,2,0,2,-6,0,3.5,125,100,25,5,4,
5,Marvcus Patton,KAN,34,MLB,16,15,2,5,0,5,5,2,0,0,0,0,3.0,113,98,15,13,2,
6,Donnie Edwards,KAN,28,lb/ROLB,16,16,0,0,0,0,4,1,0,3,0,0,2.0,129,97,32,12,2,
7,Ronald McKinnon,ARI,28,MLB,16,16,1,24,1,24,5,1,0,2,25,1,2.0,145,97,48,10,2,
8,Marvin Jones,NYJ,29,MLB,16,16,3,27,0,18,5,2,1,1,0,0,1.0,132,94,38,5,1,
9,Zach Thomas,MIA,28,MLB,15,15,2,51,1,34,4,2,0,0,0,0,3.0,154,94,60,4,2,
10,Warrick Holdman,CHI,26,LB,16,15,1,0,0,0,9,3,0,0,0,0,1.5,107,93,14,4,1,
11,Jeremiah Trotter,PHI,24,MLB,16,16,2,64,1,50,10,2,0,1,0,0,3.5,115,93,22,14,2,
12,Rodney Harrison,SDG,29,SS,14,14,2,51,0,22,13,2,0,1,0,0,3.5,107,90,17,8,3,
13,Dat Nguyen,DAL,26,MLB,16,16,0,0,0,0,2,1,0,0,0,0,,112,90,22,9,0,
14,London Fletcher,STL,26,MLB,16,16,2,18,0,18,5,4,0,0,0,0,4.5,116,89,27,10,4,
15,Brian Urlacher,CHI,23,MLB,16,16,3,60,0,41,8,2,0,2,101,1,6.0,116,89,27,9,5,
16,Micheal Barrow,NYG,31,MLB,16,16,0,0,0,0,6,4,0,2,13,0,6.0,133,88,45,9,4,
17,Hardy Nickerson,JAX,36,MLB,15,14,3,4,0,2,9,1,0,1,0,0,,116,88,28,4,0,
18,Rob Morris,IND,26,MLB,14,14,,,,,,,,,,,1.0,114,84,30,8,1,
19,Earl Holmes,PIT,28,LILB,16,16,0,0,0,0,2,2,0,1,0,0,2.0,116,83,33,16,2,
20,Kwamie Lassiter,ARI,32,FS,16,16,9,80,0,25,15,1,0,0,0,0,1.0,112,83,29,3,1,
21,Junior Seau,SDG,32,LB,16,16,1,2,0,2,6,1,0,0,0,0,1.0,94,83,11,9,1,
22,Kailee Wong,MIN,25,MLB,16,16,1,27,1,27,4,,,,,,3.0,98,83,15,7,3,
23,LaVar Arrington,WAS,23,LB,14,14,3,120,1,67,9,0,0,2,0,0,0.5,99,82,17,8,1,
24,Greg Biekert,OAK,32,MLB,16,16,0,0,0,0,3,0,0,1,0,0,3.0,108,81,27,6,4,
25,Jamir Miller,CLE,28,de/LB,16,16,1,0,0,0,14,4,0,0,0,0,13.0,99,81,18,22,11,
26,Chad Brown,SEA,31,LB/rolb,16,16,0,0,0,0,6,2,0,1,3,0,8.5,105,80,25,15,7,
27,Takeo Spikes,CIN,25,LB,15,15,1,66,1,66,5,1,0,0,0,0,6.0,109,80,29,15,5,
28,Derrick Brooks,TAM,28,LB,16,16,3,65,0,53,11,1,0,0,0,0,,112,79,33,4,0,
29,Levon Kirkland,SEA,32,MLB,16,16,0,0,0,0,3,2,0,0,0,0,1.0,100,79,21,3,1,
30,John Mobley,DEN,28,LB,16,16,1,17,0,17,6,1,0,3,8,0,1.0,91,79,12,15,1,
31,Sammy Knight,NOR,26,SS,16,16,6,114,0,40,10,2,0,5,0,0,1.0,96,78,18,2,1,
32,Derek Smith,SFO,26,LILB/mlb,14,14,1,0,0,0,3,0,0,2,3,0,3.0,108,78,30,4,4,
33,Rogers Beckett,SDG,24,FS/ss,16,16,1,8,0,8,5,2,0,1,1,0,,98,77,21,1,0,
34,Chris Claiborne,DET,23,MLB/rolb,16,16,2,11,0,6,6,1,0,1,0,0,4.0,119,77,42,3,3,
35,Lawyer Milloy,NWE,28,SS,16,16,2,21,0,21,4,0,0,1,0,0,3.0,113,77,36,5,4,
36,Jamie Sharper,BAL,27,LB,16,16,0,0,0,0,12,0,0,1,8,1,6.0,108,77,31,11,7,
37,Shaun Williams,NYG,25,FS,16,16,3,25,0,20,10,,,,,,1.0,95,77,18,7,1,
38,Mo Lewis,NYJ,32,LB,16,16,1,17,0,17,2,2,0,2,15,1,3.0,107,76,31,8,2,
39,Tyrone Williams,GNB,28,RCB,16,16,4,117,1,69,12,1,0,1,0,0,,88,76,12,0,0,
40,Darren Woodson,DAL,32,SS,16,16,3,11,0,6,8,0,0,1,0,0,,87,76,11,10,0,
