,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Derrick Brooks,TAM,27,lb,16,16,1,34,1,34,6,5,0,0,0,0,1.0,146,125,21,13,1,
2,Ronald McKinnon,ARI,27,MLB,16,16,0,0,0,0,2,2,0,1,0,0,4.0,157,119,38,11,4,
3,Anthony Simmons,SEA,24,lb,16,16,2,15,0,8,2,2,0,0,0,0,4.0,147,119,28,11,2,
4,Donnie Edwards,KAN,27,LB,16,16,2,45,1,42,4,0,0,1,11,0,1.0,132,114,18,14,1,
5,Takeo Spikes,CIN,24,LB,16,16,2,12,0,7,4,0,0,3,0,0,2.0,128,110,18,8,2,
6,Pat Tillman,ARI,24,SS,16,16,1,30,0,27,9,2,0,2,0,0,1.5,145,109,36,4,2,
7,Ray Lewis,BAL,25,MLB,16,16,2,1,0,1,6,0,0,3,0,0,3.0,137,107,30,14,3,
8,London Fletcher,STL,25,lb/MLB,16,15,4,33,0,12,8,1,0,0,0,0,5.5,133,106,27,13,6,
9,Mike Peterson,IND,24,LB,16,16,2,8,0,5,6,1,0,0,0,0,,158,104,54,3,0,
10,Junior Seau,SDG,31,lb,16,16,2,2,0,2,11,1,0,0,0,0,3.5,122,103,19,15,4,
11,Marvin Jones,NYJ,28,lb/RILB,16,16,0,0,0,0,2,2,0,1,0,0,1.0,135,102,33,9,1,
12,Rodney Harrison,SDG,28,ss,16,16,6,97,1,63,17,1,0,0,0,0,6.0,127,101,26,10,5,
13,Brian Urlacher,CHI,22,MLB,16,14,2,19,0,19,5,0,0,1,0,0,8.0,125,101,24,16,8,
14,Greg Biekert,OAK,31,lb/mlb,16,16,0,0,0,0,4,0,0,2,0,0,2.0,134,100,34,9,2,
15,Jeremiah Trotter,PHI,23,MLB,16,16,1,27,1,27,4,,,,,,3.0,120,100,20,12,2,
16,Randall Godfrey,TEN,27,MLB,16,16,2,25,1,24,8,5,0,1,0,0,3.0,121,99,22,10,2,
17,Ed McDaniel,MIN,31,LB,16,15,0,0,0,0,2,1,0,0,0,0,2.0,119,98,21,10,2,
