,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Patrick Willis,SFO,24,MLB,16,16,3,33,1,23,8,3,0,0,0,0,4.0,152,114,38,13,11,
2,Jon Beason,CAR,24,lb/MLB,16,16,3,46,0,18,7,1,0,2,0,0,3.0,141,111,30,14,5,
3,Kirk Morrison,OAK,27,MLB,16,16,0,0,0,0,1,3,1,1,8,0,2.0,133,109,24,10,2,
4,James Laurinaitis,STL,23,MLB,16,16,2,28,0,21,5,0,0,1,0,0,2.0,120,107,13,7,6,
5,Barrett Ruud,TAM,26,MLB,16,16,1,23,0,21,7,1,0,0,0,0,,142,107,35,3,0,
6,Curtis Lofton,ATL,23,MLB,16,16,0,0,0,0,2,2,0,0,0,0,,131,103,28,4,2,
7,D.J. Williams,DEN,27,LB,16,16,0,0,0,0,7,3,0,2,0,0,3.5,122,100,22,13,5,
8,Brian Dawkins,DEN,36,S,16,16,2,0,0,0,10,1,0,3,0,0,,116,95,21,6,2,
9,London Fletcher,WAS,34,MLB,16,16,1,2,0,2,6,1,0,0,0,0,2.0,142,95,47,7,3,
10,Ray Lewis,BAL,34,MLB,16,16,0,9,0,9,8,2,0,1,1,0,3.0,134,95,39,10,7,
11,Demorrio Williams,KAN,29,LILB,16,13,0,0,0,0,6,,,,,,,117,95,22,3,0,
12,David Hawthorne,SEA,24,MLB,16,11,3,9,0,5,5,1,0,1,36,0,4.0,117,94,23,10,5,
13,Stephen Tulloch,TEN,24,MLB,16,13,0,0,0,0,1,0,0,1,0,0,2.0,121,94,27,9,5,
14,Tyvon Branch,OAK,23,SS,16,16,0,0,0,0,8,2,0,0,0,0,1.0,119,93,26,6,1,
15,Lance Briggs,CHI,29,LB,15,15,1,0,0,0,5,,,,,,2.5,118,93,25,7,5,
16,DeMeco Ryans,HOU,25,lb/MLB,16,16,0,0,0,0,2,1,0,1,29,0,1.0,123,93,30,14,5,
17,Yeremiah Bell,MIA,31,SS,16,15,3,48,0,29,8,,,,,,1.5,114,92,22,3,3,
18,Karlos Dansby,ARI,28,LB,16,16,1,11,0,11,4,1,0,0,0,0,1.0,109,89,20,7,6,
19,Paul Posluszny,BUF,25,lb/MLB,12,12,3,20,0,17,4,3,0,0,0,0,1.0,111,88,23,5,6,
20,Jonathan Vilma,NOR,27,lb/MLB,15,15,3,25,0,11,8,,,,,,2.0,110,87,23,10,10,
21,Brian Cushing,HOU,22,LB,16,16,4,26,0,20,10,2,0,0,0,0,4.0,133,86,47,12,12,1
22,Roman Harper,NOR,27,SS,16,16,0,0,0,0,5,2,0,0,0,0,1.5,102,84,18,11,5,
23,Clint Session,IND,25,LB,14,14,2,35,1,27,5,1,0,0,0,0,0.5,103,84,19,3,4,
24,Daryl Smith,JAX,27,LB,16,16,1,10,0,10,6,3,0,2,0,0,1.5,107,84,23,6,5,
25,Nick Barnett,GNB,28,MLB,16,16,0,0,0,0,7,,,,,,4.0,105,82,23,12,4,
26,Erik Coleman,ATL,27,SS,16,16,0,0,0,0,5,2,0,0,0,0,,116,82,34,3,0,
27,David Harris,NYJ,25,MLB,16,16,2,24,0,14,3,2,0,0,0,0,5.5,127,82,45,4,13,
28,Mike Peterson,ATL,33,LB,16,16,1,39,0,39,7,2,0,0,0,0,1.0,109,82,27,7,2,
29,Keith Bulluck,TEN,32,LB,14,14,3,45,0,23,7,0,0,1,0,0,,108,81,27,3,0,
30,Justin Durant,JAX,24,LB,13,13,1,27,0,27,2,1,0,0,0,0,1.0,98,81,17,3,2,
