
,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
52,Ryan Clark,WAS,35,FS,16,15,1,8,0,8,3,0,1,2,0,0,0.5,101,68,33,3,1,
53,Donte Whitner,CLE,29,SS,16,16,1,54,0,54,4,1,0,0,0,0,,105,68,37,3,0,
54,Dawan Landry,NYJ,32,S,16,14,0,0,0,0,1,,,,,,1.5,106,67,39,1,3,
55,Rolando McClain,DAL,25,MLB,13,12,2,0,0,0,3,1,0,0,0,0,1.0,87,67,20,9,3,
56,Sio Moore,OAK,24,LB,11,11,0,0,0,0,1,1,0,0,0,0,3.0,89,67,22,9,4,
57,Michael Wilhoite,SFO,28,LB,16,16,2,1,0,1,6,1,0,0,0,0,,87,67,20,4,3,
58,Nigel Bradham,BUF,25,LB,14,14,1,0,0,0,6,2,0,0,0,0,2.5,104,66,38,6,7,
59,Preston Brown,BUF,22,LB,16,14,1,0,0,0,2,0,0,1,30,0,,109,66,43,6,1,
60,Anthony Hitchens,DAL,22,LB/mlb,16,11,1,8,0,8,4,,,,,,,84,66,18,3,2,
61,James Ihedigbo,DET,31,fs/s/SS,13,13,4,86,0,70,8,3,1,1,0,0,2.0,80,66,14,6,4,
62,Kemal Ishmael,ATL,23,S,16,10,4,37,1,23,6,1,0,1,18,0,,96,66,30,2,0,
63,Vincent Rey,CIN,27,LB/mlb,16,13,0,0,0,0,5,1,0,0,0,0,,133,66,67,1,1,
64,Corey Graham,BUF,29,lcb/rcb,16,9,2,75,0,45,16,0,0,1,0,0,,84,65,19,0,0,
65,Reggie Nelson,CIN,31,FS,16,16,4,30,0,31,13,0,0,1,6,0,1.5,99,65,34,5,3,
66,Bradley Roby,DEN,22,cb/lcb,16,2,2,0,0,0,13,2,0,2,3,0,1.0,67,65,2,5,1,
67,Greg Toler,IND,29,cb/LCB,15,15,2,47,1,47,10,1,0,0,0,0,1.0,75,65,10,2,0,
68,Tramon Williams,GNB,31,LCB,16,16,3,2,0,2,13,0,0,1,0,0,,77,65,12,0,1,
69,Larry Foote,ARI,34,LB,15,15,1,0,0,0,3,0,0,1,0,0,2.0,88,64,24,6,7,
70,E.J. Gaines,STL,22,cb/lb/LCB/rcb,15,15,2,0,0,0,14,0,0,1,0,0,,70,63,7,3,2,
71,Dashon Goldson,TAM,30,FS/s,14,14,0,0,0,0,1,0,0,1,2,0,,81,63,18,0,0,
72,Malcolm Jenkins,PHI,27,S,16,16,3,67,1,53,15,1,0,1,0,0,,79,63,16,3,0,
73,Patrick Chung,NWE,27,S,16,15,1,10,0,10,8,,,,,,,95,62,33,3,1,
74,Josh Evans,JAX,23,FS/ss,16,14,0,0,0,0,2,0,0,2,-2,0,,90,62,28,2,0,
75,Mychal Kendricks,PHI,24,LB,12,11,0,0,0,0,3,3,0,0,0,0,4.0,83,62,21,10,9,
76,Rodney McLeod,STL,24,FS/s,16,16,2,1,0,1,6,2,0,3,9,0,,72,62,10,3,0,
77,T.J. Ward,DEN,28,SS,15,15,2,55,0,37,5,,,,,,2.0,76,62,14,6,5,
78,Dont'a Hightower,NWE,24,LB,12,12,0,0,0,0,2,1,0,0,0,0,6.0,105,61,44,9,13,
79,Danny Lansanah,TAM,29,LB/mlb,16,11,3,60,2,33,8,,,,,,1.5,81,61,20,8,2,
80,William Gay,PIT,29,db/lcb/nt/rcb,16,13,3,113,3,52,12,,,,,,,71,60,11,1,0,
81,Dwight Lowery,ATL,28,S,16,15,2,21,0,21,5,2,0,1,0,0,1.0,79,60,19,1,3,
82,Perry Riley,WAS,26,LB,14,14,0,0,0,0,4,1,0,0,0,0,2.0,94,60,34,8,3,
83,Marcus Gilchrist,SDG,26,SS,16,16,1,4,0,4,5,2,0,0,0,0,1.0,76,59,17,7,1,
84,Justin Houston,KAN,25,lb/LOLB,16,16,0,0,0,0,5,4,0,0,0,0,22.0,68,59,9,23,25,
85,Emmanuel Lamur,CIN,25,LB,14,13,2,6,0,5,7,,,,,,,97,59,38,3,2,
86,Khalil Mack,OAK,23,LB,16,16,0,0,0,0,3,1,0,0,0,0,4.0,75,59,16,16,12,
87,Devin McCourty,NWE,27,S,16,16,2,70,0,60,6,1,0,0,0,0,,78,59,19,0,1,
88,J.J. Watt,HOU,25,DE,16,16,1,80,1,80,10,4,0,5,59,1,20.5,78,59,19,29,51,1
89,Husain Abdullah,KAN,29,FS,16,16,1,39,1,39,8,,,,,,,71,58,13,2,5,
90,Jonathan Bostic,CHI,23,LB,13,8,0,0,0,0,3,,,,,,,83,58,25,4,0,
91,Bashaud Breeland,WAS,22,cb/LCB/ss,16,15,2,0,0,0,14,2,0,0,0,0,,69,58,11,3,1,
92,Joe Haden,CLE,25,LCB,15,15,3,0,0,0,20,1,0,2,34,0,,73,58,15,1,0,
93,Glover Quin,DET,28,FS/ss,16,16,7,117,0,56,10,,,,,,,74,58,16,2,0,
94,Aqib Talib,DEN,28,cb/LCB,15,15,4,62,2,33,16,1,0,0,0,0,1.0,67,58,9,3,1,
95,Bruce Carter,DAL,26,LB,13,8,5,72,1,35,8,,,,,,1.0,82,57,25,5,3,
96,Craig Robertson,CLE,26,lb/mlb,16,11,2,30,0,15,4,0,0,1,0,1,,99,57,42,6,3,
97,Alterraun Verner,TAM,26,CB,14,14,2,26,0,26,9,2,0,0,0,0,,75,57,18,7,0,
98,George Wilson,TEN,33,db/SS,16,10,1,0,0,0,4,,,,,,1.0,73,57,16,4,0,
99,Mark Barron,2TM,25,,16,9,0,0,0,0,4,0,1,1,8,0,3.0,72,56,16,4,4,
100,Chad Greenway,MIN,31,LB,12,12,0,0,0,0,2,1,0,0,0,0,1.0,93,56,37,4,5,
101,Orlando Scandrick,DAL,27,cb/RCB,14,14,2,2,0,2,9,2,0,0,0,0,1.0,63,56,7,2,1,
102,Cary Williams,PHI,30,CB,16,16,2,-1,0,0,9,,,,,,,60,56,4,2,0,
103,Anthony Barr,MIN,22,LB,12,12,0,0,0,0,3,2,0,3,27,1,4.0,70,55,15,6,7,
104,Janoris Jenkins,STL,26,RCB,14,13,2,124,2,99,5,2,0,0,0,0,,59,55,4,1,0,
105,Adam Jones,CIN,31,db/lcb/rcb,16,3,3,23,0,12,11,0,1,1,0,0,,69,55,14,0,0,
106,Mike Mitchell,PIT,27,FS,16,16,0,0,0,0,3,2,0,0,0,0,,76,55,21,0,0,
107,Buster Skrine,CLE,25,RCB,16,16,4,34,0,30,18,,,,,,,67,55,12,0,0,
108,Jacquian Williams,NYG,26,LB,9,9,0,0,0,0,3,,,,,,,78,55,23,1,1,
109,Jasper Brinkley,MIN,29,MLB,16,11,,,,,,1,0,0,0,0,1.0,75,54,21,3,1,
110,Brandon Carr,DAL,28,cb/LCB,16,16,0,0,0,0,7,0,0,1,0,0,1.0,63,54,9,2,3,
111,Chris Harris,DEN,25,cb/RCB,16,16,3,52,0,38,17,1,0,1,0,0,1.0,58,54,4,5,1,
112,A.J. Hawk,GNB,30,LB/mlb,16,13,0,0,0,0,2,,,,,,0.5,94,54,40,1,1,
113,Shareece Wright,SDG,27,RCB,14,14,0,0,0,0,9,,,,,,,60,54,6,2,0,
114,Bradley Fletcher,PHI,28,CB,15,15,1,34,1,34,22,1,0,1,0,0,,60,53,7,1,0,
115,Rob Ninkovich,NWE,30,DE,16,16,1,11,0,11,2,0,0,1,15,1,8.0,77,53,24,11,16,
116,Jason Pierre-Paul,NYG,25,DE,16,16,0,0,0,0,6,3,0,1,0,0,12.5,77,53,24,16,21,
117,Desmond Trufant,ATL,24,CB/s,16,16,3,19,0,19,16,0,0,1,15,0,,61,53,8,1,0,
118,Wesley Woodyard,TEN,28,LB,16,16,2,20,0,13,3,,,,,,2.5,94,53,41,6,6,
119,David Amerson,WAS,23,RCB,15,15,0,0,0,0,7,,,,,,,61,52,9,1,0,
