,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Derrick Brooks,TAM,31,LB,16,16,1,3,0,3,6,2,0,0,0,0,3.0,137,109,28,4,0,
2,Donnie Edwards,SDG,31,LB,16,16,5,49,1,30,14,2,0,0,0,0,1.0,150,104,46,2,0,
3,Lance Briggs,CHI,24,LB,16,16,1,38,1,38,10,,,,,,0.5,126,102,24,7,0,
4,Keith Bulluck,TEN,27,LB,16,16,2,25,0,25,13,1,0,1,39,1,5.0,152,100,52,9,1,
5,Ray Lewis,BAL,29,lb/RILB,15,15,0,0,0,0,6,1,0,2,0,0,1.0,146,100,46,6,0,
6,Danny Clark,OAK,27,LB,16,16,0,0,0,0,5,1,0,0,0,0,2.0,129,98,31,10,0,
7,Jamie Sharper,HOU,30,MLB,16,16,0,0,0,0,9,3,0,1,16,1,2.0,137,96,41,10,0,
8,Rodney Harrison,NWE,32,fs/SS,16,16,2,12,0,12,8,3,0,0,0,0,3.0,138,94,44,6,0,
9,Mike Peterson,JAX,28,MLB,16,16,0,0,0,0,1,1,0,1,0,0,5.0,126,93,33,9,1,
10,Nick Barnett,GNB,23,lb/MLB,16,16,1,16,0,16,6,0,0,1,7,0,3.0,123,92,31,9,0,
11,London Fletcher,BUF,29,MLB,16,16,0,0,0,0,4,2,0,1,0,0,3.5,142,92,50,10,0,
12,Robert Griffith,CLE,34,SS,16,16,1,18,0,18,3,,,,,,1.0,118,92,26,8,0,
13,Marcus Washington,WAS,27,LB,16,16,0,0,0,0,3,1,0,1,-4,0,4.5,107,87,20,15,0,
14,Keith Brooking,ATL,29,LB,16,16,3,41,0,27,6,2,0,1,4,0,2.5,101,86,15,2,0,
15,Marcus Trufant,SEA,24,LCB,16,16,5,141,0,58,20,,,,,,1.0,96,86,10,3,0,
16,Madieu Williams,CIN,23,cb/FS/lcb/ss,16,13,3,51,1,51,11,0,0,2,-3,0,2.0,103,86,17,6,0,
17,Antonio Pierce,WAS,26,MLB,16,16,2,94,1,78,5,1,0,2,2,0,1.0,112,85,27,3,0,
18,Bryan Scott,ATL,23,SS,16,16,1,22,0,22,5,1,0,1,1,0,2.5,96,85,11,2,0,
19,Zach Thomas,MIA,31,MLB,13,13,0,0,0,0,4,,,,,,2.0,145,85,60,9,0,
20,Will Witherspoon,CAR,24,LB/rolb,16,16,4,48,0,25,14,1,0,1,0,0,3.0,103,85,18,5,0,
21,Cato June,IND,25,LB,16,16,2,71,0,71,9,0,0,2,-1,0,,110,84,26,6,0,
22,Ronde Barber,TAM,29,RCB,16,16,3,23,0,23,13,1,0,2,27,2,3.0,98,83,15,8,0,
23,Michael Green,CHI,28,SS,16,16,2,0,0,0,9,2,0,4,3,0,1.5,106,82,24,7,0,
24,D.J. Williams,DEN,22,LB/lolb,16,14,1,10,0,10,7,1,0,0,0,0,2.0,114,81,33,10,0,
25,Derek Smith,SFO,29,LILB/mlb,14,14,0,0,0,0,3,0,0,2,46,1,1.5,110,80,30,5,0,
26,Adrian Wilson,ARI,25,SS,16,16,3,62,0,27,11,2,0,2,35,1,1.0,102,80,22,9,0,
27,Earl Holmes,DET,31,MLB,16,14,0,0,0,0,2,,,,,,,111,78,33,6,0,
28,Tebucky Jones,NOR,30,FS,16,16,1,55,0,55,4,1,0,1,0,0,,101,78,23,0,0,
29,Dan Morgan,CAR,26,MLB,12,12,2,20,0,11,6,1,0,2,0,0,2.0,101,78,23,2,0,
30,Eric Barton,NYJ,27,LB,16,15,1,7,0,7,2,1,0,4,2,0,2.5,107,77,30,8,0,
31,Jonathan Vilma,NYJ,22,MLB,16,14,3,58,1,38,5,0,0,1,0,0,2.0,107,77,30,8,0,
32,Tedy Bruschi,NWE,31,LB/lilb,16,16,3,70,0,36,6,2,0,0,0,0,3.5,122,76,46,7,0,
33,Pisa Tinoisamoa,STL,23,LB,16,16,0,0,0,0,4,0,0,1,10,0,1.5,95,76,19,10,0,
34,Adam Archuleta,STL,27,SS,16,14,0,0,0,0,3,1,0,1,93,1,2.0,88,75,13,4,0,
35,Akin Ayodele,JAX,25,LB,16,16,0,0,0,0,3,2,0,1,0,0,2.0,92,75,17,2,0,
36,James Darling,ARI,30,LB,15,15,1,65,0,65,6,2,1,0,0,0,1.0,93,75,18,8,0,
37,Teddy Lehman,DET,23,LB,16,16,1,1,0,1,3,1,0,0,0,0,1.0,102,75,27,7,0,
38,Terrence McGee,BUF,24,LCB,16,13,3,21,0,21,15,0,2,1,38,0,2.0,92,75,17,4,0,
39,Dat Nguyen,DAL,29,MLB,16,16,3,19,0,19,5,1,0,1,9,0,1.0,107,75,32,2,0,
40,Will Allen,NYG,26,LCB,16,16,1,11,0,11,19,1,0,0,0,0,1.0,80,74,6,3,0,
41,Brad Kassell,TEN,24,MLB,15,14,0,0,0,0,1,1,0,1,0,0,,101,74,27,4,0,
42,Michael Lewis,PHI,24,SS,16,16,1,0,0,0,12,2,0,1,0,0,,88,74,14,4,0,
43,Jerametrius Butler,STL,26,LCB/rcb,16,16,5,15,0,10,19,0,0,1,2,0,,79,73,6,0,0,
44,Erik Coleman,NYJ,22,FS,16,16,4,43,0,37,12,0,0,1,0,0,2.0,100,73,27,4,0,
45,Dunta Robinson,HOU,22,RCB,16,16,6,146,0,61,19,3,0,0,0,0,3.0,87,73,14,1,0,
46,Brian Simmons,CIN,29,LB,15,15,2,61,1,50,4,3,0,1,18,0,1.0,104,73,31,2,0,
47,Jeff Ulbrich,SFO,27,lb/lilb/lolb/rilb,16,14,1,19,0,19,3,1,0,0,0,0,1.0,92,73,19,9,1,
48,Roy Williams,DAL,24,FS,16,16,2,53,0,33,10,1,0,0,0,0,,94,73,21,3,0,
49,Jay Bellamy,NOR,32,s/SS,16,16,0,0,0,0,1,2,0,3,12,0,,90,72,18,3,0,
50,Terrence Kiel,SDG,24,SS,16,16,2,31,0,31,10,0,0,1,0,0,1.0,97,72,25,3,0,
51,Dwight Smith,TAM,26,SS,16,16,3,13,0,13,13,3,0,0,0,0,,83,72,11,3,0,
52,Shelton Quarles,TAM,33,MLB,15,15,0,0,0,0,3,,,,,,3.5,104,71,33,3,0,
53,Al Wilson,DEN,27,MLB,16,16,2,17,1,10,5,2,0,0,0,0,2.5,104,71,33,9,0,
54,Gary Baxter,BAL,26,RCB,16,16,1,33,0,33,13,2,1,0,0,0,2.0,86,70,16,3,0,
55,Antoine Winfield,MIN,27,LCB,14,12,3,89,0,56,8,3,0,1,0,0,,85,70,15,3,0,
56,Kenoy Kennedy,DEN,27,SS,16,16,1,21,0,21,9,2,0,1,5,0,2.0,87,69,18,3,0,
57,David Thornton,IND,26,LB,16,15,1,5,0,5,1,2,0,0,0,0,,92,69,23,4,0,
58,Champ Bailey,DEN,26,cb/LCB,16,16,3,0,0,0,12,,,,,,,81,68,13,6,0,
59,Chris Gamble,CAR,21,RCB,16,16,6,15,0,13,14,1,1,1,0,0,,74,68,6,3,0,
60,Isaiah Kacyvenski,SEA,27,LB,16,13,,,,,,1,0,0,0,0,1.0,89,68,21,4,0,
61,Dewayne Washington,JAX,32,RCB,16,16,2,0,0,0,9,1,0,0,0,0,,76,68,8,2,0,
62,Scott Fujita,KAN,25,LOLB,16,16,0,0,0,0,4,,,,,,4.5,90,67,23,9,0,
63,Anthony Henry,CLE,28,LCB,15,14,4,83,0,51,12,,,,,,,76,67,9,1,0,
64,Troy Polamalu,PIT,23,SS,16,16,5,58,1,26,14,1,0,0,0,0,1.0,96,67,29,4,0,
65,Sheldon Brown,PHI,25,RCB,16,16,2,33,0,33,16,1,0,0,0,0,3.0,89,66,23,4,0,
66,Will Demps,BAL,25,FS,16,16,1,0,0,0,7,2,0,2,2,0,2.5,85,66,19,3,1,
67,Morlon Greenwood,MIA,26,LB,16,15,0,0,0,0,3,,,,,,,108,66,42,8,0,
68,Brock Marion,DET,34,FS,16,16,3,43,0,24,8,,,,,,,88,66,22,0,0,
69,Tommy Polley,STL,26,LB,15,13,0,0,0,0,6,1,0,0,0,0,2.0,78,66,12,5,0,
70,Ray Buchanan,OAK,33,FS,16,16,1,27,0,27,6,1,0,0,0,0,,91,65,26,0,0,
71,Ryan Clark,WAS,25,SS,15,11,0,0,0,0,1,,,,,,,81,65,16,2,0,
72,James Farrior,PIT,29,LILB,16,16,4,113,1,41,12,3,0,3,0,0,3.0,94,65,29,9,0,
73,Randall Godfrey,SDG,31,LB,15,15,0,0,0,0,3,3,0,1,0,0,2.0,84,65,19,7,0,
74,Charles Grant,NOR,26,DE,16,16,1,8,0,8,7,3,0,1,0,0,10.5,78,65,13,19,3,
75,E.J. Henderson,MIN,24,MLB,14,14,0,0,0,0,3,1,0,0,0,0,1.0,93,65,28,9,0,
76,Kevin Lewis,NYG,26,MLB,16,16,0,0,0,0,3,0,0,1,16,0,1.0,91,65,26,4,0,
77,Ken Hamlin,SEA,23,FS,16,16,4,48,0,24,9,1,0,0,0,0,2.0,80,64,16,1,0,
78,Terence Newman,DAL,26,LCB,16,16,4,31,0,21,15,2,0,0,0,0,,68,64,4,2,0,
79,David Barrett,NYJ,27,cb/lcb/RCB,16,16,2,14,0,14,13,1,0,0,0,0,,77,63,14,6,0,
80,Todd Johnson,CHI,26,FS,16,10,0,0,0,0,2,0,0,1,0,0,,75,63,12,1,0,
81,Carlos Emmons,NYG,31,LB,15,15,0,0,0,0,3,,,,,,1.0,97,62,35,3,0,
82,John Henderson,JAX,25,RDT,16,16,0,0,0,0,4,0,0,1,0,0,5.5,75,62,13,9,1,
83,Ken Lucas,SEA,25,RCB,16,16,6,46,1,25,21,1,0,2,3,0,,70,62,8,2,0,
84,David Macklin,ARI,26,RCB,16,16,4,18,0,16,16,1,0,1,1,0,0.5,74,62,12,1,0,
85,Ed Reed,BAL,26,SS,16,16,9,358,1,106,17,3,1,2,44,1,2.0,76,62,14,6,0,
86,Brian Russell,MIN,26,FS,16,16,1,41,0,41,7,0,0,1,0,0,,81,62,19,1,0,
87,Shawntae Spencer,SFO,22,RCB,16,12,0,0,0,0,7,,,,,,,70,62,8,2,0,
88,Brian Dawkins,PHI,31,FS,15,15,4,40,0,32,12,2,0,1,0,0,3.0,69,61,8,3,0,
89,Na'il Diggs,GNB,26,LB,14,14,,,,,,,,,,,1.0,80,61,19,12,0,
90,Mike Minter,CAR,30,SS,16,16,0,0,0,0,10,3,0,2,0,0,2.0,81,61,20,2,0,
91,Will Peterson,NYG,25,RCB,16,15,2,9,0,9,0,1,0,0,0,0,,69,61,8,,,
92,Takeo Spikes,BUF,28,LB,16,16,5,122,2,62,18,4,0,1,0,0,3.0,96,61,35,8,0,
93,Brian Williams,MIN,25,lcb/RCB,16,16,2,14,0,14,11,2,0,0,0,0,,74,61,13,5,0,
94,Nick Greisen,NYG,25,lb,15,7,0,0,0,0,6,1,0,1,0,0,2.0,79,60,19,2,0,
95,Landon Johnson,CIN,23,lb/MLB,16,11,0,0,0,0,2,2,0,1,0,0,2.0,87,60,27,5,0,
96,Kevin Mathis,ATL,30,cb/lcb/rcb,15,12,2,101,2,66,8,,,,,,,65,60,5,1,0,
97,Sean Taylor,WAS,21,FS,15,13,4,85,0,45,15,2,0,0,0,0,1.0,76,60,16,3,0,
98,Jeremiah Trotter,PHI,27,MLB,16,9,0,0,0,0,1,,,,,,1.0,69,60,9,12,0,
99,Corey Chavous,MIN,28,SS,16,16,1,0,0,0,6,1,0,0,0,0,,80,59,21,2,0,
100,Donovin Darius,JAX,29,SS,16,16,5,80,0,37,7,2,0,4,0,0,,87,59,28,1,0,
101,Ronnie Heard,SFO,28,FS,16,14,1,14,0,14,6,0,0,1,0,0,,71,59,12,2,0,
102,Tony Parrish,SFO,29,SS,16,16,4,64,0,26,8,1,0,1,8,0,0.5,87,59,28,2,0,
103,Matt Stewart,ATL,25,LB,16,15,0,0,0,0,4,,,,,,1.5,71,59,12,6,0,
104,Greg Wesley,KAN,26,SS,12,11,4,92,0,65,7,4,0,0,0,0,,66,59,7,0,0,
105,James Davis,DET,25,LB,16,15,0,0,0,0,3,0,0,1,0,0,3.5,83,58,25,7,1,
106,Nick Harper,IND,30,LCB,14,14,3,12,0,12,8,0,0,1,15,0,,77,58,19,1,0,
107,Chris Hope,PIT,24,FS,16,16,1,41,0,41,5,1,0,0,0,0,,89,58,31,0,0,
108,Kawika Mitchell,KAN,25,lb/MLB,15,12,0,0,0,0,3,1,0,2,39,1,1.0,72,58,14,9,0,
109,Orlando Ruff,NOR,28,MLB,14,8,1,0,0,0,3,,,,,,,79,58,21,1,0,
110,Charles Woodson,OAK,28,CB/lcb,13,12,1,25,0,25,9,2,0,1,0,0,2.5,73,58,15,1,0,
111,Ifeanyi Ohalete,ARI,25,FS,16,13,0,0,0,0,9,1,0,2,0,0,,70,57,13,0,0,
112,Darren Sharper,GNB,29,FS,15,13,4,97,2,43,7,2,0,1,15,1,,70,57,13,1,0,
113,Eugene Wilson,NWE,24,FS/lcb/rcb/ss,15,14,4,51,0,24,7,2,0,2,0,0,,67,57,10,1,0,
114,Brent Alexander,NYG,33,FS/ss,16,16,3,3,0,2,7,1,0,2,29,0,2.0,80,56,24,3,0,
115,Cornelius Griffin,WAS,28,dt/ldt/RDT,15,15,0,0,0,0,6,0,0,1,0,0,6.0,70,56,14,21,0,
116,Al Harris,GNB,30,RCB,16,16,1,29,0,29,20,,,,,,,62,56,6,0,0,
117,Ed Hartwell,BAL,26,lb/LILB,16,15,,,,,,1,0,1,-1,0,,97,56,41,3,0,
118,Tory James,CIN,31,RCB,16,16,8,66,0,23,13,2,0,1,0,0,,61,56,5,2,0,
119,Bracy Walker,DET,34,SS,16,16,1,0,0,0,6,0,0,2,2,0,1.0,78,56,22,2,1,
120,Marques Anderson,OAK,25,SS,14,10,1,23,0,23,2,1,0,2,0,0,,72,55,17,2,0,
121,Aaron Glenn,HOU,32,LCB,16,16,5,40,0,23,14,0,2,1,0,0,,63,55,8,0,0,
122,Hunter Hillenmeyer,CHI,24,lb/mlb,16,11,0,0,0,0,2,1,0,1,13,0,2.5,75,55,20,9,1,
123,Ted Johnson,NWE,32,LB,16,15,0,0,0,0,1,1,0,0,0,0,1.0,77,55,22,2,0,
124,R.W. McQuarters,CHI,28,fs/lcb/rcb,16,14,2,85,1,45,9,0,5,2,3,0,,67,55,12,1,0,
125,Adalius Thomas,BAL,27,lb/ROLB,16,16,1,8,0,8,5,4,0,0,0,0,8.0,72,55,17,11,1,
126,Ian Gold,TAM,26,LB,16,13,1,31,0,31,3,,,,,,0.5,71,54,17,4,0,
127,Patrick Kerney,ATL,28,DE,16,15,1,0,0,0,9,1,0,1,0,0,13.0,66,54,12,17,0,
128,Ricky Manning,CAR,24,LCB,16,16,4,46,0,30,9,0,1,0,0,0,,66,54,12,2,0,
129,Lamont Thompson,TEN,26,FS,16,13,4,77,1,37,6,1,0,0,0,0,,64,54,10,0,0,
130,Reggie Tongue,NYJ,31,SS,16,16,1,23,0,23,5,1,0,1,0,0,,71,54,17,2,0,
131,Mike Vrabel,NWE,29,LB/lolb,16,15,0,0,0,0,3,,,,,,5.5,71,54,17,10,0,
132,Fakhir Brown,NOR,27,RCB,16,10,2,0,0,0,11,2,0,3,2,0,,54,53,1,1,0,
133,Nate Clements,BUF,25,RCB,16,16,6,77,1,35,14,5,3,2,0,0,0.5,73,53,20,3,0,
134,Dexter Coakley,DAL,32,LB,16,16,0,0,0,0,6,0,0,1,0,0,,71,53,18,2,0,
135,Andra Davis,CLE,26,MLB,11,11,3,35,0,30,6,0,0,1,0,0,0.5,71,53,18,2,0,
136,Jay Foreman,HOU,28,LB,11,11,0,0,0,0,1,0,0,1,3,0,,79,53,26,2,0,
137,Kelly Herndon,DEN,28,cb/RCB,16,16,2,17,0,15,23,3,0,1,0,0,1.0,67,53,14,4,0,
138,Quentin Jammer,SDG,25,LCB,16,16,1,12,0,12,10,,,,,,,62,53,9,1,0,
139,Rashean Mathis,JAX,24,LCB,16,16,5,42,0,21,21,1,0,0,0,0,,63,53,10,2,0,
140,Rob Morris,IND,29,MLB,15,14,1,17,0,17,2,1,0,0,0,0,3.0,77,53,24,5,0,
141,Mark Roman,GNB,27,SS,16,15,0,0,0,0,2,,,,,,3.5,72,53,19,3,0,
142,Fred Smoot,WAS,25,RCB,15,15,3,17,0,17,13,2,0,1,0,0,,59,53,6,2,0,
143,Duane Starks,ARI,30,LCB,15,8,3,46,1,41,12,1,0,2,2,0,1.0,58,53,5,1,0,
144,Larry Foote,PIT,24,RILB,16,16,1,1,0,1,2,1,0,1,0,0,3.0,69,52,17,8,0,
145,Sammy Knight,MIA,29,SS,16,16,4,32,0,32,4,2,1,1,0,0,,98,52,46,3,0,1
146,Julius Peppers,CAR,24,DE,16,16,2,143,1,97,9,4,0,1,60,1,11.0,64,52,12,9,0,
147,Lito Sheppard,PHI,23,LCB,15,15,5,172,2,101,15,,,,,,1.0,56,52,4,2,0,
