,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Brian Urlacher,CHI,24,MLB,16,16,1,0,0,0,7,2,0,2,43,0,4.5,151,115,36,19,5,
2,Keith Brooking,ATL,27,LB,16,16,2,24,0,22,2,1,0,2,0,0,,139,110,29,2,0,
3,Jay Foreman,HOU,26,LB,16,16,0,0,0,0,8,1,0,0,0,0,,141,105,36,8,0,
4,Ed Hartwell,BAL,24,LILB/mlb,16,16,0,0,0,0,4,,,,,,3.0,144,105,39,13,3,
5,Mike Peterson,IND,26,LB,16,16,3,96,0,53,9,,,,,,,137,104,33,6,0,
6,Adam Archuleta,STL,25,lb/SS,16,16,1,2,0,2,5,0,0,1,0,0,2.5,116,102,14,5,3,
7,Zach Thomas,MIA,29,MLB,16,16,1,7,0,7,4,0,0,1,22,0,0.5,156,101,55,4,1,
8,Donnie Edwards,SDG,29,MLB,16,16,5,95,1,46,11,0,0,1,82,1,,128,100,28,6,0,
9,Michael Green,CHI,26,SS,16,16,0,0,0,0,5,1,0,2,-1,0,1.0,129,100,29,5,1,
10,Keith Bulluck,TEN,25,LB,16,16,1,5,0,5,7,3,0,2,61,1,1.0,125,99,26,11,0,
11,Al Wilson,DEN,25,MLB,16,15,0,0,0,0,4,1,0,2,2,0,5.0,131,99,32,8,4,
12,London Fletcher,BUF,27,lb/MLB,16,16,0,0,0,0,2,2,0,2,20,0,3.0,147,97,50,4,2,
13,Eric Barton,OAK,25,LB/lilb,16,16,2,5,0,3,4,3,0,0,0,0,6.0,125,95,30,12,2,
14,Earl Holmes,CLE,29,MLB,16,15,0,0,0,0,5,0,0,1,0,0,,127,95,32,9,0,
15,Jamie Sharper,HOU,28,MLB,16,16,0,0,0,0,9,0,0,3,2,0,5.5,135,95,40,14,6,
16,Mike Maslowski,KAN,28,ROLB,16,16,3,28,0,25,12,0,0,1,0,0,1.0,123,92,31,7,1,
17,Sam Cowart,NYJ,27,LB,16,16,0,0,0,0,8,,,,,,2.0,127,91,36,10,2,
18,Roy Williams,DAL,22,fs,16,16,5,90,2,85,8,3,0,3,0,0,2.0,99,88,11,6,2,
19,Derrick Brooks,TAM,29,LB,16,16,5,218,3,97,11,1,0,1,11,1,1.0,117,87,30,7,1,
20,Chris Cash,DET,22,LCB,16,12,1,11,0,11,11,1,1,2,0,0,,100,87,13,4,0,
21,Ian Gold,DEN,24,LB,16,16,0,0,0,0,4,1,0,2,18,0,6.5,100,85,15,10,6,
22,Dexter Coakley,DAL,30,LB,16,16,1,52,1,52,8,0,0,1,1,0,1.0,108,84,24,3,1,
23,Todd Lyght,DET,33,lcb/RCB,16,14,2,31,0,31,18,,,,,,,99,84,15,4,0,
24,Derek Smith,SFO,27,LILB/mlb,16,16,0,0,0,0,6,1,0,1,0,0,1.0,113,84,29,8,1,
25,Sammy Knight,NOR,27,s/SS,16,16,5,36,0,17,12,2,0,1,0,0,2.0,104,80,24,5,0,
26,Takeo Spikes,CIN,26,LB,16,16,0,0,0,0,1,1,0,5,45,1,1.5,112,80,32,6,2,
27,Jessie Armstead,WAS,32,LB/mlb,16,16,0,0,0,0,2,0,0,3,1,0,3.0,99,79,20,11,3,
28,William Bartee,KAN,25,RCB,14,13,0,0,0,0,7,1,0,0,0,0,,83,77,6,1,0,
29,Marvin Jones,NYJ,30,MLB,16,16,1,0,0,0,4,0,0,2,1,0,,109,77,32,2,0,
30,Reggie Tongue,SEA,29,SS,16,16,5,118,1,46,10,0,1,2,11,0,,105,77,28,1,0,
31,Rob Morris,IND,27,MLB,16,16,0,0,0,0,2,1,0,1,0,0,3.0,100,76,24,10,0,
32,Julian Peterson,SFO,24,lb/LOLB/ss,16,16,1,2,0,2,7,2,0,1,3,0,2.0,94,76,18,5,2,
33,Raynoch Thompson,ARI,25,LB/lolb,16,16,0,0,0,0,3,,,,,,3.0,109,76,33,11,3,
34,Mike Brown,CHI,24,FS,16,15,3,16,0,16,7,3,0,2,106,1,,90,75,15,1,0,
35,Reggie Howard,CAR,25,RCB,14,14,2,19,0,13,8,0,0,2,6,0,1.0,83,75,8,5,1,
36,Mark Fields,CAR,30,LB,15,15,1,37,0,30,7,0,0,2,0,0,7.5,101,74,27,14,5,
37,Shelton Quarles,TAM,31,MLB,16,16,2,29,1,25,5,,,,,,1.0,113,74,39,3,1,
38,Shaunard Harts,KAN,24,FS/ss,16,11,0,0,0,0,1,0,0,2,11,0,2.0,84,73,11,4,1,
39,John Mobley,DEN,29,LB,16,16,0,0,0,0,3,0,0,2,1,0,1.0,100,73,27,9,1,
40,Lance Schulters,TEN,27,FS,16,16,6,56,0,28,11,0,0,1,0,0,2.0,86,73,13,5,2,
41,Micheal Barrow,NYG,32,MLB,15,14,0,0,0,0,3,2,0,0,0,0,2.5,109,72,37,10,2,
42,Chris Claiborne,DET,24,MLB,16,15,3,63,1,43,7,0,0,1,0,0,4.5,100,72,28,8,3,
43,Ryan McNeil,SDG,32,RCB,15,15,1,16,0,16,12,0,0,4,14,1,,79,72,7,1,0,
44,Peter Sirmon,TEN,25,LB,16,12,3,88,1,32,4,,,,,,2.0,93,72,21,6,2,
45,Wali Rainer,JAX,25,MLB,16,14,0,0,0,0,6,0,0,1,0,0,1.0,92,71,21,4,1,
46,Ed Reed,BAL,24,fs/SS,16,16,5,167,0,59,12,0,1,0,0,0,1.0,85,71,14,5,1,
