,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,DeMeco Ryans,HOU,22,lb/MLB,16,16,1,16,0,16,7,1,0,1,0,0,3.5,155,125,30,13,9,
2,Lance Briggs,CHI,26,LB,16,16,2,18,0,18,9,4,0,1,0,0,1.0,130,109,21,11,2,
3,Antonio Pierce,NYG,28,MLB,16,16,1,6,0,6,9,1,0,2,0,0,1.0,137,107,30,10,3,
4,London Fletcher,BUF,31,MLB,16,16,4,30,1,17,14,0,0,1,5,1,2.0,146,104,42,9,3,
5,Zach Thomas,MIA,33,lb/MLB,16,16,1,-4,0,-4,8,2,0,0,0,0,3.0,165,103,62,7,3,
6,Kirk Morrison,OAK,24,MLB,16,16,2,32,0,31,5,1,0,1,35,1,1.0,127,101,26,14,1,
7,Keith Bulluck,TEN,29,LB,16,16,1,0,0,0,8,2,0,1,17,1,2.5,143,99,44,4,2,
8,Will Witherspoon,STL,26,lb/MLB,16,16,0,0,0,0,9,3,0,1,0,0,3.0,113,99,14,8,5,
9,Donnie Edwards,SDG,33,LB/rilb,16,16,3,11,0,8,8,2,1,1,0,0,2.5,141,97,44,4,5,
10,Derrick Brooks,TAM,33,LB,16,16,3,51,1,21,4,,,,,,,121,96,25,4,0,
11,Cato June,IND,27,LB,16,16,3,14,0,8,4,1,0,1,0,0,1.0,142,96,46,6,3,
12,Keith Brooking,ATL,31,LB/MLB,16,16,0,0,0,0,1,0,0,1,0,0,2.5,136,95,41,4,4,
13,Brian Urlacher,CHI,28,MLB,16,16,3,38,0,36,9,1,0,1,0,0,,141,92,49,11,8,
14,Lofa Tatupu,SEA,24,MLB,16,16,1,19,0,19,7,2,0,1,0,0,1.5,122,91,31,5,4,
15,Chris Hope,TEN,26,SS,16,16,5,105,1,61,15,0,0,1,0,0,,121,89,32,3,0,
16,Thomas Howard,OAK,23,LB,16,15,0,0,0,0,2,,,,,,,110,88,22,6,1,
17,Jeremiah Trotter,PHI,29,MLB,16,16,1,17,0,17,4,1,0,0,0,0,,112,87,25,3,0,
18,Stuart Schweigert,OAK,25,FS,16,16,0,0,0,0,4,0,0,1,0,0,,107,86,21,0,0,
19,Sean Taylor,WAS,23,FS,16,16,1,25,0,25,7,3,0,0,0,0,,111,86,25,1,1,
20,Gary Brackett,IND,26,MLB,14,14,0,0,0,0,2,3,0,0,0,0,,120,85,35,4,1,
21,David Thornton,TEN,28,LB,16,13,0,0,0,0,5,2,0,0,0,0,,107,85,22,4,1,
22,Ronde Barber,TAM,31,RCB,16,16,3,103,2,66,16,2,0,0,0,0,,98,84,14,5,1,
23,Jermaine Phillips,TAM,27,SS,16,16,2,45,0,29,9,5,0,1,17,0,1.0,104,84,20,4,4,
24,James Farrior,PIT,31,LILB/rilb,16,16,1,1,0,1,6,2,0,1,0,0,4.0,126,83,43,9,7,
25,Morlon Greenwood,HOU,28,LB,16,16,1,0,0,0,3,2,0,3,15,0,1.0,109,83,26,5,1,
26,Antoine Winfield,MIN,29,LCB,16,16,4,33,1,26,14,0,0,1,0,0,,97,83,14,7,3,
27,A.J. Hawk,GNB,22,LB,16,16,2,31,0,25,7,1,0,2,0,0,3.5,119,82,37,6,7,
28,Kawika Mitchell,KAN,27,MLB,16,16,1,23,0,23,3,0,0,1,0,0,1.5,104,82,22,5,5,
29,Ernie Sims,DET,22,LB,16,16,0,0,0,0,1,1,0,1,0,0,0.5,124,81,43,4,0,
30,Ray Lewis,BAL,31,MLB/rilb,14,14,2,27,0,27,8,1,0,1,0,0,5.0,103,80,23,8,9,
31,Andra Davis,CLE,28,lb/MLB,14,14,2,19,0,19,3,1,0,0,0,0,1.0,104,79,25,6,5,
32,Chris Draft,CAR,30,lb/MLB,16,16,0,0,0,0,2,2,0,2,8,0,5.5,107,79,28,10,7,
33,Gerald Hayes,ARI,26,MLB,14,14,3,24,0,24,6,0,0,2,0,0,1.0,93,79,14,5,2,
34,Landon Johnson,CIN,25,LB/rolb,16,16,1,2,0,2,4,3,0,0,0,0,0.5,112,78,34,2,2,
35,Bart Scott,BAL,26,LB/lilb/mlb,16,16,2,31,0,24,9,,,,,,9.5,103,78,25,12,20,
36,Al Wilson,DEN,29,MLB,15,15,0,0,0,0,4,1,0,0,0,0,1.0,101,78,23,5,2,
37,Corey Chavous,STL,30,SS,16,16,1,17,0,17,8,0,0,2,0,0,1.0,86,77,9,4,3,
38,Antrel Rolle,ARI,24,LCB,16,16,1,23,0,23,11,2,0,0,0,0,,84,77,7,2,0,
39,E.J. Henderson,MIN,26,LB,16,16,2,48,1,45,4,1,0,2,2,0,3.0,109,76,33,8,7,
40,Ken Hamlin,SEA,25,FS,16,16,3,63,0,37,11,1,0,0,0,0,2.0,96,75,21,1,1,
41,Kerry Rhodes,NYJ,24,fs/S,16,16,4,46,0,25,13,3,0,1,4,0,5.0,98,75,23,4,4,
42,Darrent Williams,DEN,24,RCB,15,14,4,37,1,31,9,1,3,3,12,0,,86,75,11,3,0,
43,Will Demps,NYG,27,FS,16,16,2,30,0,29,7,1,0,2,0,0,1.0,100,74,26,3,0,
44,Sammy Knight,KAN,31,SS,16,16,1,27,0,27,4,,,,,,2.0,83,74,9,4,2,
45,Adrian Wilson,ARI,27,SS,16,16,4,146,1,99,10,4,0,2,99,1,5.0,82,74,8,12,8,
46,Gibril Wilson,NYG,25,SS,15,15,2,25,0,25,10,3,0,2,0,0,,100,74,26,2,4,
47,Champ Bailey,DEN,28,LCB,16,16,10,162,1,70,21,0,0,1,4,0,,85,73,12,5,0,
48,Eric Barton,NYJ,29,LB/lolb,16,15,0,0,0,0,2,1,0,0,0,0,4.5,101,73,28,6,4,
49,Anthony Henry,DAL,30,RCB,16,16,2,41,0,37,21,,,,,,,81,73,8,0,0,
50,Scott Shanle,NOR,27,LB,16,15,0,0,0,0,1,1,0,0,0,0,4.0,97,73,24,6,5,
51,Lawyer Milloy,ATL,33,lb/SS,16,16,0,0,0,0,5,,,,,,2.0,98,72,26,6,5,
52,Daryl Smith,JAX,24,lb/MLB,16,16,1,4,0,4,7,1,0,0,0,0,3.0,88,72,16,8,4,
53,Brian Dawkins,PHI,33,FS,16,16,4,38,0,38,14,5,0,0,0,0,1.0,93,71,22,5,5,
54,Quentin Jammer,SDG,27,LCB,16,16,4,57,0,35,18,,,,,,,78,71,7,0,0,
55,Julian Peterson,SEA,28,LB/rolb,16,16,1,-4,0,-4,6,1,0,1,25,0,10.0,89,71,18,13,14,
56,Erik Coleman,NYJ,24,S/ss,16,13,1,3,0,3,4,,,,,,,101,70,31,3,1,
57,LeRoy Hill,SEA,24,LB/lolb,15,15,0,0,0,0,2,1,0,1,4,0,2.0,92,70,22,2,2,
58,Sean Jones,CLE,24,SS,16,16,5,46,0,19,16,0,0,1,-3,0,0.5,111,70,41,3,7,
59,Lemar Marshall,WAS,30,MLB,15,15,0,0,0,0,3,0,0,1,0,0,1.5,104,70,34,2,5,1
