,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
53,David Harris,NYJ,29,MLB,16,16,0,0,0,0,1,1,0,0,0,0,2.0,124,70,54,8,4,
54,Erin Henderson,MIN,27,lb/MLB,14,12,2,19,0,10,3,1,0,0,0,0,4.0,112,69,43,12,6,
55,Sean Lee,DAL,27,MLB,11,11,4,174,1,74,6,0,0,1,10,0,,99,68,31,3,1,
56,Josh Wilson,WAS,28,RCB,16,16,1,0,0,0,7,2,0,3,1,0,2.0,93,68,25,5,5,
57,Duke Ihenacho,DEN,24,SS,15,14,0,0,0,0,6,3,0,2,0,0,,89,67,22,2,0,
58,Morgan Burnett,GNB,24,SS,13,13,0,0,0,0,6,0,0,3,12,1,,102,66,36,0,0,
59,Bradley Fletcher,PHI,27,LCB,13,13,2,30,0,25,15,1,0,1,0,0,,73,66,7,0,0,
60,William Moore,ATL,28,S/ss,16,16,3,36,0,19,7,3,0,2,0,0,2.0,85,66,19,3,3,
61,Brandon Flowers,KAN,27,LCB,13,13,1,32,0,32,8,,,,,,1.0,71,65,6,3,3,
62,Dont'a Hightower,NWE,23,LB,16,14,0,0,0,0,3,,,,,,1.0,113,65,48,4,5,
63,Tyrann Mathieu,ARI,21,db/FS/s,13,11,2,7,0,7,9,1,0,0,0,0,1.0,68,65,3,6,3,
64,Spencer Paysinger,NYG,25,LB,16,10,0,0,0,0,1,0,0,1,0,0,1.0,74,65,9,0,2,
65,J.J. Watt,HOU,24,DE,16,16,0,0,0,0,7,4,0,2,0,0,10.5,80,65,15,22,46,
66,Rey Maualuga,CIN,26,lb/MLB,13,13,1,14,0,14,2,,,,,,1.0,90,64,26,0,1,
67,Lardarius Webb,BAL,28,LCB,16,16,2,19,0,19,22,,,,,,,75,64,11,2,0,
68,Chris Clemons,MIA,28,S/ss,16,16,1,0,0,0,8,,,,,,,93,63,30,1,0,
69,Demario Davis,NYJ,24,LB,16,16,1,0,0,0,1,,,,,,1.0,107,63,44,5,5,
70,London Fletcher,WAS,38,MLB,16,16,0,0,0,0,2,1,0,0,0,0,2.0,111,63,48,4,3,
71,Mason Foster,TAM,24,MLB,15,13,3,122,2,85,7,1,0,0,0,0,2.0,92,63,29,6,7,
72,Tashaun Gipson,CLE,23,FS,16,15,5,143,1,44,12,,,,,,,94,63,31,2,0,
73,James Ihedigbo,BAL,30,SS,16,16,3,54,0,37,11,1,0,2,0,0,,101,63,38,5,3,
74,Rodney McLeod,STL,23,FS,16,16,2,2,0,2,7,2,0,2,9,0,,79,63,16,2,0,
75,Dawan Landry,NYJ,31,S,16,16,1,38,0,38,7,,,,,,1.0,100,62,38,2,3,
76,LaRon Landry,IND,29,FS,12,12,0,0,0,0,2,,,,,,,87,62,25,1,1,
77,Kenny Vaccaro,NOR,22,db/S/ss,14,14,1,29,0,29,8,1,0,0,0,0,1.0,79,62,17,4,3,
78,Cary Williams,PHI,29,RCB,16,16,3,16,0,15,12,0,0,1,0,0,1.0,73,62,11,1,1,
79,Yeremiah Bell,ARI,35,SS,16,16,2,6,0,6,9,,,,,,1.0,77,61,16,5,2,
80,Ryan Clark,PIT,34,FS,16,16,2,50,0,37,4,0,0,1,0,0,,104,61,43,1,0,
81,Moise Fokou,TEN,28,MLB,12,12,,,,,,2,0,1,0,0,1.0,77,61,16,2,3,
82,Michael Griffin,TEN,28,FS,14,14,1,0,0,0,4,2,0,1,0,0,,82,61,21,1,1,
83,Tramon Williams,GNB,30,LCB,16,16,3,10,0,10,11,2,0,2,0,0,2.5,83,61,22,4,3,
84,Brandon Carr,DAL,27,LCB,16,16,3,49,1,49,12,0,0,1,21,0,,71,60,11,2,0,
85,Chris Harris,DEN,24,cb/LCB/rcb,16,15,3,1,0,1,14,,,,,,,67,60,7,5,2,
86,David Hawthorne,NOR,28,LB,16,15,,,,,,1,0,0,0,0,3.0,91,60,31,8,4,
87,Will Hill,NYG,23,db/FS/s,12,10,2,38,1,38,2,2,0,1,8,0,,77,60,17,1,1,
88,Brad Jones,GNB,27,MLB,12,12,,,,,,1,0,1,3,0,3.0,84,60,24,8,5,
89,Leodis McKelvin,BUF,28,LCB,15,13,1,0,0,0,19,1,7,4,0,0,,72,60,12,1,0,
90,Jerraud Powers,ARI,26,RCB,16,16,1,9,0,9,17,1,0,0,0,0,,66,60,6,0,0,
91,Aaron Williams,BUF,23,cb/lcb/rcb/SS,14,14,4,43,0,34,11,1,0,0,0,0,,82,60,22,2,0,
92,Nate Allen,PHI,26,SS,16,16,1,43,0,43,5,1,0,0,0,0,1.0,82,59,23,2,1,
93,Marcus Gilchrist,SDG,25,cb/SS,16,16,2,43,0,26,5,1,0,1,0,0,1.0,77,59,18,3,1,
94,Geno Hayes,JAX,26,LB,14,14,2,39,0,28,4,1,0,0,0,0,1.0,78,59,19,2,2,
95,M.D. Jennings,GNB,25,FS,16,16,0,0,0,0,1,0,0,1,24,1,1.0,77,59,18,4,1,
96,Orlando Scandrick,DAL,26,cb/db/RCB,16,15,2,0,0,0,12,1,0,0,0,0,2.0,64,59,5,4,2,
97,Daryl Washington,ARI,27,LB,12,12,2,49,0,41,11,0,0,1,0,0,3.0,75,59,16,8,12,
98,Trumaine Johnson,STL,23,lb/LCB,16,12,3,36,0,29,11,1,0,0,0,0,,68,58,10,2,0,
99,Devin McCourty,NWE,26,db/S,15,15,1,0,0,0,9,2,0,1,44,0,,79,58,21,1,0,
100,Terrell Thomas,NYG,28,cb/db/lcb/ss,16,7,1,65,0,65,7,1,0,0,0,0,1.0,67,58,9,1,1,
101,Donte Whitner,SFO,28,SS,16,16,2,7,0,7,12,2,1,1,-5,0,,73,58,15,3,0,
102,DeAngelo Hall,WAS,30,LCB,16,16,4,49,2,26,13,3,0,1,75,1,,78,57,21,1,0,
103,Mike Jenkins,OAK,28,LCB,15,15,2,0,0,0,6,1,0,1,20,0,,65,57,8,5,0,
104,Richard Marshall,SDG,29,lcb/rcb,16,6,0,0,0,0,6,0,0,3,14,0,,71,57,14,0,0,
105,Craig Robertson,CLE,25,LB,14,14,1,12,0,12,3,1,0,1,7,0,3.0,85,57,28,4,4,
106,Jamarca Sanford,MIN,28,fs/SS,13,13,0,0,0,0,1,2,0,1,0,0,,75,57,18,2,1,
107,Daryl Smith,BAL,31,MLB,16,16,3,41,1,37,18,2,0,0,0,0,5.0,123,57,66,8,7,
108,Corey Graham,BAL,28,cb,16,5,4,28,0,28,12,1,0,0,0,0,1.0,74,56,18,5,2,
109,Lamarr Houston,OAK,26,DE,16,16,,,,,,2,0,1,0,0,6.0,69,56,13,10,16,
110,Brandian Ross,OAK,24,SS,16,13,0,0,0,0,3,1,0,0,0,0,2.0,75,56,19,1,4,
111,William Gay,PIT,28,cb/LCB,16,11,1,21,1,21,9,2,0,0,0,0,1.0,63,55,8,4,1,
112,Robert McClain,ATL,25,cb,16,6,0,0,0,0,5,2,1,2,0,0,1.0,65,55,10,2,3,
113,Darryl Sharpton,HOU,25,MLB,15,8,0,0,0,0,1,2,0,0,0,0,,86,55,31,2,4,
114,Buster Skrine,CLE,24,fs/RCB,16,15,1,5,0,5,17,,,,,,1.0,65,55,10,2,1,
115,Desmond Trufant,ATL,23,CB,16,16,2,0,0,0,17,1,0,1,18,0,,70,55,15,1,0,
116,Matt Elam,BAL,22,FS,16,15,1,18,0,18,3,0,0,2,7,0,,77,54,23,5,0,
117,Dashon Goldson,TAM,29,FS,13,13,1,0,0,0,8,1,0,1,0,0,,72,54,18,1,0,
118,Janoris Jenkins,STL,25,RCB,16,16,1,5,0,5,14,0,0,1,0,0,1.0,60,54,6,0,1,
119,Akeem Jordan,KAN,28,LILB,16,10,,,,,,2,0,0,0,0,,67,54,13,3,0,
120,Jason McCourty,TEN,26,CB,16,16,0,0,0,0,11,1,0,1,77,1,,65,54,11,2,0,
121,D.J. Swearinger,HOU,22,SS,16,10,1,0,0,0,4,1,0,0,0,0,,70,54,16,3,0,
122,Shareece Wright,SDG,26,RCB,13,13,1,41,0,41,9,,,,,,,56,54,2,1,0,
123,Brandon Meriweather,WAS,29,FS/ss,13,13,2,62,0,32,3,1,0,1,0,0,1.0,69,53,16,3,2,
124,Tracy Porter,OAK,27,cb/RCB,16,16,2,44,1,43,12,,,,,,1.5,67,53,14,5,4,
125,Ahmad Brooks,SFO,29,LB,16,16,1,22,0,22,7,2,1,1,0,0,8.5,60,52,8,12,15,
126,Brent Grimes,MIA,30,CB/lcb,16,16,4,102,1,94,17,,,,,,,60,52,8,1,1,
127,Rashad Johnson,ARI,27,fs/s,13,7,3,35,0,18,5,,,,,,,58,52,6,0,0,
128,Shiloh Keo,HOU,26,FS,16,11,1,4,0,4,6,,,,,,,63,52,11,0,0,
129,Manny Lawson,BUF,29,LB,15,15,1,0,0,0,1,1,0,1,1,0,4.0,73,52,21,10,6,
130,Mike Mitchell,CAR,26,FS,15,14,4,63,0,38,8,2,0,0,0,0,4.0,72,52,20,4,6,
131,Captain Munnerlyn,CAR,25,LCB/rcb,16,16,2,86,2,45,12,1,0,1,0,0,3.0,77,52,25,4,5,
132,Andrew Sendejo,MIN,26,FS/ss,16,10,1,1,0,1,2,,,,,,,84,52,32,5,0,
133,Ike Taylor,PIT,33,RCB,16,16,0,0,0,0,12,,,,,,,63,52,11,1,0,
134,Wesley Woodyard,DEN,27,MLB,14,10,1,0,0,0,4,2,0,0,0,0,1.5,91,52,39,3,9,
135,Lance Briggs,CHI,33,LB,9,9,0,0,0,0,6,2,0,0,0,0,3.0,71,51,20,10,3,
136,Kareem Jackson,HOU,25,LCB,14,14,0,0,0,0,9,0,0,1,0,0,,56,51,5,1,0,
137,Adam Jones,CIN,30,db/RCB,16,13,3,60,1,60,12,1,0,2,43,0,,63,51,12,2,0,
