,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Jonathan Vilma,NYJ,23,MLB,16,16,1,1,0,1,6,4,1,1,4,0,0.5,169,124,45,7,0,
2,Donnie Edwards,SDG,32,LB,16,16,2,15,0,14,11,2,0,0,0,0,3.0,152,112,40,4,0,
3,London Fletcher,BUF,30,MLB,16,16,1,20,0,20,3,1,0,2,0,0,4.0,157,104,53,6,0,1
4,Zach Thomas,MIA,32,MLB,14,14,1,0,0,0,3,4,0,1,0,0,2.0,158,104,54,13,0,
5,Keith Bulluck,TEN,28,LB,16,16,2,16,0,16,10,1,0,1,0,0,5.0,138,102,36,12,0,
6,Jeremiah Trotter,PHI,28,MLB,15,15,1,2,0,2,10,2,0,0,0,0,1.0,119,101,18,11,0,
7,Shelton Quarles,TAM,34,MLB,16,16,0,0,0,0,2,4,0,1,0,0,1.0,129,99,30,6,0,1
8,Demorrio Williams,ATL,25,LB,16,16,2,6,0,6,3,1,0,1,0,0,3.0,127,99,28,9,0,
9,Brian Urlacher,CHI,27,MLB,16,16,0,0,0,0,5,1,0,0,0,0,6.0,121,97,24,17,0,
10,Mike Peterson,JAX,29,lb/MLB,16,16,3,54,1,26,6,2,0,1,0,0,6.0,131,94,37,10,0,
11,Derrick Brooks,TAM,32,LB,16,16,1,0,0,0,11,1,0,0,0,0,3.0,125,93,32,10,1,
12,Michael Lewis,PHI,25,SS,16,16,2,13,0,13,8,1,0,1,0,0,1.0,107,93,14,4,0,
13,Adrian Wilson,ARI,26,SS,16,16,1,36,0,36,9,2,0,2,0,0,8.0,109,93,16,13,0,
14,Gary Brackett,IND,25,MLB,16,16,3,50,0,31,6,,,,,,1.0,127,92,35,0,0,
15,Nick Barnett,GNB,24,MLB,16,16,1,95,1,95,2,1,0,3,17,0,1.0,138,91,47,9,0,
16,Kirk Morrison,OAK,23,LB,16,15,0,0,0,0,2,0,0,2,0,0,,116,91,25,5,0,
17,Derek Smith,SFO,30,lilb/RILB,16,16,1,13,0,13,7,0,0,1,0,1,,116,90,26,12,0,
18,Gibril Wilson,NYG,24,SS,16,16,2,36,0,19,5,2,0,0,0,0,3.0,112,90,22,4,1,
19,Andra Davis,CLE,27,lb/MLB,16,16,1,14,0,14,6,,,,,,2.0,149,89,60,9,0,
20,Antoine Winfield,MIN,28,LCB,16,16,4,5,0,4,8,0,0,2,0,0,,98,89,9,1,0,
21,Keith Brooking,ATL,30,lb/MLB,16,16,4,50,0,22,10,0,0,1,0,0,3.5,115,88,27,5,0,
22,Kerry Rhodes,NYJ,23,fs/S/ss,16,16,1,0,0,0,7,1,0,0,0,0,1.0,105,85,20,1,0,
23,Lofa Tatupu,SEA,23,MLB,16,16,3,55,1,38,10,0,0,1,0,0,4.0,104,85,19,9,1,
24,Erik Coleman,NYJ,23,fs/S/ss,16,16,2,4,0,4,7,,,,,,,121,84,37,1,0,
25,Kawika Mitchell,KAN,26,MLB,16,16,1,0,0,0,11,0,0,2,0,0,2.0,105,84,21,8,0,
26,Ronde Barber,TAM,30,RCB,16,16,5,105,0,42,20,0,0,1,4,0,2.0,99,83,16,2,0,
27,Lance Briggs,CHI,25,LB,16,16,2,30,1,20,11,1,0,2,0,0,2.0,107,83,24,8,0,
28,Danny Clark,OAK,28,LB/mlb,16,15,0,0,0,0,7,,,,,,1.0,113,82,31,6,0,
29,Morlon Greenwood,HOU,27,MLB,16,16,0,0,0,0,7,0,0,2,0,0,2.0,112,82,30,4,2,
30,Charles Tillman,CHI,24,LCB,15,15,5,172,1,95,16,4,0,1,0,0,1.0,93,82,11,0,0,
31,Angelo Crowell,BUF,24,LB,15,13,2,3,0,2,5,2,0,0,0,0,3.0,119,79,40,9,0,
32,Derrick Johnson,KAN,23,LOLB,16,16,0,0,0,0,5,2,0,1,0,0,2.0,95,79,16,7,0,
33,Lemar Marshall,WAS,29,MLB,16,16,4,55,1,27,9,2,0,0,0,0,2.0,98,79,19,5,1,
34,Antonio Pierce,NYG,27,MLB,13,13,2,41,0,24,11,1,0,2,12,1,2.5,99,79,20,7,1,
35,Nate Clements,BUF,26,RCB,16,16,2,0,0,0,13,3,0,1,0,0,,99,78,21,4,0,
36,Ben Taylor,CLE,27,LB,16,16,0,0,0,0,3,,,,,,,113,77,36,2,0,
37,Larry Foote,PIT,25,RILB,16,16,0,0,0,0,2,0,0,1,27,0,3.0,102,76,26,13,1,1
38,Renaldo Hill,OAK,27,CB/db/fs,16,13,1,0,0,0,5,,,,,,,89,75,14,4,0,
39,Lawyer Milloy,BUF,32,SS,16,16,1,0,0,0,4,0,0,1,0,0,1.0,106,75,31,4,0,
40,Ike Taylor,PIT,25,LCB,16,15,1,0,0,0,20,0,0,2,8,0,,91,75,16,0,0,
41,James Farrior,PIT,30,LILB,14,14,0,0,0,0,4,2,0,1,0,0,2.0,119,74,45,7,0,
42,Kenoy Kennedy,DET,28,SS,16,16,2,64,1,64,6,1,1,0,0,0,,98,74,24,3,0,
43,Marlon McCree,CAR,28,SS,16,15,3,73,0,46,10,0,0,1,4,0,,88,74,14,2,0,
44,Shawntae Spencer,SFO,23,RCB,15,14,4,85,1,61,19,,,,,,,83,74,9,2,0,
45,Bradie James,DAL,24,MLB,16,16,0,0,0,0,4,,,,,,2.5,93,73,20,4,0,
46,Troy Polamalu,PIT,24,SS,16,16,2,42,0,36,8,1,0,2,78,1,3.0,91,73,18,7,0,
47,Mike Vrabel,NWE,30,LB/lolb,16,16,2,23,1,24,5,1,0,0,0,0,4.5,108,73,35,7,0,
48,Marcus Washington,WAS,28,LB,16,16,1,41,0,41,8,3,0,2,-1,0,7.5,93,73,20,11,2,
49,Jason Webster,ATL,28,RCB,15,13,1,19,0,19,5,2,0,0,0,0,,79,73,6,2,0,
50,Sam Cowart,MIN,30,lb/lilb/MLB,15,14,0,0,0,0,2,,,,,,2.0,85,72,13,7,0,
51,Ian Gold,DEN,27,LB,16,16,0,0,0,0,4,4,0,2,0,0,3.0,88,72,16,12,0,
52,Tommy Polley,BAL,27,lb/lilb/mlb/rilb,16,15,0,0,0,0,3,0,0,1,2,0,4.0,96,72,24,5,1,
53,James Darling,ARI,31,MLB,14,14,2,22,0,15,4,,,,,,1.0,88,71,17,4,0,
54,Bob Sanders,IND,24,FS,14,14,1,0,0,0,4,1,0,1,0,0,,91,71,20,3,0,
55,Pisa Tinoisamoa,STL,24,LB,16,16,2,35,0,20,9,1,0,0,0,0,1.5,94,71,23,7,0,
56,Sammy Knight,KAN,30,SS,16,16,2,12,0,12,13,2,0,2,80,1,2.0,89,70,19,3,0,
57,Mark Roman,GNB,28,SS,16,16,2,18,0,12,8,0,0,2,0,0,,90,70,20,2,0,
58,Stuart Schweigert,OAK,24,FS,16,13,2,35,0,33,9,2,0,3,3,0,,87,70,17,0,0,
59,Daryl Smith,JAX,23,LB,16,16,1,0,0,0,2,,,,,,4.0,81,70,11,10,0,
60,Karlos Dansby,ARI,24,LB,15,15,3,31,2,18,5,2,0,2,0,0,4.0,88,69,19,13,0,
61,Chris Hope,PIT,25,FS,16,16,3,60,0,55,5,1,0,1,6,0,,96,69,27,1,0,
62,Daylon McCutcheon,CLE,29,LCB,16,16,2,14,0,14,9,2,0,0,0,0,,76,69,7,3,0,
63,Dunta Robinson,HOU,23,lcb/RCB,16,16,1,1,0,1,10,1,0,1,0,0,1.0,88,69,19,2,0,
64,Adalius Thomas,BAL,28,LB/lolb,16,16,2,48,1,28,5,4,0,4,44,2,9.0,84,69,15,8,0,
65,Roy Williams,DAL,25,SS,16,16,3,52,1,46,10,3,0,1,0,0,2.5,81,69,12,4,0,
66,Cato June,IND,26,LB,13,13,5,115,2,36,7,,,,,,,102,68,34,1,0,
67,Brian Dawkins,PHI,32,FS,16,16,3,24,0,24,24,4,0,1,0,0,3.5,77,66,11,4,1,
68,Will Witherspoon,CAR,25,LB,15,15,2,35,1,35,14,,,,,,2.5,81,66,15,5,0,
69,Chris Gamble,CAR,22,lcb/RCB,15,15,7,157,1,61,12,1,0,1,0,0,,75,65,10,2,0,
70,Nick Greisen,NYG,26,LB,16,12,0,0,0,0,4,3,0,3,28,0,1.0,85,65,20,9,0,
71,Orpheus Roye,CLE,32,DE,16,16,0,0,0,0,4,0,0,1,0,0,3.0,88,65,23,9,0,
72,Greg Wesley,KAN,27,FS,16,16,6,106,0,51,8,1,0,0,0,0,,82,65,17,1,0,
73,Will Allen,NYG,27,LCB,16,16,0,17,0,17,11,1,0,1,0,0,,72,64,8,1,0,
74,Domonique Foxworth,DEN,22,cb/lcb/rcb,16,7,2,23,0,23,16,1,0,2,9,0,,70,64,6,0,0,
75,Odell Thurman,CIN,22,lb/MLB,16,15,5,59,1,30,9,5,0,1,23,0,1.5,98,64,34,5,0,
76,Mike Brown,CHI,27,SS,12,12,3,116,1,72,6,1,0,0,0,0,1.0,72,63,9,1,0,
77,Nick Collins,GNB,22,FS,16,16,1,0,0,0,8,2,0,0,0,0,,84,63,21,3,0,
78,Kevin Kaesviharn,CIN,29,FS/ss,16,16,3,9,0,6,8,0,0,3,0,0,1.0,87,63,24,2,0,
79,DaShon Polk,HOU,28,LB,16,11,0,0,0,0,1,1,0,0,0,0,3.5,93,63,30,3,3,
80,Corey Ivy,STL,28,cb/rcb,16,5,1,19,0,19,5,1,0,0,0,0,2.0,69,62,7,9,0,
81,Ken Lucas,CAR,26,LCB/rcb,15,15,6,70,0,32,15,0,0,1,24,0,,69,62,7,3,0,
82,Bart Scott,BAL,25,lb/lilb/mlb/rilb,16,10,0,0,0,0,1,2,0,2,11,0,4.0,92,62,30,8,2,
83,Dwight Smith,NOR,27,fs/SS,15,15,2,53,0,28,7,2,1,0,0,0,1.0,72,62,10,8,0,
84,Chaun Thompson,CLE,25,LB/rolb,16,15,0,0,0,0,3,2,0,1,0,0,5.0,83,62,21,10,0,
85,Jordan Babineaux,SEA,23,lcb,16,4,3,56,0,25,8,1,0,1,0,0,,74,61,13,3,0,
86,Nick Ferguson,DEN,31,SS,16,16,5,59,0,30,8,0,0,1,0,0,,79,61,18,0,0,
87,Quentin Jammer,SDG,26,LCB,16,16,1,14,0,14,19,1,0,0,0,0,,72,61,11,0,0,
88,Ronald McKinnon,NOR,32,MLB,16,9,0,0,0,0,1,,,,,,,78,61,17,4,0,
89,Fred Thomas,NOR,32,RCB,16,11,2,4,0,4,11,0,0,2,0,0,3.0,80,61,19,6,0,
90,Lamont Thompson,TEN,27,FS,16,16,1,0,0,0,3,1,0,0,0,0,1.0,80,61,19,2,0,
91,Al Wilson,DEN,28,MLB,15,15,0,0,0,0,9,2,0,1,0,0,3.0,72,61,11,4,0,
92,Colby Bockwoldt,NOR,24,LB,16,16,0,0,0,0,3,0,0,1,0,0,,89,60,29,6,0,
93,Nick Harper,IND,31,LCB,15,15,3,41,0,21,15,0,0,1,7,0,,66,60,6,2,0,
94,Landon Johnson,CIN,24,LB/mlb,16,10,0,0,0,0,2,1,0,0,0,0,,86,60,26,7,0,
95,Rashean Mathis,JAX,25,LCB,16,16,5,79,1,41,15,0,0,1,0,0,,69,60,9,1,0,
96,Sean Taylor,WAS,22,FS,15,15,2,34,0,32,12,2,0,1,39,1,1.0,70,60,10,2,0,
97,Keith Adams,PHI,26,LB,16,16,0,0,0,0,1,,,,,,,69,59,10,3,0,
98,Champ Bailey,DEN,27,LCB,14,14,8,139,2,65,23,1,0,0,0,0,,64,59,5,3,0,
99,Aaron Kampman,GNB,26,DE,16,16,0,0,0,0,2,2,0,0,0,0,6.5,81,59,22,9,0,
100,Terrence McGee,BUF,25,LCB,15,14,4,97,1,46,15,1,1,2,0,0,,72,59,13,1,0,
101,Michael Strahan,NYG,34,DE,16,16,0,0,0,0,2,1,0,1,0,0,11.5,81,59,22,18,4,
102,David Thornton,IND,27,LB,16,16,0,0,0,0,1,2,0,0,0,0,2.0,81,59,22,1,0,
