,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Patrick Willis,SFO,22,MLB/rilb,16,16,0,0,0,0,5,2,0,1,0,0,4.0,174,135,39,8,7,
2,Jon Beason,CAR,22,lb/MLB,16,16,1,0,0,0,8,0,0,1,2,0,,140,106,34,4,0,
3,D.J. Williams,DEN,25,MLB,16,16,1,0,0,0,4,2,0,2,0,0,1.0,141,106,35,13,1,
4,Nick Barnett,GNB,26,MLB,16,16,2,40,0,38,4,0,0,1,0,0,3.5,131,102,29,8,8,
5,London Fletcher,WAS,32,lb/MLB,16,16,3,36,1,27,10,0,0,1,6,0,,128,100,28,5,1,
6,DeMeco Ryans,HOU,23,MLB,16,16,1,1,0,1,7,1,0,3,26,1,2.0,128,99,29,3,3,
7,Ernie Sims,DET,23,LB,16,16,1,5,0,5,2,3,0,0,0,0,1.0,134,97,37,8,6,
8,Kirk Morrison,OAK,25,MLB,16,16,4,94,0,45,10,0,1,1,0,0,1.0,120,96,24,10,1,
9,E.J. Henderson,MIN,27,MLB,16,16,0,0,0,0,4,3,0,2,16,0,4.5,118,94,24,17,11,
10,Michael Boley,ATL,25,LB,16,16,2,12,0,12,7,4,0,0,0,0,3.0,109,93,16,5,7,
11,David Thornton,TEN,29,LB,16,16,2,16,0,11,6,1,0,1,0,0,1.0,122,93,29,10,1,
12,Brian Urlacher,CHI,29,MLB,16,16,5,101,1,85,12,0,0,2,0,0,5.0,123,92,31,7,7,
13,Will Witherspoon,STL,27,lb/MLB,16,16,0,0,0,0,7,2,0,1,0,0,7.0,110,92,18,14,13,
14,Morlon Greenwood,HOU,29,LB,16,15,1,3,0,3,4,1,0,0,0,0,1.0,118,90,28,3,2,
15,David Harris,NYJ,23,LB,16,9,0,0,0,0,3,2,0,1,0,0,5.0,127,90,37,7,6,
16,Paris Lenon,DET,30,MLB,16,16,1,61,1,61,3,2,0,0,0,0,2.0,118,88,30,7,5,
17,Gary Brackett,IND,27,MLB,16,16,4,128,0,49,7,1,0,1,0,1,0.5,116,86,30,2,1,
18,Angelo Crowell,BUF,26,LB,16,16,1,5,0,5,4,1,0,1,0,0,2.0,126,86,40,6,3,1
19,John DiGiorgio,BUF,25,lb/MLB,16,14,1,38,0,38,6,0,0,2,0,0,2.0,113,86,27,9,4,
20,Donnie Edwards,KAN,34,LB/rolb,16,16,1,18,0,18,3,1,0,1,0,0,2.0,104,85,19,9,4,
21,Keith Brooking,ATL,32,MLB,16,16,0,0,0,0,4,0,0,1,2,0,2.0,110,84,26,4,4,
22,Derrick Brooks,TAM,34,LB,16,16,0,0,0,0,1,3,0,0,0,0,,109,84,25,2,1,
23,Lance Briggs,CHI,27,LB,14,14,0,0,0,0,3,2,0,1,0,0,2.0,102,83,19,15,6,
24,Derrick Johnson,KAN,25,LB/lolb,16,16,2,18,0,12,6,3,0,0,0,0,4.0,94,83,11,18,6,
25,Barrett Ruud,TAM,24,MLB,15,15,2,7,0,5,3,4,0,3,3,0,,114,83,31,5,2,
26,Lofa Tatupu,SEA,25,MLB,16,16,4,116,0,49,10,3,0,0,0,0,1.0,109,83,26,10,5,
27,Cedric Griffin,MIN,25,RCB,16,16,0,0,0,0,10,2,1,2,50,1,,92,82,10,4,0,
28,Napoleon Harris,KAN,28,mlb,16,13,1,4,0,4,4,,,,,,1.5,116,82,34,6,2,
29,Gerald Hayes,ARI,27,MLB,16,16,1,30,1,30,3,,,,,,4.0,98,82,16,7,4,
30,Ray Lewis,BAL,32,LILB/mlb,14,14,2,35,1,35,10,2,0,1,0,0,2.0,120,82,38,1,2,
31,Calvin Pace,ARI,27,LB/mlb/ss,16,16,1,14,0,14,6,1,0,2,4,0,6.5,98,80,18,11,11,
32,Cortland Finnegan,TEN,23,RCB,16,16,1,14,0,14,13,1,0,0,0,0,1.0,95,79,16,3,1,
33,Sammy Knight,JAX,32,SS,16,15,4,31,0,15,11,1,0,0,0,0,,93,79,14,4,0,
34,Richard Marshall,CAR,23,cb/lb/lcb,16,6,3,107,1,73,11,0,0,2,0,0,1.0,89,79,10,7,3,
35,Chad Greenway,MIN,24,LB,16,16,2,39,1,37,4,2,1,4,0,0,,105,78,27,4,3,
36,A.J. Hawk,GNB,23,LB,16,16,1,10,0,10,4,1,0,1,0,0,1.0,105,78,27,5,3,
37,Marcus Trufant,SEA,27,LCB,16,16,7,150,1,84,15,,,,,,,85,78,7,2,0,
38,Gibril Wilson,NYG,26,FS,13,13,4,12,0,10,7,0,1,1,0,0,,92,78,14,4,0,
39,Nate Clements,SFO,28,cb/LCB,16,16,4,74,0,62,14,3,0,0,0,0,1.0,92,77,15,8,1,
40,Karlos Dansby,ARI,26,LB,14,14,3,55,0,28,8,4,0,0,0,0,3.5,97,77,20,7,4,
41,Scott Fujita,NOR,28,LB,15,15,0,0,0,0,2,1,0,2,0,0,3.0,95,77,18,6,3,
42,Thomas Howard,OAK,24,LB,16,16,6,172,2,66,11,0,0,1,0,0,1.0,95,77,18,3,1,
43,Von Hutchins,HOU,26,FS/rcb,16,15,1,8,0,8,6,,,,,,0.5,93,77,16,0,1,
