,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Jon Beason,CAR,23,MLB,16,16,3,52,0,44,8,0,0,1,12,0,,138,110,28,3,1,
2,Patrick Willis,SFO,23,LB/rilb,16,16,1,86,1,86,10,1,0,1,0,0,1.0,141,109,32,8,3,
3,Eric Weddle,SDG,23,FS,16,16,1,3,0,3,5,0,0,1,86,1,1.0,127,105,22,3,0,
4,Barrett Ruud,TAM,25,MLB,16,16,2,10,0,10,6,0,0,1,0,0,3.0,137,102,35,6,5,
5,Yeremiah Bell,MIA,30,SS,16,16,0,0,0,0,10,3,0,1,0,0,1.0,120,100,20,3,1,
6,Kirk Morrison,OAK,26,MLB,16,16,1,0,0,0,1,2,0,0,0,0,1.0,135,99,36,2,1,
7,Jerod Mayo,NWE,22,LB,16,16,0,0,0,0,4,1,0,1,0,0,,126,98,28,5,1,
8,Jonathan Vilma,NOR,26,MLB,16,16,1,8,0,8,6,2,0,3,0,0,1.0,132,98,34,4,5,
9,London Fletcher,WAS,33,MLB,16,16,0,0,0,0,5,1,0,1,12,0,0.5,133,96,37,7,3,
10,Gibril Wilson,OAK,27,SS,16,15,2,5,0,5,3,1,0,3,0,0,1.5,129,96,33,3,2,1
11,Karlos Dansby,ARI,27,LB/mlb,16,16,2,47,0,34,5,2,1,3,0,0,4.0,119,95,24,10,3,
12,D'Qwell Jackson,CLE,25,LB,16,16,3,29,0,16,6,,,,,,2.0,154,95,59,3,4,
13,Eric Barton,NYJ,31,LB,16,16,0,0,0,0,4,1,0,1,1,0,1.5,119,93,26,2,4,
14,Channing Crowder,MIA,25,LB,15,13,0,0,0,0,6,1,0,1,11,0,,113,92,21,6,4,
15,Thomas Davis,CAR,25,LB,16,16,0,0,0,0,6,2,0,1,0,0,3.5,113,92,21,12,6,
16,Lance Briggs,CHI,28,LB,16,16,3,12,0,9,11,1,0,2,21,1,0.5,110,90,20,8,2,
17,Pisa Tinoisamoa,STL,27,LB,16,16,0,0,0,0,2,2,0,0,0,0,3.0,104,88,16,10,5,
18,James Farrior,PIT,33,lb/LILB,16,16,0,0,0,0,5,1,0,1,0,0,3.5,133,87,46,9,6,
19,Paul Posluszny,BUF,24,lb/MLB,16,16,1,9,0,9,6,1,0,1,0,0,,110,87,23,3,3,
20,Stewart Bradley,PHI,25,MLB,16,16,1,17,0,17,6,1,0,1,0,0,1.0,108,86,22,10,4,
21,Chad Greenway,MIN,25,LB,16,15,0,0,0,0,5,3,0,0,0,0,5.5,115,86,29,11,8,
22,DeMeco Ryans,HOU,24,MLB,16,16,0,0,0,0,4,2,0,3,47,0,1.0,112,86,26,5,4,
23,Ray Lewis,BAL,33,LILB,16,16,3,43,0,29,9,2,0,2,0,0,3.5,117,85,32,9,12,
24,Chris Gamble,CAR,25,LCB,16,16,3,23,0,19,19,1,0,2,41,1,,93,83,10,4,0,
25,Roman Harper,NOR,26,SS,15,15,0,0,0,0,9,1,0,0,0,0,,89,82,7,4,1,
26,Paris Lenon,DET,31,MLB,16,16,0,0,0,0,3,2,0,2,0,0,1.5,121,81,40,7,3,
27,Charles Tillman,CHI,27,LCB,15,15,3,52,1,26,17,4,0,0,0,0,,93,81,12,1,1,
28,Antoine Winfield,MIN,31,LCB,16,16,2,5,0,4,11,4,0,2,28,1,2.0,95,81,14,12,1,
29,Erik Coleman,ATL,26,FS,16,16,3,48,0,32,6,2,0,0,0,0,,95,80,15,1,0,
30,Cedric Griffin,MIN,26,RCB,16,15,1,-2,0,-2,14,4,0,0,0,0,,91,80,11,2,0,
31,Thomas Howard,OAK,25,LB/rolb,16,16,1,-3,0,-3,5,2,0,0,0,0,1.0,97,80,17,8,2,
32,Bradie James,DAL,27,LB,16,16,0,0,0,0,4,3,0,2,0,0,8.0,116,80,36,15,12,
33,Freddy Keiaho,IND,26,LB,14,14,,,,,,0,1,3,-4,0,,105,79,26,5,2,
34,Brian Urlacher,CHI,30,MLB,16,16,2,11,0,11,9,0,0,1,0,0,,93,79,14,10,3,
35,Bernard Pollard,KAN,24,SS,16,16,1,0,0,0,1,2,0,3,0,0,,98,78,20,1,1,
36,Antrel Rolle,ARI,26,FS/rb,16,16,1,40,1,40,5,,,,,,,89,78,11,1,1,
37,Corey Graham,CHI,23,lcb/RCB,16,9,1,6,0,6,8,1,0,1,0,0,,91,77,14,3,0,
38,Michael Lewis,SFO,28,SS,16,16,0,0,0,0,7,1,0,1,4,0,2.0,96,76,20,9,3,
39,Lawyer Milloy,ATL,35,SS,15,15,1,38,0,38,5,1,0,0,0,0,,93,76,17,1,2,
40,O.J. Atogwe,STL,27,FS/ss,16,16,5,91,0,43,5,6,0,3,75,1,,83,75,8,1,0,
41,Keith Bulluck,TEN,31,LB/rolb,16,16,0,0,0,0,6,1,0,1,0,0,0.5,98,75,23,6,1,
42,Quentin Jammer,SDG,29,LCB,16,16,2,2,0,2,19,3,0,2,23,0,,88,75,13,1,0,
