,,,,,Games,Games,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,,Tackles,Tackles,Tackles,Tackles,Tackles,
Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,James Laurinaitis,STL,26,MLB,16,16,2,18,0,18,5,0,0,1,4,0,0.5,142,117,25,4,2,
2,Lavonte David,TAM,22,LB,16,16,1,27,0,27,4,,,,,,2.0,139,112,27,20,5,
3,Derrick Johnson,KAN,30,RILB,16,16,0,0,0,0,4,4,0,0,0,0,2.0,125,110,15,12,5,
4,Daryl Washington,ARI,26,LB,16,16,1,7,0,7,4,2,0,1,3,0,9.0,134,108,26,15,12,
5,Russell Allen,JAX,26,LB,16,16,0,0,0,0,6,0,0,1,0,0,0.5,131,107,24,9,4,
6,Paul Posluszny,JAX,28,lb/MLB,16,16,3,20,0,13,7,2,0,0,0,0,2.0,139,106,33,5,5,
7,Luke Kuechly,CAR,21,lb/MLB,16,16,2,22,0,25,7,0,0,3,9,0,1.0,165,103,62,12,1,
8,Karlos Dansby,MIA,31,LB/mlb,16,16,0,0,0,0,9,1,0,0,0,0,1.0,134,101,33,9,2,
9,Chad Greenway,MIN,29,LB,16,16,1,3,0,3,4,0,0,2,0,0,3.0,148,98,50,7,5,
10,NaVorro Bowman,SFO,24,LB,16,16,1,11,0,11,7,1,0,0,0,0,2.0,148,96,52,6,4,
11,Jerrell Freeman,IND,26,LB,16,16,1,4,1,4,3,1,0,0,0,0,2.0,145,90,55,7,2,
12,Jo-Lonn Dunbar,STL,27,LB,16,16,2,63,0,42,5,2,0,0,0,0,4.5,112,88,24,16,12,
13,Roman Harper,NOR,30,SS,16,16,2,41,0,41,11,,,,,,,115,88,27,4,1,
14,Patrick Willis,SFO,27,LB,16,16,2,2,0,2,9,2,0,1,3,0,0.5,120,88,32,5,3,
15,Morgan Burnett,GNB,23,fs/SS,16,16,2,1,0,1,5,2,0,1,0,0,2.0,122,87,35,5,4,
16,Jerod Mayo,NWE,26,LB,16,16,1,0,0,0,3,4,0,1,0,0,3.0,147,87,60,5,5,
17,DeMeco Ryans,PHI,28,MLB,16,16,1,0,0,0,4,,,,,,1.0,113,86,27,15,2,
18,Bobby Wagner,SEA,22,MLB,16,15,3,55,0,45,4,,,,,,2.0,139,85,54,9,5,
19,Cortland Finnegan,STL,28,cb/LCB,16,15,3,68,1,32,9,1,0,0,0,0,1.0,101,83,18,3,1,
20,Quintin Mikell,STL,32,fs/SS,16,16,0,0,0,0,2,4,0,0,0,0,3.0,101,83,18,3,3,
21,Eric Weddle,SDG,27,FS,16,16,3,52,1,23,8,2,3,2,0,0,1.0,97,83,14,4,2,
22,Justin Durant,DET,27,LB,16,14,0,0,0,0,2,,,,,,0.5,103,82,21,9,2,
23,Mason Foster,TAM,23,lb/MLB,16,16,1,0,0,0,1,0,0,1,4,0,2.0,105,82,23,13,3,
24,Curtis Lofton,NOR,26,MLB,16,16,0,0,0,0,6,2,0,2,0,0,1.0,123,82,41,7,2,
25,A.J. Hawk,GNB,28,LB,16,16,,,,,,,,,,,3.0,120,81,39,9,5,
26,Dawan Landry,JAX,30,SS,16,16,1,47,0,21,2,,,,,,,100,81,19,0,0,
27,Kevin Burnett,MIA,30,LB/lolb,16,16,0,0,0,0,5,,,,,,2.5,110,80,30,5,5,
28,David Harris,NYJ,28,MLB,16,16,0,0,0,0,3,1,0,1,0,0,3.0,123,79,44,4,7,
29,George Wilson,BUF,31,SS,16,16,0,0,0,0,5,,,,,,,104,79,25,0,0,
30,London Fletcher,WAS,37,MLB,16,16,5,29,0,10,11,1,0,0,0,0,3.0,139,78,61,5,4,
31,Philip Wheeler,OAK,28,LB,16,16,0,0,0,0,6,2,0,1,0,0,3.0,109,78,31,5,12,
32,LaRon Landry,NYJ,28,S,16,15,2,42,1,24,8,4,0,0,9,0,,100,76,24,4,3,
33,Antoine Bethea,IND,28,FS,16,16,0,0,0,0,7,,,,,,2.0,100,75,25,3,3,
34,Larry Foote,PIT,32,LILB,16,16,0,0,0,0,3,2,0,2,0,0,4.0,113,75,38,8,7,
35,Lawrence Timmons,PIT,26,RILB,16,16,3,80,1,53,5,2,0,1,1,0,6.0,106,75,31,10,17,
36,Tyvon Branch,OAK,26,SS,14,14,1,11,0,11,3,,,,,,,94,74,20,3,1,
37,Lance Briggs,CHI,32,LB,16,16,2,110,2,74,11,2,0,0,0,0,1.5,103,74,29,7,2,
38,Ryan Clark,PIT,33,FS,15,15,2,26,0,26,7,2,0,1,2,0,,102,74,28,4,0,
39,Reshad Jones,MIA,24,S,16,16,4,28,0,15,9,2,1,2,24,0,1.0,95,74,21,4,4,
40,Paris Lenon,ARI,35,LB,16,16,1,0,0,0,3,1,0,1,0,0,2.0,103,74,29,3,6,
41,Charles Tillman,CHI,31,RCB,16,16,3,71,3,36,16,10,0,2,0,0,,86,74,12,1,0,
42,Stephen Tulloch,DET,27,MLB,16,16,0,0,0,0,6,1,0,2,0,0,0.5,112,74,38,6,5,
43,Eric Berry,KAN,24,SS,16,16,1,0,0,0,10,,,,,,,86,73,13,10,0,
44,Vontaze Burfict,CIN,22,LB,16,14,0,0,0,0,2,0,0,2,0,0,1.0,127,73,54,7,3,
45,Jason McCourty,TEN,25,CB,16,16,4,29,0,28,15,1,0,1,0,0,,92,73,19,4,0,
46,Antrel Rolle,NYG,30,FS,16,16,2,42,0,22,5,1,0,1,0,0,,96,73,23,4,0,
47,Nick Barnett,BUF,31,LB,16,16,0,0,0,0,1,3,0,0,0,0,2.0,112,72,40,6,1,
48,Mark Barron,TAM,23,SS,16,16,1,12,0,12,10,1,0,0,0,0,,89,72,17,4,0,
49,Yeremiah Bell,NYJ,34,S,16,16,0,0,0,0,2,0,0,3,18,0,1.0,89,72,17,3,1,
50,Chris Clemons,MIA,27,db/S,16,16,2,29,0,29,4,0,0,1,-3,0,,98,72,26,3,0,
51,Stephen Nicholas,ATL,29,LB,16,15,1,3,0,3,4,1,0,1,0,0,2.0,97,72,25,5,5,
52,Buster Skrine,CLE,23,db/lcb/rcb,16,6,0,0,0,0,10,0,0,1,0,0,,85,72,13,3,1,
53,Antoine Winfield,MIN,35,LCB,16,15,3,37,0,31,13,0,0,1,0,0,0.5,101,72,29,8,1,
54,Ronde Barber,TAM,37,cb/FS,16,16,4,160,1,78,13,1,0,0,0,0,1.0,92,71,21,8,0,
55,Bernard Pollard,BAL,28,SS,13,13,1,0,0,0,5,,,,,,2.0,98,71,27,6,3,
56,Thomas Davis,CAR,29,LB,15,12,1,0,0,0,3,2,0,1,-2,0,,105,70,35,9,1,
57,Perry Riley,WAS,24,LB,16,16,0,0,0,0,7,1,0,1,0,0,3.5,125,70,55,6,5,
58,Sean Weatherspoon,ATL,25,LB,13,13,1,6,0,6,4,1,0,1,0,0,3.0,95,70,25,6,7,
59,Wesley Woodyard,DEN,26,LB,15,14,3,40,0,25,6,1,0,1,12,0,5.5,114,70,44,9,9,
60,Kam Chancellor,SEA,24,SS,16,16,0,0,0,0,4,1,0,2,0,0,,91,69,22,3,0,
61,Harrison Smith,MIN,23,FS,16,16,3,87,2,56,10,1,0,1,0,0,1.0,97,69,28,1,2,
62,J.J. Watt,HOU,23,DE,16,16,0,0,0,0,16,4,0,2,7,0,20.5,81,69,12,39,43,
63,Zach Brown,TEN,23,LB,16,14,3,156,2,79,5,1,1,2,6,0,5.5,92,68,24,11,8,
64,DeAngelo Hall,WAS,29,LCB,16,16,4,62,0,27,13,0,1,2,0,0,1.0,95,68,27,7,1,
65,K.J. Wright,SEA,23,LB,15,15,1,24,0,24,5,1,0,0,0,0,1.0,98,68,30,8,3,
66,Kurt Coleman,PHI,24,FS,14,14,2,13,0,7,4,1,0,0,0,0,,89,67,22,3,0,
67,Dunta Robinson,ATL,30,CB/rcb,16,16,1,4,0,4,8,1,0,0,0,0,1.5,80,67,13,7,2,
68,Cary Williams,BAL,28,RCB,16,16,4,90,1,63,17,,,,,,1.0,75,67,8,2,1,
69,Akeem Ayers,TEN,23,LB/mlb,16,13,1,2,0,2,8,1,0,0,0,0,6.0,104,66,38,8,10,
70,Jordan Babineaux,TEN,30,fs/ss,16,12,1,10,0,10,7,,,,,,,96,66,30,0,2,
71,Dannell Ellerbe,BAL,27,lb,13,7,0,0,0,0,2,1,0,0,0,0,4.5,89,66,23,8,8,
72,Madieu Williams,WAS,31,FS,16,16,1,24,1,24,6,,,,,,1.0,99,66,33,3,2,
73,Michael Boley,NYG,30,LB,16,11,3,74,0,51,4,0,0,2,70,1,0.5,92,65,27,4,3,
74,Malcolm Jenkins,NOR,25,FS,13,13,1,55,1,55,6,0,0,1,0,0,,94,65,29,2,2,
75,Glover Quin,HOU,26,FS,16,16,2,22,0,22,13,2,0,0,0,0,1.0,85,65,20,6,1,
76,Chase Blackburn,NYG,29,MLB,15,15,1,0,0,0,5,4,0,0,0,0,3.0,98,64,34,6,7,
77,Janoris Jenkins,STL,24,RCB,15,14,4,150,3,41,14,0,3,1,2,1,,73,64,9,3,0,
78,D'Qwell Jackson,CLE,29,lb/MLB,16,16,2,31,1,27,8,2,0,2,0,0,3.5,118,63,55,4,5,
79,Kyle Arrington,NWE,26,RCB,16,12,0,0,0,0,11,1,0,1,0,0,,74,62,12,2,1,
80,Jasper Brinkley,MIN,27,MLB,16,15,0,0,0,0,3,3,0,0,0,0,,97,62,35,2,2,
81,Miles Burris,OAK,24,LB,16,15,1,7,0,7,3,,,,,,1.5,96,62,34,5,8,
82,Antoine Cason,SDG,26,RCB,16,16,2,34,0,31,10,2,0,0,0,0,,73,62,11,1,0,
83,Craig Dahl,STL,27,FS/ss,16,16,1,38,0,38,2,,,,,,,78,62,16,1,0,
84,Thomas DeCoud,ATL,27,fs/S,16,16,6,42,0,24,9,0,0,1,0,0,1.0,76,62,14,4,1,
85,Rey Maualuga,CIN,25,lb/MLB,16,16,0,0,0,0,5,0,0,1,0,0,1.0,122,62,60,1,4,
86,Donte Whitner,SFO,27,SS,16,16,1,42,1,42,4,2,0,1,0,0,,83,62,21,1,0,
87,Champ Bailey,DEN,34,LCB,16,15,2,18,0,18,8,,,,,,,66,61,5,3,0,
88,Mike Adams,DEN,31,SS,16,16,0,0,0,0,11,2,0,2,0,0,1.0,80,60,20,1,8,1
89,Nate Allen,PHI,25,SS,15,13,0,0,0,0,4,,,,,,,73,60,13,1,0,
90,Michael Griffin,TEN,27,FS/ss,16,16,4,59,0,33,4,2,0,0,0,0,1.0,79,60,19,3,3,
91,Devin McCourty,NWE,25,LCB/S,16,16,5,53,0,34,13,2,1,0,0,0,,79,60,19,3,0,
