year,name,salary,team
1991,Troy  Aikman,"$1,708,333  ",dallas-cowboys
1991,Russell Maryland,"$1,420,000  ",dallas-cowboys
1991,Alvin Harper,"$696,666  ",dallas-cowboys
1991,Emmitt Smith,"$630,000  ",dallas-cowboys
1991,John Elway,"$1,900,000  ",denver-broncos
1991,Michael Irvin,"$537,500  ",dallas-cowboys
1991,Steve Beuerlein,"$495,000  ",dallas-cowboys
1991,Keith McCants,"$1,100,000  ",arizona-cardinals
1991,Mike Croel,"$738,750  ",denver-broncos
1991,Shannon Sharpe,"$121,250  ",denver-broncos
1991,Steve Walsh,"$450,000  ",dallas-cowboys
1991,Eric Turner,"$1,337,500  ",cleveland-browns
1991,Aeneas Williams,"$866,666  ",arizona-cardinals
1991,Randal Hill,"$616,666  ",arizona-cardinals
1991,Jim Kelly,"$2,725,000  ",buffalo-bills
1991,Barry Sanders,"$1,245,000  ",detroit-lions
1991,Mark Carrier,"$650,000  ",chicago-bears
1991,Bruce Smith,"$1,500,000  ",buffalo-bills
1991,Andre Reed,"$651,666  ",buffalo-bills
1991,Andre Ware,"$1,162,500  ",detroit-lions
1991,Herman Moore,"$725,000  ",detroit-lions
1991,Deion Sanders,"$1,050,000  ",atlanta-falcons
1991,Henry Jones,"$650,000  ",buffalo-bills
1991,James Williams,"$648,000  ",buffalo-bills
1991,Bruce Pickens,"$980,000  ",atlanta-falcons
1991,Mike Pritchard,"$683,333  ",atlanta-falcons
1991,Thurman Thomas,"$522,500  ",buffalo-bills
1991,Phil Hansen,"$335,000  ",buffalo-bills
1991,Steve Broussard,"$468,750  ",atlanta-falcons
1991,Brett Favre,"$410,000  ",atlanta-falcons
1991,James Francis,"$570,000  ",cincinnati-bengals
1991,Andre Rison,"$350,000  ",atlanta-falcons
1991,Vinnie Clark,"$630,000  ",green-bay-packers
1991,Darrell Thompson,"$608,333  ",green-bay-packers
1991,Tony Bennett,"$606,666  ",green-bay-packers
1991,Jeff George,"$2,083,333  ",indianapolis-colts
1991,Andre Rison,"$534,000  ",indianapolis-colts
1991,Percy Snow,"$700,000  ",kansas-city-chiefs
1991,Harvey Williams,"$550,000  ",kansas-city-chiefs
1991,Cris Carter,"$500,000  ",minnesota-vikings
1991,Terry Allen,"$130,000  ",minnesota-vikings
1991,Dan Marino,"$2,516,666  ",miami-dolphins
1991,Richmond Webb,"$665,000  ",miami-dolphins
1991,JB Brown,"$350,000  ",miami-dolphins
1991,Steve Walsh,"$825,000  ",new-orleans-saints
1991,Pat Harlow,"$732,166  ",new-england-patriots
1991,Renaldo Turnbull,"$530,000  ",new-orleans-saints
1991,Jarrod Bunch,"$733,333  ",new-york-giants
1991,Chris Singleton,"$720,000  ",new-england-patriots
1991,Ray Agnew,"$650,000  ",new-england-patriots
1991,Rodney Hampton,"$537,500  ",new-york-giants
1991,Blair Thomas,"$1,400,000  ",new-york-jets
1991,Marcus Allen,"$1,100,000  ",oakland-raiders
1991,Ben Smith,"$570,000  ",philadelphia-eagles
1991,Tim Brown,"$762,500  ",oakland-raiders
1991,Todd Marinovich,"$633,333  ",oakland-raiders
1991,John Booty,"$203,750  ",philadelphia-eagles
1991,Huey Richardson,"$637,500  ",pittsburgh-steelers
1991,Anthony Smith,"$587,500  ",oakland-raiders
1991,Eric Green,"$515,000  ",pittsburgh-steelers
1991,Jerry Rice,"$1,350,000  ",san-francisco-49ers
1991,Ted Washington,"$496,750  ",san-francisco-49ers
1991,Dexter Carter,"$488,000  ",san-francisco-49ers
1991,Anthony Miller,"$900,000  ",san-diego-chargers
1991,Junior Seau,"$785,000  ",san-diego-chargers
1991,Stanley Richard,"$753,333  ",san-diego-chargers
1991,Brian Bosworth,"$1,500,000  ",seattle-seahawks
1991,Cortez Kennedy,"$1,100,000  ",seattle-seahawks
1991,Charles McRae,"$700,000  ",tampa-bay-buccaneers
1991,Ernest Givins,"$700,000  ",tennessee-titans
1991,Mark Rypien,"$1,250,000  ",washington-redskins
1991,Lamar Lathon,"$600,000  ",houston-oilers
1991,Todd Lyght,"$870,000  ",st.-louis-rams
1991,Bern Brostek,"$530,000  ",st.-louis-rams
