year,name,salary,team
2004,Jamal Lewis,"$6,905,367  ",baltimore-ravens
2004,Travis Taylor,"$1,906,000  ",baltimore-ravens
2003,Arnaz Battle,"$244,166  ",san-francisco-49ers
2003,Trung Canidate,"$847,500  ",washington-redskins
2003,Fred Smoot,"$699,750  ",washington-redskins
2004,Bertrand Berry,"$5,000,000  ",arizona-cardinals
2004,Duane Starks,"$4,600,000  ",arizona-cardinals
2003,Brian Kelly,"$1,383,333  ",tampa-bay-buccaneers
2003,Ken Dilger,"$990,000  ",tampa-bay-buccaneers
2003,Wayne Hunter,"$398,333  ",seattle-seahawks
2003,Rocky Bernard,"$339,333  ",seattle-seahawks
2003,Clark Haggans,"$605,000  ",pittsburgh-steelers
2003,Dan Kreider,"$605,000  ",pittsburgh-steelers
2004,Warrick Dunn,"$3,983,333  ",atlanta-falcons
2004,Keith Brooking,"$3,749,579  ",atlanta-falcons
2004,Terrell Suggs,"$1,767,500  ",baltimore-ravens
2004,Deion Sanders,"$1,500,000  ",baltimore-ravens
2004,Muhsin Muhammad,"$4,632,400  ",carolina-panthers
2003,Rob Johnson,"$591,765  ",washington-redskins
2003,Derrick Dockery,"$346,000  ",washington-redskins
2004,Emmitt Smith,"$3,750,000  ",arizona-cardinals
2004,Anthony Clement,"$3,000,000  ",arizona-cardinals
2003,Jason Whittle,"$890,000  ",tampa-bay-buccaneers
2003,Aaron Stecker,"$610,600  ",tampa-bay-buccaneers
2003,Seneca Wallace,"$328,333  ",seattle-seahawks
2003,Josh Brown,"$237,833  ",seattle-seahawks
2003,Mike Schneck,"$575,000  ",pittsburgh-steelers
2003,Antwaan Randle El,"$533,750  ",pittsburgh-steelers
2004,Todd Weiner,"$3,500,000  ",atlanta-falcons
2004,Kyle Boller,"$1,258,750  ",baltimore-ravens
2004,Ed Reed,"$1,237,500  ",baltimore-ravens
2004,Julius Peppers,"$3,475,000  ",carolina-panthers
2004,Jake Delhomme,"$3,301,667  ",carolina-panthers
2003,Rock Cartwright,"$307,333  ",washington-redskins
2003,Chris Clemons,"$225,000  ",washington-redskins
2004,Adrian Wilson,"$2,900,000  ",arizona-cardinals
2003,Thomas Jones,"$535,500  ",tampa-bay-buccaneers
2004,Eric Moulds,"$7,495,000  ",buffalo-bills
2003,Chris Hope,"$433,333  ",pittsburgh-steelers
2003,Rodney Bailey,"$410,334  ",pittsburgh-steelers
2004,DeAngelo Hall,"$1,900,000  ",atlanta-falcons
2004,Todd McClure,"$1,033,333  ",atlanta-falcons
2004,Dwan Edwards,"$550,000  ",baltimore-ravens
2004,Dave Zastudil,"$481,667  ",baltimore-ravens
2004,Steve Smith,"$2,595,686  ",carolina-panthers
2004,Jordan Gross,"$1,946,750  ",carolina-panthers
2003,Chris Clemons,"$2,333  ",washington-redskins
2004,Larry Fitzgerald,"$2,300,000  ",arizona-cardinals
2004,Wendell Bryant,"$1,484,400  ",arizona-cardinals
2003,Cornell Green,"$450,000  ",tampa-bay-buccaneers
2003,Corey Ivy,"$375,000  ",tampa-bay-buccaneers
2004,Travis Henry,"$6,205,000  ",buffalo-bills
2003,Larry Foote,"$389,667  ",pittsburgh-steelers
2003,Ike Taylor,"$316,833  ",pittsburgh-steelers
2004,T.J. Duckett,"$974,000  ",atlanta-falcons
2004,Michael Jenkins,"$905,000  ",atlanta-falcons
2004,Chester Taylor,"$394,583  ",baltimore-ravens
2004,Ovie Mughelli,"$384,333  ",baltimore-ravens
2004,John Kasay,"$1,200,000  ",carolina-panthers
2004,Chris Weinke,"$1,128,823  ",carolina-panthers
2004,Calvin Pace,"$1,430,000  ",arizona-cardinals
2004,Todd Heap,"$1,352,500  ",arizona-cardinals
2003,Ben Claxton,"$13,050  ",tampa-bay-buccaneers
2004,Carson Palmer,"$5,477,242  ",cincinnati-bengals
2004,Brian Urlacher,"$6,807,142  ",chicago-bears
2004,Courtney Brown,"$7,547,094  ",cleveland-browns
2004,Drew Bledsoe,"$4,416,666  ",buffalo-bills
2004,Takeo Spikes,"$4,400,000  ",buffalo-bills
2003,James Harrison,"$302,000  ",pittsburgh-steelers
