,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Michael Turner,ATL,26,RB,16,16,376,1699,17,70,4.5,106.2,3
2,Adrian Peterson,MIN,23,RB,16,15,363,1760,10,67,4.8,110.0,9
3,Clinton Portis,WAS,27,RB,16,16,342,1487,9,31,4.3,92.9,3
4,Matt Forte,CHI,23,RB,16,16,316,1238,8,50,3.9,77.4,1
5,Ryan Grant,GNB,26,RB,16,14,312,1203,4,57,3.9,75.2,4
6,LaDainian Tomlinson,SDG,29,RB,16,16,292,1110,11,45,3.8,69.4,1
7,Thomas Jones,NYJ,30,RB,16,14,290,1312,13,59,4.5,82.0,2
8,Jamal Lewis,CLE,29,RB,16,16,279,1002,4,29,3.6,62.6,2
9,DeAngelo Williams,CAR,25,RB,16,16,273,1515,18,69,5.5,94.7,0
10,Steve Slaton,HOU,22,RB,16,15,268,1282,9,71,4.8,80.1,3
11,Steven Jackson,STL,25,RB,12,11,253,1042,7,56,4.1,86.8,5
12,Chris Johnson,TEN,23,RB,15,14,251,1228,9,66,4.9,81.9,1
13,Marshawn Lynch,BUF,22,RB,15,15,250,1036,8,50,4.1,69.1,2
14,Frank Gore,SFO,25,RB,14,14,240,1036,6,41,4.3,74.0,6
15,Marion Barber,DAL,25,RB,15,13,238,885,7,35,3.7,59.0,7
16,Kevin Smith,DET,22,RB,16,12,238,976,8,50,4.1,61.0,2
17,Brian Westbrook,PHI,29,RB,14,14,233,936,9,39,4.0,66.9,2
18,Le'Ron McClain,BAL,24,FB/rb,16,16,232,902,10,82,3.9,56.4,4
19,Brandon Jacobs,NYG,26,RB,13,13,219,1089,15,44,5.0,83.8,3
20,Justin Fargas,OAK,28,RB,14,14,218,853,1,42,3.9,60.9,3
21,Cedric Benson,CIN,26,RB,12,10,214,747,2,46,3.5,62.3,2
22,Ronnie Brown,MIA,27,RB,16,13,214,916,10,62,4.3,57.3,1
23,Willie Parker,PIT,28,RB,11,11,210,791,5,34,3.8,71.9,0
24,LenDale White,TEN,24,rb,16,2,200,773,15,80,3.9,48.3,1
25,Maurice Jones-Drew,JAX,23,rb,16,3,197,824,12,46,4.2,51.5,6
26,Larry Johnson,KAN,29,RB,12,12,193,874,5,65,4.5,72.8,5
27,Warrick Dunn,TAM,33,rb,15,6,186,786,2,40,4.2,52.4,0
28,Jonathan Stewart,CAR,21,,16,0,184,836,10,41,4.5,52.3,2
29,Derrick Ward,NYG,28,rb,16,3,182,1025,2,51,5.6,64.1,2
30,Willis McGahee,BAL,27,RB,13,8,170,671,7,77,3.9,51.6,3
31,Ricky Williams,MIA,31,rb,16,3,160,659,4,51,4.1,41.2,5
32,Julius Jones,SEA,27,RB,15,10,158,698,2,33,4.4,46.5,4
33,Sammy Morris,NWE,31,rb,13,7,156,727,7,35,4.7,55.9,1
34,Joseph Addai,IND,25,RB,12,12,155,544,5,23,3.5,45.3,1
35,Dominic Rhodes,IND,29,rb,15,4,152,538,6,38,3.5,35.9,0
36,Tim Hightower,ARI,22,rb,16,7,143,399,10,30,2.8,24.9,2
37,Fred Taylor,JAX,32,RB,13,13,143,556,1,34,3.9,42.8,1
38,Mewelde Moore,PIT,26,rb,16,4,140,588,5,32,4.2,36.8,2
39,Edgerrin James,ARI,30,rb,13,7,133,514,3,35,3.9,39.5,2
40,Earnest Graham,TAM,28,fb/RB,10,10,132,563,4,68,4.3,56.3,2
41,Maurice Morris,SEA,29,rb,13,6,132,574,0,45,4.3,44.2,1
42,Fred Jackson,BUF,27,fb/rb,16,3,130,571,3,32,4.4,35.7,3
43,Pierre Thomas,NOR,24,rb,15,5,129,625,9,42,4.8,41.7,1
44,Darren McFadden,OAK,21,rb,13,5,113,499,4,50,4.4,38.4,3
45,Deuce McAllister,NOR,30,fb/rb,13,6,107,418,5,19,3.9,32.2,0
46,Ray Rice,BAL,21,rb,13,4,107,454,0,60,4.2,34.9,1
47,Reggie Bush,NOR,23,RB,10,9,106,404,2,43,3.8,40.4,3
48,Chris Perry,CIN,27,rb,13,6,104,269,2,25,2.6,20.7,5
49,Chester Taylor,MIN,29,rb,16,1,101,399,4,21,4.0,24.9,2
50,Michael Bush,OAK,24,,15,0,95,421,3,67,4.4,28.1,1
51,Jerious Norwood,ATL,25,,16,0,95,489,4,45,5.1,30.6,2
52,Tashard Choice,DAL,24,rb,16,3,92,472,2,38,5.1,29.5,0
53,Kevin Faulk,NWE,32,rb,15,3,83,507,3,41,6.1,33.8,0
54,LaMont Jordan,NWE,30,,8,0,80,363,4,49,4.5,45.4,1
