,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
55,Antonio Pittman,STL,23,rb,12,5,79,296,0,24,3.7,24.7,1
56,Correll Buckhalter,PHI,30,rb,14,2,76,369,2,33,4.9,26.4,0
57,DeShaun Foster,SFO,28,rb,16,2,76,234,1,18,3.1,14.6,2
58,Rudi Johnson,DET,29,rb,14,4,76,237,1,27,3.1,16.9,1
59,Michael Pittman,DEN,33,rb,8,3,76,320,4,20,4.2,40.0,0
60,Leon Washington,NYJ,26,rb,16,1,76,448,6,61,5.9,28.0,3
61,Ahman Green,HOU,31,rb,8,1,74,294,3,14,4.0,36.8,0
62,BenJarvus Green-Ellis,NWE,23,rb,9,3,74,275,5,15,3.7,30.6,0
63,Matt Cassel,NWE,26,QB,16,15,73,270,2,19,3.7,16.9,7
64,David Garrard,JAX,30,QB,16,16,73,322,2,24,4.4,20.1,7
65,Peyton Hillis,DEN,22,fb/rb,12,6,68,343,5,19,5.0,28.6,0
66,Ahmad Bradshaw,NYG,22,,15,0,67,355,1,77,5.3,23.7,3
67,Jamaal Charles,KAN,22,rb,16,2,67,357,0,30,5.3,22.3,2
68,Cadillac Williams,TAM,26,rb,6,1,63,233,4,28,3.7,38.8,1
69,T.J. Duckett.00,SEA,27,,16,0,62,172,8,29,2.8,10.8,0
70,Tyler Thigpen,KAN,24,QB,14,11,62,386,3,32,6.2,27.6,6
71,Ladell Betts,WAS,29,,13,0,61,206,1,14,3.4,15.8,1
72,Darren Sproles,SDG,25,,16,0,61,330,1,37,5.4,20.6,3
73,Selvin Young,DEN,25,rb,8,5,61,303,1,49,5.0,37.9,1
74,Ryan Fitzpatrick,CIN,26,QB,13,12,60,304,2,22,5.1,23.4,11
75,Jay Cutler,DEN,25,QB,16,16,57,200,2,18,3.5,12.5,5
76,Aaron Rodgers,GNB,25,QB,16,16,56,207,4,21,3.7,12.9,10
77,Matt Ryan,ATL,23,QB,16,16,55,104,1,17,1.9,6.5,6
78,Joe Flacco,BAL,23,QB,16,16,52,180,2,38,3.5,11.3,11
79,Jason Campbell,WAS,27,QB,16,16,47,258,1,23,5.5,16.1,7
80,Brandon Jackson,GNB,23,,13,0,45,248,1,32,5.5,19.1,1
81,Tatum Bell,DEN,27,rb,7,3,44,249,2,37,5.7,35.6,0
82,Donovan McNabb,PHI,32,QB,16,16,39,147,2,17,3.8,9.2,7
83,Trent Edwards,BUF,25,QB,14,14,36,117,3,15,3.3,8.4,9
84,Jeff Garcia,TAM,38,QB,12,11,35,148,1,20,4.2,12.3,7
85,Andre Hall,DEN,26,,8,0,35,144,0,16,4.1,18.0,2
86,Kolby Smith,KAN,24,rb,7,3,35,100,1,19,2.9,14.3,0
87,Jerome Harrison,CLE,25,,15,0,34,246,1,72,7.2,16.4,0
88,Kevin Jones,CHI,26,,11,0,34,109,0,16,3.2,9.9,0
89,Ben Roethlisberger,PIT,26,QB,16,16,34,101,2,17,3.0,6.3,14
90,Kenneth Darby,STL,26,,10,0,32,140,0,14,4.4,14.0,1
91,J.J. Arrington.00,ARI,25,rb,11,3,31,187,1,30,6.0,17.0,0
92,Philip Rivers,SDG,27,QB,16,16,31,84,0,11,2.7,5.3,8
93,Matt Schaub,HOU,27,QB,11,11,31,68,2,10,2.2,6.2,10
94,Felix Jones,DAL,21,,6,0,30,266,3,60,8.9,44.3,0
95,J.T. O'Sullivan.00,SFO,29,QB,9,8,30,145,0,18,4.8,16.1,11
96,Chad Pennington,MIA,32,QB,16,16,30,62,1,16,2.1,3.9,3
97,Leonard Weaver,SEA,26,fb,14,7,30,130,0,15,4.3,9.3,1
98,Josh Cribbs,CLE,25,wr,15,2,29,167,1,27,5.8,11.1,0
99,Laurence Maroney,NWE,23,rb,3,3,28,93,0,17,3.3,31.0,0
100,Tony Romo,DAL,28,QB,13,13,28,41,0,15,1.5,3.2,13
101,Gary Russell,PIT,22,,12,0,28,77,3,15,2.8,6.4,0
102,Tarvaris Jackson,MIN,25,qb,9,5,26,145,0,29,5.6,16.1,5
103,Ryan Moats,HOU,26,,9,0,26,94,1,12,3.6,10.4,0
104,Derek Anderson,CLE,25,QB,10,9,25,55,0,15,2.2,5.5,9
105,Kerry Collins,TEN,36,QB,16,15,25,49,0,17,2.0,3.1,5
106,Kyle Eckel,PHI,27,,5,0,24,79,0,14,3.3,15.8,0
107,Shaun Hill,SFO,28,QB,9,8,24,115,2,24,4.8,12.8,8
108,Kyle Orton,CHI,26,QB,15,15,24,49,3,12,2.0,3.3,6
109,Lousaka Polite,MIA,27,fb,11,5,23,85,0,14,3.7,7.7,0
110,Jason Wright,CLE,26,,15,0,23,85,0,11,3.7,5.7,1
111,Drew Brees,NOR,29,QB,16,16,22,-1,0,9,0.0,-0.1,6
112,Brett Favre,NYJ,39,QB,16,16,21,43,1,27,2.0,2.7,10
113,Lorenzo Booker,PHI,24,rb,10,1,20,53,0,8,2.7,5.3,0
114,Jake Delhomme,CAR,33,QB,16,16,20,21,2,12,1.1,1.3,5
115,Eli Manning,NYG,27,QB,16,16,20,10,1,13,0.5,0.6,5
116,Peyton Manning,IND,32,QB,16,16,20,21,1,12,1.1,1.3,1
117,Adrian Peterson,CHI,29,,15,0,20,100,0,16,5.0,6.7,0
118,Gus Frerotte,MIN,37,QB,11,11,19,7,1,5,0.4,0.6,4
119,Jacob Hester,SDG,23,fb,16,3,19,95,1,28,5.0,5.9,1
120,Rashard Mendenhall,PIT,21,rb,4,1,19,58,0,12,3.1,14.5,0
121,Michael Robinson,SFO,25,fb,16,1,19,50,0,10,2.6,3.1,1
122,Kurt Warner,ARI,37,QB,16,16,18,-2,0,11,-0.1,-0.1,11
123,DeSean Jackson,PHI,22,WR,16,15,17,96,1,21,5.6,6.0,4
124,P.J. Pope.20,DEN,24,rb,5,1,17,130,0,24,7.6,26.0,0
125,JaMarcus Russell,OAK,23,QB,15,15,17,127,1,24,7.5,8.5,12
126,Seneca Wallace,SEA,28,QB,10,8,16,78,0,23,4.9,7.8,4
127,Dantrell Savage,KAN,23,,8,0,15,53,0,11,3.5,6.6,0
128,Chad Simpson,IND,23,,11,0,15,45,1,10,3.0,4.1,1
129,Jason Snelling,ATL,25,fb,16,1,15,62,0,13,4.1,3.9,0
130,Ryan Torain,DEN,22,rb,2,1,15,69,1,19,4.6,34.5,0
131,Garrett Wolfe,CHI,24,,13,0,15,69,0,38,4.6,5.3,0
132,Marc Bulger,STL,31,QB,15,15,14,41,0,16,2.9,2.7,5
133,Chris Taylor,HOU,25,,3,0,14,37,0,17,2.6,12.3,1
134,Lance Ball,IND,23,,1,0,13,83,0,23,6.4,83.0,1
135,Mike Bell,NOR,25,,4,0,13,42,1,15,3.2,10.5,0
136,Kevin Kolb,PHI,24,,6,0,13,2,0,8,0.2,0.3,0
137,Travis Minor,STL,29,,13,0,13,29,0,13,2.2,2.2,1
138,Mike Tolbert,SDG,23,fb,13,7,13,37,0,11,2.8,2.8,0
139,Kenny Watson,CIN,30,,10,0,13,55,0,7,4.2,5.5,0
140,Patrick Cobbs,MIA,25,fb,16,2,12,88,1,44,7.3,5.5,0
141,Daunte Culpepper,DET,31,qb,5,5,12,25,1,9,2.1,5.0,5
142,Carey Davis,PIT,27,fb,14,3,12,35,0,11,2.9,2.5,2
143,Harry Douglas,ATL,24,,16,0,12,69,1,33,5.8,4.3,1
144,J.P. Losman.00,BUF,27,qb,5,2,12,70,2,17,5.8,14.0,8
145,Lorenzo Neal,BAL,38,fb,16,5,12,25,0,5,2.1,1.6,0
146,Brad Smith,NYJ,25,wr,15,1,12,113,0,36,9.4,7.5,2
147,Shaun Alexander,WAS,31,,4,0,11,24,0,8,2.2,6.0,0
148,Heath Evans,NWE,30,fb,16,4,11,23,0,4,2.1,1.4,0
149,Matt Hasselbeck,SEA,33,qb,7,7,11,69,0,15,6.3,9.9,1
150,Jason McKie,CHI,28,FB,11,8,11,26,2,6,2.4,2.4,1
151,Sage Rosenfels,HOU,30,qb,6,5,11,37,0,15,3.4,6.2,4
152,Eddie Royal,DEN,22,WR,15,15,11,109,0,71,9.9,7.3,2
153,Donnie Avery,STL,24,WR,15,12,10,69,1,37,6.9,4.6,0
154,Najeh Davenport,2TM,29,,6,0,10,31,0,8,3.1,5.2,0
155,Tony Richardson,NYJ,37,fb,16,7,10,65,0,16,6.5,4.1,0
156,Lawrence Vickers,CLE,25,FB,12,8,10,31,0,10,3.1,2.6,0
157,Anquan Boldin,ARI,28,WR,12,11,9,67,0,30,7.4,5.6,4
158,Quinton Ganther,TEN,24,,13,0,9,61,0,22,6.8,4.7,0
159,Nick Goings,CAR,30,,16,0,9,10,0,4,1.1,0.6,0
160,Brad Hoover,CAR,32,FB,16,11,9,18,0,5,2.0,1.1,0
161,James Johnson,CIN,24,,4,0,9,29,0,12,3.2,7.3,0
162,Troy Smith,BAL,24,,6,0,9,24,0,8,2.7,4.0,0
163,David Carr,NYG,29,,3,0,8,10,0,7,1.3,3.3,0
164,Ahmard Hall,TEN,29,FB,16,11,8,21,0,6,2.6,1.3,1
165,Mike Karney,NOR,27,FB,12,8,8,10,2,3,1.3,0.8,0
166,John Kuhn,GNB,26,fb,16,3,8,10,1,3,1.3,0.6,0
167,Clifton Smith,TAM,23,,9,0,8,40,0,10,5.0,4.4,4
168,Aaron Stecker,NOR,33,,6,0,8,43,0,12,5.4,7.2,0
169,DeShawn Wynn,GNB,25,,5,0,8,110,1,73,13.8,22.0,1
170,Vince Young,TEN,25,qb,3,1,8,27,0,8,3.4,9.0,2
171,B.J. Askew.00,TAM,28,fb,10,4,7,14,2,3,2.0,1.4,0
172,Michael Bennett,2TM,30,,7,0,7,12,0,4,1.7,1.7,0
173,Dan Orlovsky,DET,25,qb,10,7,7,29,0,10,4.1,2.9,3
174,Terrell Owens,DAL,35,WR,16,16,7,33,0,8,4.7,2.1,1
175,Mark Clayton,BAL,26,wr,16,13,6,81,1,42,13.5,5.1,0
176,Devin Hester,CHI,26,WR,15,8,6,61,0,20,10.2,4.1,5
177,Jon Kitna,DET,36,qb,4,4,6,34,0,10,5.7,8.5,3
178,Xavier Omon,BUF,23,,2,0,6,5,0,2,0.8,2.5,0
179,Carson Palmer,CIN,29,qb,4,4,6,38,0,15,6.3,9.5,2
180,Mike Sellers,WAS,33,fb,16,6,6,24,0,10,4.0,1.5,1
181,Andre Caldwell,CIN,23,wr,7,4,5,53,0,26,10.6,7.6,0
182,Rock Cartwright,WAS,29,,16,0,5,14,0,7,2.8,0.9,0
183,Jesse Chatman,NYJ,29,,3,0,5,8,0,5,1.6,2.7,0
184,De Dorsey,CIN,24,,4,0,5,8,0,7,1.6,2.0,0
185,Ted Ginn,MIA,23,WR,16,14,5,73,2,40,14.6,4.6,5
186,Brian Griese,TAM,33,qb,5,5,5,-1,0,3,-0.2,-0.2,1
187,Ovie Mughelli,ATL,28,FB,16,13,5,16,0,9,3.2,1.0,0
188,Brady Quinn,CLE,24,qb,3,3,5,21,0,12,4.2,7.0,0
189,Owen Schmitt,SEA,23,fb,15,1,5,21,0,14,4.2,1.4,0
190,Steve Smith,CAR,29,WR,14,14,5,40,0,23,8.0,2.9,1
191,Jim Sorgi,IND,28,,1,0,5,8,0,12,1.6,8.0,0
192,Andrew Walter,OAK,26,qb,2,1,5,19,0,13,3.8,9.5,2
193,Nate Washington,PIT,25,wr,16,1,5,18,0,8,3.6,1.1,0
194,Bernard Berrian,MIN,28,WR,16,13,4,26,0,14,6.5,1.6,1
195,Aveion Cason,DET,29,,7,0,4,7,0,4,1.8,1.0,1
196,Jeff Dugan,MIN,27,te,9,2,4,7,0,2,1.8,0.8,0
197,Matt Flynn,GNB,23,,7,0,4,4,0,6,1.0,0.6,1
198,Dante Hall,STL,30,,8,0,4,9,0,10,2.3,1.1,0
199,Devery Henderson,NOR,26,WR,16,13,4,33,0,30,8.3,2.1,1
200,Damon Huard,KAN,35,qb,5,3,4,13,0,15,3.3,2.6,3
201,Tony Hunt,PHI,23,fb,6,2,4,9,1,6,2.3,1.5,1
202,Vincent Jackson,SDG,25,WR,16,16,4,69,0,31,17.3,4.3,1
203,Byron Leftwich,PIT,28,,5,0,4,7,1,8,1.8,1.4,0
204,Matt Leinart,ARI,25,,4,0,4,5,0,8,1.3,1.3,2
205,Josh McCown,CAR,29,,2,0,4,-3,0,0,-0.8,-1.5,0
206,Chauncey Washington,JAX,23,,6,0,4,9,0,6,2.3,1.5,0
207,Keenan Burton,STL,24,wr,13,1,3,8,0,5,2.7,0.6,0
208,Kellen Clemens,NYJ,25,,2,0,3,-3,0,-1,-1.0,-1.5,0
209,Rashied Davis,CHI,29,WR,16,12,3,14,0,17,4.7,0.9,0
210,Trent Green,STL,38,qb,3,1,3,4,0,3,1.3,1.3,0
211,Rex Grossman,CHI,28,qb,4,1,3,4,2,2,1.3,1.0,0
212,Johnnie Lee Higgins,OAK,25,wr,16,3,3,34,0,18,11.3,2.1,1
213,Calvin Johnson,DET,23,WR,16,16,3,-1,0,7,-0.3,-0.1,3
214,Luke McCown,TAM,27,,2,0,3,15,0,12,5.0,7.5,0
215,Kevin O'Connell,NWE,23,,2,0,3,-6,0,-2,-2.0,-3.0,0
216,Drew Stanton,DET,24,,3,0,3,20,0,15,6.7,6.7,0
217,Devin Thomas,WAS,22,wr,16,1,3,53,1,29,17.7,3.3,0
218,Kevin Walter,HOU,27,WR,16,16,3,23,0,13,7.7,1.4,0
219,Wes Welker,NWE,27,WR,16,14,3,26,0,19,8.7,1.6,1
220,Deon Anderson,DAL,25,fb,14,5,2,3,0,3,1.5,0.2,0
221,Steve Breaston,ARI,25,WR,16,9,2,8,0,4,4.0,0.5,1
222,Antonio Bryant,TAM,27,WR,16,15,2,22,0,13,11.0,1.4,1
223,Greg Camarillo,MIA,26,WR,11,11,2,1,0,6,0.5,0.1,0
224,Antonio Chatman,CIN,29,wr,10,1,2,4,0,2,2.0,0.4,1
225,Michael Clayton,TAM,26,WR,15,9,2,5,0,4,2.5,0.3,1
226,Laveranues Coles,NYJ,31,WR,16,16,2,9,0,6,4.5,0.6,1
227,Jerricho Cotchery,NYJ,26,WR,16,16,2,8,0,8,4.0,0.5,2
228,Dennis Dixon,PIT,23,,1,0,2,-3,0,-1,-1.5,-3.0,0
229,Ken Dorsey,CLE,27,qb,4,3,2,0,0,0,0.0,0.0,2
230,Donald Driver,GNB,33,WR,16,16,2,4,0,6,2.0,0.3,0
231,Jerome Felton,DET,22,fb,13,6,2,4,0,4,2.0,0.3,0
232,Charlie Frye,SEA,27,qb,2,1,2,30,0,27,15.0,15.0,0
233,Samkon Gado,STL,26,,1,0,2,4,0,3,2.0,4.0,0
234,Justin Griffith,OAK,28,fb,7,3,2,2,0,2,1.0,0.3,0
235,Mike Hart,IND,22,,5,0,2,9,0,7,4.5,1.8,1
236,Craig Hentrich,TEN,37,P,16,0,2,-6,0,0,-3.0,-0.4,1
237,Jason Hill,SFO,23,wr,16,2,2,5,0,9,2.5,0.3,1
238,Domenik Hixon,NYG,24,wr,16,7,2,26,0,15,13.0,1.6,0
239,Santonio Holmes,PIT,24,se/WR,15,15,2,9,0,10,4.5,0.6,4
240,Brad Johnson,DAL,40,qb,16,3,2,-1,0,0,-0.5,-0.1,1
241,Brandon Jones,TEN,26,wr,16,7,2,35,0,28,17.5,2.2,0
242,Greg Jones,JAX,27,fb,12,7,2,13,0,13,6.5,1.1,0
243,Cleo Lemon,JAX,29,,2,0,2,-3,0,-1,-1.5,-1.5,0
244,Brian Leonard,STL,24,,2,0,2,7,0,5,3.5,3.5,0
245,Brandon Marshall,DEN,24,WR,15,15,2,-4,0,7,-2.0,-0.3,4
246,Justin McCareins,TEN,30,WR,14,10,2,8,0,4,4.0,0.6,2
247,Randy Moss,NWE,31,WR,16,16,2,0,0,2,0.0,0.0,3
248,Montell Owens,JAX,24,,16,0,2,43,2,41,21.5,2.7,0
249,Jalen Parmele,BAL,23,,1,0,2,27,0,31,13.5,27.0,0
250,Roscoe Parrish,BUF,26,wr,13,1,2,9,0,9,4.5,0.7,2
251,Cecil Sapp,HOU,30,,12,0,2,-3,0,0,-1.5,-0.3,0
252,Marques Tuiasosopo,OAK,29,,2,0,2,11,0,11,5.5,5.5,2
253,Delanie Walker,SFO,24,te,15,2,2,-13,0,-3,-6.5,-0.9,2
254,Danny Ware,NYG,23,,6,0,2,15,0,9,7.5,2.5,0
255,Roddy White,ATL,27,WR,16,15,2,4,0,2,2.0,0.3,1
256,Aundrae Allison,MIN,22,,15,0,1,1,0,1,1.0,0.1,2
257,Jon Alston,OAK,25,lb,14,4,1,22,0,22,22.0,1.6,0
258,Arnaz Battle,SFO,28,,9,0,1,18,0,18,18.0,2.0,1
259,Mitch Berger,PIT,36,P,13,0,1,0,0,0,0.0,0.0,0
260,Davone Bess,MIA,23,wr,16,6,1,13,0,13,13.0,0.8,1
261,Marty Booker,CHI,32,wr,13,5,1,3,0,3,3.0,0.2,0
262,Reggie Brown,PHI,27,wr,10,3,1,6,0,6,6.0,0.6,0
263,Isaac Bruce,SFO,36,WR,16,15,1,-3,0,-3,-3.0,-0.2,0
264,Chris Chambers,SDG,30,WR,14,9,1,1,0,1,1.0,0.1,0
265,Mike Cox,KAN,23,fb,16,5,1,-2,0,-2,-2.0,-0.1,0
266,Patrick Crayton,DAL,29,wr,16,7,1,11,0,11,11.0,0.7,1
267,Ronald Curry,OAK,29,WR,13,10,1,1,0,1,1.0,0.1,0
268,Fred Davis,WAS,22,te/wr,11,2,1,-3,0,-3,-3.0,-0.3,0
269,Jason Davis,2TM,25,,6,3,1,0,0,0,0.0,0.0,0
270,Vernon Davis,SFO,24,TE,16,16,1,11,0,11,11.0,0.7,2
271,Keith Ellison,BUF,24,LB/lolb,16,14,1,6,0,6,6.0,0.4,0
272,Lee Evans,BUF,27,WR,16,16,1,22,0,22,22.0,1.4,2
273,Brandon Fields,MIA,24,P,16,0,1,0,0,0,0.0,0.0,0
274,Derrick Frost,GNB,28,P,12,0,1,0,0,0,0.0,0.0,1
275,Bruce Gradkowski,CLE,25,qb,2,1,1,2,0,2,2.0,1.0,0
276,Quinn Gray,KAN,29,,1,0,1,27,0,27,27.0,27.0,0
277,Marques Hagans,3TM,26,,6,0,1,2,0,2,2.0,0.3,0
278,Madison Hedgecock,NYG,27,FB,16,10,1,0,0,0,0.0,0.0,0
279,Chris Henry,TEN,23,,1,0,1,3,0,3,3.0,3.0,0
280,Ike Hilliard,TAM,32,wr,16,2,1,0,0,0,0.0,0.0,2
281,T.J. Houshmandzadeh,CIN,31,WR,15,15,1,9,0,9,9.0,0.6,0
282,Steve Johnson,BUF,22,wr,11,1,1,6,0,6,6.0,0.5,0
283,Jacoby Jones,HOU,24,,16,0,1,-5,0,-5,-5.0,-0.3,4
284,Chris Kluwe,MIN,27,P,16,0,1,-7,0,-7,-7.0,-0.4,1
285,Sam Koch,BAL,26,P,16,0,1,9,0,9,9.0,0.6,0
286,Dan Kreider,STL,31,fb,11,4,1,0,0,0,0.0,0.0,0
287,Vonta Leach,HOU,27,FB,16,12,1,1,1,1,1.0,0.1,0
288,Shane Lechler,OAK,32,P,16,0,1,0,0,0,0.0,0.0,1
289,Kregg Lumpkin,GNB,24,,2,0,1,19,0,19,19.0,9.5,0
290,Mario Manningham,NYG,22,,7,0,1,-12,0,-12,-12.0,-1.7,0
291,Derrick Mason,BAL,34,wr,16,16,1,3,0,3,3.0,0.2,2
292,Robert Meachem,NOR,24,wr,14,3,1,20,1,20,20.0,1.4,0
293,Santana Moss,WAS,29,WR,16,16,1,27,0,27,27.0,1.7,1
294,Moran Norris,DET,30,FB,11,8,1,1,0,1,1.0,0.1,0
295,Dennis Northcutt,JAX,31,wr,14,3,1,9,0,9,9.0,0.6,1
296,Jordan Palmer,CIN,24,,3,0,1,4,0,4,4.0,1.3,0
297,Antwaan Randle El,WAS,29,WR,16,16,1,5,0,5,5.0,0.3,2
298,Koren Robinson,SEA,28,WR,12,12,1,-4,0,-4,-4.0,-0.3,0
299,Allen Rossum,SFO,33,wr,13,1,1,1,1,1,1.0,0.1,0
300,Tony Scheffler,DEN,25,te,13,7,1,-1,0,-1,-1.0,-0.1,1
301,Chaz Schilens,OAK,23,wr,16,6,1,-2,0,-2,-2.0,-0.1,0
302,Donte' Stallworth,CLE,28,wr,11,7,1,-4,0,-4,-4.0,-0.4,0
303,Derek Stanley,STL,23,,10,0,1,0,0,0,0.0,0.0,2
304,Chansi Stuckey,NYJ,25,wr,15,2,1,1,0,1,1.0,0.1,0
305,Matt Turk,HOU,40,P,16,0,1,18,0,18,18.0,1.1,1
306,Hines Ward,PIT,32,fl/WR,16,15,1,4,0,4,4.0,0.3,1
307,Reggie Williams,JAX,25,WR,16,11,1,0,0,0,0.0,0.0,0
308,Roy Williams,2TM,27,,15,11,1,13,0,13,13.0,0.9,0
309,Troy Williamson,JAX,25,wr,8,1,1,1,0,1,1.0,0.1,0
