,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
294,Tim Seder,DAL,27,K,8,0,1,8,1,8,8.0,1.0,0
295,Jimmy Smith,JAX,32,c/WR,16,16,1,-3,0,-3,-3.0,-0.2,1
296,Brandon Stokley,BAL,25,wr,16,5,1,1,0,1,1.0,0.1,1
297,Dan Stryzinski,KAN,36,P,16,0,1,-10,0,-10,-10.0,-0.6,0
298,Vinny Sutherland,SFO,23,,15,0,1,16,0,16,16.0,1.1,1
299,Reggie Swinton,DAL,26,wr,15,1,1,-4,0,-4,-4.0,-0.3,4
300,Tony Taylor,DAL,23,,1,0,1,0,0,0,0.0,0.0,0
301,Marques Tuiasosopo,OAK,22,,1,0,1,1,0,1,1.0,1.0,0
302,Justin Watson,STL,26,,11,0,1,0,0,0,0.0,0.0,0
303,Alvis Whitted,JAX,27,,11,0,1,4,0,4,4.0,0.4,0
304,Frank Wycheck,TEN,30,TE,16,16,1,1,0,1,1.0,0.1,0
