,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Eddie George,TEN,27,RB,16,16,403,1509,14,35,3.7,94.3,5
2,Edgerrin James,IND,22,RB,16,16,387,1709,13,30,4.4,106.8,5
3,Jerome Bettis,PIT,28,RB,16,16,355,1341,8,30,3.8,83.8,1
4,James Stewart,DET,29,RB,16,16,339,1184,10,34,3.5,74.0,4
5,Stephen Davis,WAS,26,RB,15,15,332,1318,11,50,4.0,87.9,4
6,Curtis Martin,NYJ,27,RB,16,16,316,1204,9,55,3.8,75.3,2
7,Corey Dillon,CIN,26,RB,16,16,315,1435,7,80,4.6,89.7,4
8,Jamal Lewis,BAL,21,RB,16,13,309,1364,6,45,4.4,85.3,6
9,Lamar Smith,MIA,30,RB,15,15,309,1139,14,68,3.7,75.9,3
10,Mike Anderson,DEN,27,rb,16,12,297,1487,15,80,5.0,92.9,4
11,Robert Smith,MIN,28,RB,16,16,295,1521,7,72,5.2,95.1,4
12,Emmitt Smith,DAL,31,RB,16,16,294,1203,9,52,4.1,75.2,6
13,Fred Taylor,JAX,24,RB,13,13,292,1399,12,71,4.8,107.6,4
14,James Allen,CHI,25,RB,16,15,290,1120,2,29,3.9,70.0,5
15,Jamal Anderson,ATL,28,RB,16,16,282,1024,6,42,3.6,64.0,6
16,Ricky Watters,SEA,31,rb,16,16,278,1242,7,55,4.5,77.6,5
17,Ahman Green,GNB,23,rb,16,11,263,1175,10,39,4.5,73.4,6
18,Charlie Garner,SFO,28,RB,16,15,258,1142,7,42,4.4,71.4,4
19,Marshall Faulk,STL,27,RB,14,14,253,1359,18,36,5.4,97.1,0
20,Warrick Dunn,TAM,25,rb,16,14,248,1133,8,70,4.6,70.8,1
21,Ricky Williams,NOR,23,RB,10,10,248,1000,8,26,4.0,100.0,6
22,Tyrone Wheatley,OAK,28,RB,14,13,232,1046,9,80,4.5,74.7,4
23,Ron Dayne,NYG,22,rb,16,4,228,770,5,50,3.4,48.1,1
24,Tiki Barber,NYG,25,RB,16,12,213,1006,8,78,4.7,62.9,9
25,Michael Pittman,ARI,25,RB,16,12,184,719,4,29,3.9,44.9,5
26,Tim Biakabutuka,CAR,26,RB,12,11,173,627,2,43,3.6,52.3,4
27,Travis Prentice,CLE,24,RB,16,11,173,512,7,17,3.0,32.0,2
28,Kevin Faulk,NWE,24,rb,16,9,164,570,4,18,3.5,35.6,6
29,Shawn Bryson,BUF,24,rb,16,7,161,591,0,24,3.7,36.9,1
30,Tony Richardson,KAN,29,FB,16,16,147,697,3,33,4.7,43.6,3
31,Priest Holmes,BAL,27,rb,16,2,137,588,2,21,4.3,36.8,2
32,Mike Alstott,TAM,27,fb,13,13,131,465,5,20,3.5,35.8,3
33,J.R. Redmond.00,NWE,23,rb,12,5,125,406,1,20,3.2,33.8,2
34,Jermaine Fazande,SDG,25,rb,13,7,119,368,2,26,3.1,28.3,1
35,Terrell Fletcher,SDG,27,rb,16,6,116,384,3,21,3.3,24.0,2
36,Darnell Autry,PHI,24,rb,11,7,112,334,3,15,3.0,30.4,2
37,Thomas Jones,ARI,22,rb,14,4,112,373,2,29,3.3,26.6,4
38,Antowain Smith,BUF,28,rb,11,3,101,354,4,59,3.5,32.2,1
39,Napoleon Kaufman,OAK,27,rb,14,2,93,499,0,60,5.4,35.6,1
40,Sammy Morris,BUF,23,rb,12,8,93,341,5,32,3.7,28.4,2
41,Brandon Bennett,CIN,27,,16,0,90,324,3,37,3.6,20.3,2
42,Daunte Culpepper,MIN,23,QB,16,16,89,470,7,27,5.3,29.4,11
43,Rich Gannon,OAK,35,QB,16,16,89,529,4,23,5.9,33.1,9
44,Brad Hoover,CAR,24,rb,16,4,89,290,1,35,3.3,18.1,1
