,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
107,Jake Delhomme,CAR,29,QB,16,16,25,71,1,13,2.8,4.4,12
108,Trent Green,KAN,34,QB,16,16,25,85,0,13,3.4,5.3,11
109,Peyton Manning,IND,28,QB,16,16,25,38,0,19,1.5,2.4,5
110,Stephen Davis,CAR,30,rb,2,2,24,92,0,12,3.8,46.0,0
111,Reno Mahe,PHI,24,,11,0,23,91,0,22,4.0,8.3,1
112,Steve McNair,TEN,31,QB,8,8,23,128,1,23,5.6,16.0,5
113,Drew Bledsoe,BUF,32,QB,16,16,22,37,0,17,1.7,2.3,9
114,Cedric Cobbs,NWE,23,,3,0,22,50,0,13,2.3,16.7,1
115,Mike Cloud,NYG,29,,10,0,21,90,3,26,4.3,9.0,0
116,J.R. Redmond.00,OAK,27,rb,16,1,21,119,0,18,5.7,7.4,2
117,Vinny Testaverde,DAL,41,QB,16,15,21,38,1,10,1.8,2.4,8
118,Joe Burns,BUF,25,,16,0,20,73,0,21,3.7,4.6,0
119,Chris Fuamatu-Ma'afala,JAX,27,fb,7,1,20,69,1,10,3.5,9.9,0
120,Arlen Harris,STL,24,rb,14,1,20,63,0,14,3.2,4.5,1
121,Garrison Hearst,DEN,33,,7,0,20,81,1,11,4.1,11.6,0
122,Michael Turner,SDG,22,rb,14,1,20,104,0,30,5.2,7.4,1
123,Mark Brunell,WAS,34,QB,9,9,19,62,0,21,3.3,6.9,6
124,Marc Bulger,STL,27,QB,14,14,19,89,3,19,4.7,6.4,5
125,Brock Forsey,MIA,24,,7,0,19,53,0,15,2.8,7.6,1
126,Craig Krenzel,CHI,23,qb,6,5,18,41,0,12,2.3,6.8,8
127,Carson Palmer,CIN,25,QB,13,13,18,47,1,14,2.6,3.6,2
128,Robert Holcombe,TEN,29,FB,16,8,17,62,0,20,3.6,3.9,0
129,Kerry Collins,OAK,32,QB,14,13,16,36,0,8,2.3,2.6,7
130,Brett Favre,GNB,35,QB,16,16,16,36,0,17,2.3,2.3,4
131,Lorenzo Neal,SDG,34,FB,16,10,16,53,0,8,3.3,3.3,1
132,Jamal Robertson,2TM,27,,12,0,16,71,1,16,4.4,5.9,3
133,Joey Harris,CAR,24,,4,0,15,53,0,19,3.5,13.3,0
134,A.J. Feeley.00,MIA,27,QB,11,8,14,13,1,7,0.9,1.2,10
135,Rabih Abdullah,NWE,29,,9,0,13,13,1,5,1.0,1.4,0
136,Earnest Graham,TAM,24,,9,0,13,73,0,13,5.6,8.1,0
137,Kurt Warner,NYG,33,QB,10,9,13,30,1,13,2.3,3.0,12
138,Quincy Carter,NYJ,27,qb,7,3,12,20,0,9,1.7,2.9,2
139,Jay Fiedler,MIA,33,qb,8,7,12,59,0,26,4.9,7.4,9
140,David Garrard,JAX,26,qb,4,2,12,76,1,12,6.3,19.0,0
141,James Jackson,2TM,28,,5,0,12,81,0,38,6.8,16.2,1
142,Tim Rattay,SFO,27,QB,9,9,12,55,0,15,4.6,6.1,11
143,Tony Richardson,KAN,33,FB,16,16,12,56,0,13,4.7,3.5,0
144,Musa Smith,BAL,22,,9,0,12,48,0,13,4.0,5.3,0
145,Thomas Tapeh,PHI,24,,7,0,12,42,0,10,3.5,6.0,0
146,Bobby Wade,CHI,23,WR,16,14,12,76,0,14,6.3,4.8,2
147,Rex Grossman,CHI,24,qb,3,3,11,48,1,8,4.4,16.0,2
148,Tony Hollings,HOU,23,,7,0,11,47,0,13,4.3,6.7,0
149,Billy Volek,TEN,28,QB,10,8,11,50,1,14,4.5,5.0,6
150,Ki-Jana Carter,NOR,31,,2,0,10,17,0,8,1.7,8.5,0
151,Koy Detmer,PHI,31,qb,16,1,10,-7,0,2,-0.7,-0.4,1
152,Trent Dilfer,SEA,32,qb,5,2,10,14,0,11,1.4,2.8,1
153,Jon Kitna,CIN,32,qb,4,3,10,42,0,15,4.2,10.5,2
154,Nick Luchey,GNB,27,fb,16,6,10,24,0,4,2.4,1.5,0
155,Patrick Ramsey,WAS,25,qb,9,7,10,19,0,17,1.9,2.1,6
156,Alan Ricard,BAL,27,FB,16,9,10,36,0,14,3.6,2.3,0
157,Fred Beasley,SFO,30,FB,14,10,9,15,0,4,1.7,1.1,0
158,Chris Chambers,MIA,26,WR,15,15,9,76,0,24,8.4,5.1,1
159,Justin Griffith,ATL,24,FB,12,11,9,39,0,10,4.3,3.3,0
160,Shaun King,ARI,27,qb,3,2,9,30,0,16,3.3,10.0,4
161,Tommy Maddox,PIT,33,qb,4,3,9,15,0,10,1.7,3.8,3
162,Eric McCoo,PHI,24,,1,0,9,54,0,12,6.0,54.0,0
163,Andrew Pinnock,SDG,24,,1,0,9,26,0,11,2.9,26.0,1
164,Bernard Berrian,CHI,24,wr,16,1,8,28,0,25,3.5,1.8,0
165,Adimchinobe Echemandu,CLE,24,,4,0,8,25,0,6,3.1,6.3,1
166,Larry Fitzgerald,ARI,21,RB/wr,16,16,8,14,0,10,1.8,0.9,1
167,Dante Hall,KAN,26,wr,16,6,8,56,0,17,7.0,3.5,1
168,Dennis Northcutt,CLE,27,WR,16,11,8,19,0,8,2.4,1.2,2
169,Antwaan Randle El,PIT,25,se/wr,16,7,8,34,0,12,4.3,2.1,5
170,Matt Schaub,ATL,23,qb,6,1,8,26,0,11,3.3,4.3,1
171,Jim Sorgi,IND,24,,4,0,8,-5,0,2,-0.6,-1.3,1
172,Heath Evans,SEA,26,,15,0,7,20,0,7,2.9,1.3,1
173,Troy Fleming,TEN,24,,16,0,7,40,0,13,5.7,2.5,0
174,Johnnie Morton,KAN,33,WR,13,12,7,43,0,14,6.1,3.3,2
175,Chris Simms,TAM,24,qb,5,2,7,14,0,12,2.0,2.8,3
176,Hines Ward,PIT,28,FL,16,16,7,25,1,16,3.6,1.6,1
177,B.J. Askew.00,NYJ,24,,16,0,6,23,0,14,3.8,1.4,0
178,Brandon Bennett,CAR,31,,8,0,6,17,1,11,2.8,2.1,0
179,Nate Burleson,MIN,23,WR,16,15,6,49,0,11,8.2,3.1,1
180,T.J. Houshmandzadeh,CIN,27,WR,16,13,6,51,0,16,8.5,3.2,0
181,Chad Hutchinson,CHI,27,qb,5,5,6,14,0,11,2.3,2.8,8
182,Eli Manning,NYG,23,qb,9,7,6,35,0,15,5.8,3.9,3
183,Luke McCown,CLE,23,qb,5,4,6,25,0,11,4.2,5.0,2
184,Santana Moss,NYJ,25,fl/wr,15,14,6,18,0,12,3.0,1.2,2
185,Adrian Peterson,CHI,25,,14,0,6,19,0,13,3.2,1.4,0
186,Stanley Pritchett,ATL,31,fb,14,2,6,18,0,8,3.0,1.3,0
187,Donte' Stallworth,NOR,24,WR,16,10,6,37,0,26,6.2,2.3,0
188,Walter Williams,GNB,27,,1,0,6,42,0,28,7.0,42.0,0
189,Darian Barnes,DAL,24,FB,16,10,5,10,0,8,2.0,0.6,1
190,Michael Clayton,TAM,22,WR,16,13,5,30,0,15,6.0,1.9,1
191,Ken Dorsey,SFO,23,qb,8,7,5,7,0,3,1.4,0.9,5
192,Lee Evans,BUF,23,WR,16,11,5,85,0,48,17.0,5.3,1
193,Doug Flutie,SDG,42,qb,2,1,5,39,2,20,7.8,19.5,0
194,Rich Gannon,OAK,39,qb,3,3,5,26,0,20,5.2,8.7,3
195,Brad Johnson,TAM,36,qb,4,4,5,23,0,7,4.6,5.8,2
196,Eric Moulds,BUF,31,WR,16,16,5,19,0,12,3.8,1.2,1
197,James Mungro,IND,26,,15,0,5,19,0,8,3.8,1.3,0
198,Rod Smith,DEN,34,WR,16,16,5,33,0,14,6.6,2.1,4
199,Darius Watts,DEN,23,wr,16,2,5,33,0,10,6.6,2.1,1
200,Reche Caldwell,SDG,25,wr,6,6,4,45,0,20,11.3,7.5,1
201,Kerry Carter,SEA,24,,16,0,4,15,0,6,3.8,0.9,0
202,Antonio Chatman,GNB,25,wr,16,2,4,36,0,18,9.0,2.3,3
203,Rohan Davey,NWE,26,,4,0,4,-1,0,3,-0.3,-0.3,0
204,Tim Dwight,SDG,29,,12,0,4,54,0,48,13.5,4.5,0
205,Omar Easy,KAN,27,,15,0,4,1,0,4,0.3,0.1,0
206,Jabar Gaffney,HOU,24,WR,16,12,4,30,0,10,7.5,1.9,1
207,Andre Johnson,HOU,23,WR,16,16,4,12,0,14,3.0,0.8,1
208,Chad Johnson,CIN,26,WR,16,16,4,39,0,18,9.8,2.4,1
209,Vick King,MIA,24,,2,0,4,9,0,3,2.3,4.5,0
210,Dan Kreider,PIT,27,FB,16,9,4,18,0,6,4.5,1.1,0
211,Greg Lewis,PHI,24,wr,16,3,4,16,0,11,4.0,1.0,0
212,Shaun McDonald,STL,23,,16,0,4,0,0,7,0.0,0.0,4
213,Eric Parker,SDG,25,WR,15,13,4,53,0,38,13.3,3.5,5
214,Philip Rivers,SDG,23,,2,0,4,-5,0,-1,-1.3,-2.5,1
215,B.J. Sams.00,BAL,24,wr,16,1,4,19,1,8,4.8,1.2,5
216,Cecil Sapp,DEN,26,,5,0,4,32,0,18,8.0,6.4,0
217,Cory Schlesinger,DET,32,FB,13,11,4,7,0,2,1.8,0.5,0
218,Terrelle Smith,CLE,26,FB,16,9,4,9,0,4,2.3,0.6,0
219,Brian St. Pierre.PBr20,PIT,25,,1,0,4,-3,0,2,-0.8,-3.0,0
220,Jeff Blake,PHI,34,,3,0,3,6,0,8,2.0,2.0,1
221,Kelly Campbell,MIN,24,wr,16,3,3,4,0,16,1.3,0.3,1
222,Laveranues Coles,WAS,27,WR,16,16,3,-3,0,7,-1.0,-0.2,1
223,Kevin Curtis,STL,26,,15,0,3,24,0,15,8.0,1.6,1
224,Donald Driver,GNB,29,WR,16,11,3,4,0,14,1.3,0.3,2
225,Jim Finn,NYG,28,FB,16,9,3,7,0,5,2.3,0.4,0
226,Rod Gardner,WAS,27,WR,16,14,3,7,0,11,2.3,0.4,0
227,Joey Goodspeed,STL,26,fb,16,5,3,6,1,2,2.0,0.4,1
228,Ike Hilliard,NYG,28,WR,16,15,3,34,0,17,11.3,2.1,3
229,Kelly Holcomb,CLE,31,qb,4,2,3,-2,0,0,-0.7,-0.5,1
230,Jeremi Johnson,CIN,24,fb,16,6,3,5,0,4,1.7,0.3,1
231,Mike Karney,NOR,23,fb,16,8,3,7,0,4,2.3,0.4,0
232,Ashley Lelie,DEN,24,WR,16,16,3,5,0,8,1.7,0.3,0
233,Muhsin Muhammad,CAR,31,WR,16,16,3,15,0,13,5.0,0.9,3
234,Craig Nall,GNB,25,,5,0,3,7,0,9,2.3,1.4,1
235,Terrell Owens,PHI,31,WR,14,14,3,-5,0,6,-1.7,-0.4,2
236,Peerless Price,ATL,28,WR,16,15,3,34,0,16,11.3,2.1,0
237,Jonathan Quinn,CHI,29,qb,5,3,3,35,0,23,11.7,7.0,2
238,Cliff Russell,CIN,25,wr,13,1,3,15,0,13,5.0,1.2,2
239,Rod Smart,CAR,27,,3,0,3,4,0,3,1.3,1.3,1
240,David Terrell,CHI,25,WR,16,15,3,10,0,20,3.3,0.6,1
241,Dez White,ATL,25,WR,16,15,3,14,0,26,4.7,0.9,0
242,Jason Wright,ATL,22,,2,0,3,10,0,8,3.3,5.0,0
243,Arnaz Battle,SFO,24,,14,0,2,5,0,7,2.5,0.4,2
244,Jarrod Baxter,HOU,25,fb,8,1,2,1,0,1,0.5,0.1,0
245,Tim Carter,NYG,25,,5,0,2,23,0,15,11.5,4.6,0
246,Rock Cartwright,WAS,25,,13,0,2,0,0,2,0.0,0.0,0
247,Troy Edwards,JAX,27,wr,16,4,2,2,0,2,1.0,0.1,3
248,Doug Gabriel,OAK,24,wr,16,5,2,7,0,4,3.5,0.4,2
249,Joey Galloway,TAM,33,wr,10,7,2,19,0,14,9.5,1.9,3
250,Bethel Johnson,NWE,25,wr,13,1,2,8,0,11,4.0,0.6,2
251,Bryant Johnson,ARI,23,wr,16,11,2,-6,0,1,-3.0,-0.4,1
252,Doug Johnson,TEN,27,,2,0,2,-2,0,-1,-1.0,-1.0,0
253,Keyshawn Johnson,DAL,32,WR,16,16,2,13,0,13,6.5,0.8,1
254,Eddie Kennison,KAN,31,WR,14,14,2,15,0,15,7.5,1.1,1
255,Rob Konrad,MIA,28,fb,10,1,2,18,0,15,9.0,1.8,0
256,J.P. Losman.00,BUF,23,,4,0,2,15,0,10,7.5,3.8,1
257,Shane Matthews,BUF,34,,3,0,2,-3,0,-1,-1.5,-1.0,0
258,Fred McAfee,NOR,36,,11,0,2,54,0,53,27.0,4.9,0
259,Justin McCareins,NYJ,26,SE/WR,16,16,2,-5,0,-2,-2.5,-0.3,3
260,Mike McMahon,DET,25,,1,0,2,18,0,14,9.0,18.0,1
261,Brian Moorman,BUF,28,P,16,0,2,23,0,34,11.5,1.4,2
262,Quincy Morgan,2TM,27,,15,12,2,23,0,24,11.5,1.5,1
263,J.T. O'Sullivan.00,GNB,25,,1,0,2,-2,0,-1,-1.0,-2.0,0
264,Doug Pederson,GNB,36,,4,0,2,15,0,9,7.5,3.8,0
265,Chris Perry,CIN,23,,2,0,2,1,0,1,0.5,0.5,0
266,Josh Reed,BUF,24,wr,12,1,2,-1,0,6,-0.5,-0.1,0
267,Ian Smart,TAM,24,,4,0,2,26,0,25,13.0,6.5,0
268,Jonathan Smith,BUF,23,,9,0,2,11,0,8,5.5,1.2,0
269,Jerald Sowell,NYJ,30,FB,16,16,2,28,0,19,14.0,1.8,1
270,Peter Warrick,CIN,27,wr,4,1,2,14,0,8,7.0,3.5,0
271,Karl Williams,ARI,33,wr,15,2,2,6,0,3,3.0,0.4,4
272,Damien Anderson,ARI,25,,4,0,1,2,0,2,2.0,0.5,0
273,Drew Bennett,TEN,26,WR,16,16,1,12,0,12,12.0,0.8,3
274,Anquan Boldin,ARI,24,wr,10,9,1,3,0,3,3.0,0.3,1
275,Brooks Bollinger,NYJ,25,,1,0,1,2,0,2,2.0,2.0,0
276,Marty Booker,MIA,28,WR,15,15,1,-8,0,-8,-8.0,-0.5,0
277,Dante Brown,PIT,24,,1,0,1,2,0,2,2.0,2.0,0
278,Chris Chandler,STL,39,qb,5,2,1,2,0,2,2.0,0.4,1
279,Stephen Cheek,KAN,27,P,12,0,1,0,0,0,0.0,0.0,1
280,Cam Cleeland,STL,29,TE,16,9,1,-2,0,-2,-2.0,-0.1,0
281,Dexter Coakley,DAL,32,LB,16,16,1,33,0,33,33.0,2.1,0
282,Todd Collins,KAN,33,,2,0,1,4,0,4,4.0,2.0,0
283,Terrance Copper,DAL,22,,10,0,1,-1,0,-1,-1.0,-0.1,0
284,Ronald Curry,OAK,25,wr,12,3,1,-3,0,-3,-3.0,-0.3,1
285,Andre' Davis,CLE,25,wr,7,7,1,-3,0,-3,-3.0,-0.4,0
286,Eddie Drummond,DET,24,wr,11,1,1,9,0,9,9.0,0.8,0
287,Derrick Frost,CLE,24,P,16,0,1,1,0,1,1.0,0.1,0
288,Terry Glenn,DAL,30,wr,6,6,1,-3,0,-3,-3.0,-0.5,0
289,Tony Gonzalez,KAN,28,TE,16,16,1,5,0,5,5.0,0.3,0
290,Jabari Greer,BUF,22,cb,12,1,1,-6,0,-6,-6.0,-0.5,0
291,Az-Zahir Hakim,DET,27,wr,12,5,1,0,0,0,0.0,0.0,0
292,Nick Harris,DET,26,P,16,0,1,-7,0,-7,-7.0,-0.4,0
293,Drew Henson,DAL,24,qb,7,1,1,7,0,7,7.0,1.0,1
294,Craig Hentrich,TEN,33,P,16,0,1,8,0,8,8.0,0.5,0
295,Chris Hetherington,OAK,32,fb,5,2,1,4,0,4,4.0,0.8,1
296,Chris Horn,KAN,27,,14,0,1,12,0,12,12.0,0.9,0
297,Jasen Isom,SFO,27,fb,5,1,1,0,0,0,0.0,0.0,0
298,Larry Izzo,NWE,30,,16,0,1,0,0,0,0.0,0.0,0
299,Frisman Jackson,CLE,25,,10,0,1,4,0,4,4.0,0.4,1
300,Taylor Jacobs,WAS,23,rb/wr,15,4,1,-6,0,-6,-6.0,-0.4,0
301,Michael Jenkins,ATL,22,,16,0,1,2,0,2,2.0,0.1,0
302,Kevin Johnson,BAL,28,wr,16,5,1,0,0,0,0.0,0.0,1
303,Kyle Larson,CIN,24,P,16,0,1,11,1,11,11.0,0.7,0
304,George Layne,2TM,26,,4,0,1,12,0,12,12.0,3.0,0
305,Derrick Mason,TEN,30,WR,16,16,1,-3,0,-3,-3.0,-0.2,2
306,Keenan McCardell,SDG,34,wr,7,6,1,3,0,3,3.0,0.4,0
307,Jason McKie,CHI,24,fb,15,2,1,1,0,1,1.0,0.1,1
308,Moran Norris,HOU,26,fb,12,4,1,0,0,0,0.0,0.0,0
309,David Patten,NWE,30,WR,16,11,1,5,0,5,5.0,0.3,0
310,Rodney Peete,CAR,38,,1,0,1,-1,0,-1,-1.0,-1.0,0
311,Cody Pickett,SFO,24,,1,0,1,5,0,5,5.0,5.0,1
312,Willie Ponder,NYG,24,,11,0,1,-4,0,-4,-4.0,-0.4,1
313,Jerry Porter,OAK,26,WR,16,16,1,-4,0,-4,-4.0,-0.3,2
314,Ricky Proehl,CAR,36,wr,16,3,1,9,0,9,9.0,0.6,0
315,Koren Robinson,SEA,24,WR,10,8,1,3,0,3,3.0,0.3,0
316,Allen Rossum,ATL,29,cb,16,1,1,0,0,0,0.0,0.0,2
317,Brian Russell,MIN,26,FS,16,16,1,4,0,4,4.0,0.3,0
318,Deion Sanders,BAL,37,wr,9,2,1,-10,0,-10,-10.0,-1.1,0
319,Bobby Shaw,2TM,29,,11,0,1,1,0,1,1.0,0.1,0
320,Jason Simmons,HOU,28,fs/ss,10,6,1,1,0,1,1.0,0.1,0
321,Hunter Smith,IND,27,P,16,0,1,2,0,2,2.0,0.1,0
322,Chad Stanley,HOU,28,P,16,0,1,5,0,5,5.0,0.3,0
323,Kordell Stewart,BAL,32,,2,0,1,-1,0,-1,-1.0,-0.5,0
324,Reggie Swinton,DET,29,,13,1,1,3,0,3,3.0,0.2,1
325,Jamaar Taylor,NYG,23,,8,0,1,-8,0,-8,-8.0,-1.0,0
326,Matt Turk,MIA,36,P,16,0,1,3,0,3,3.0,0.2,0
327,Dedric Ward,DAL,30,,8,0,1,11,0,11,11.0,1.4,1
328,Kelley Washington,CIN,25,wr,16,2,1,-1,0,-1,-1.0,-0.1,0
329,Reggie Wayne,IND,26,WR,16,16,1,-4,0,-4,-4.0,-0.3,0
330,Jeff Wilkins,STL,32,K,16,0,1,-5,0,-5,-5.0,-0.3,0
331,Randal Williams,DAL,26,fs/wr,2,2,1,13,0,13,13.0,6.5,0
332,Roy Williams,DET,23,WR,14,12,1,1,0,1,1.0,0.1,1
333,Cedrick Wilson,SFO,26,WR,15,15,1,6,0,6,6.0,0.4,0
