,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Curtis Martin,NYJ,31,RB,16,16,371,1697,12,25,4.6,106.1,2
2,Rudi Johnson,CIN,25,RB,16,16,361,1454,12,52,4.0,90.9,4
3,Shaun Alexander,SEA,27,RB,16,16,353,1696,16,44,4.8,106.0,5
4,Corey Dillon,NWE,30,RB,15,14,345,1635,12,44,4.7,109.0,5
5,Clinton Portis,WAS,23,RB,15,15,343,1315,5,64,3.8,87.7,5
6,LaDainian Tomlinson,SDG,25,RB,15,15,339,1335,17,42,3.9,89.0,6
7,Edgerrin James,IND,26,RB,16,16,334,1548,9,40,4.6,96.8,6
8,Tiki Barber,NYG,29,RB,16,14,322,1518,13,72,4.7,94.9,5
9,Domanick Williams,HOU,24,RB,15,15,302,1188,13,44,3.9,79.2,4
10,Willis McGahee,BUF,23,RB,16,11,284,1128,13,41,4.0,70.5,4
11,Reuben Droughns,DEN,26,fb/RB,16,15,275,1240,6,51,4.5,77.5,5
12,Deuce McAllister,NOR,26,RB,14,14,269,1074,9,71,4.0,76.7,5
13,Emmitt Smith,ARI,35,RB,15,15,267,937,9,29,3.5,62.5,4
14,Warrick Dunn,ATL,29,RB,16,16,265,1106,9,60,4.2,69.1,3
15,Fred Taylor,JAX,28,RB,14,14,260,1224,2,46,4.7,87.4,3
16,Ahman Green,GNB,27,fb/RB,15,15,259,1163,7,90,4.5,77.5,7
17,Jerome Bettis,PIT,32,rb,15,6,250,941,13,29,3.8,62.7,1
18,Kevan Barlow,SFO,25,RB,15,14,244,822,7,60,3.4,54.8,2
19,Kevin Jones,DET,22,RB,15,14,241,1133,5,74,4.7,75.5,2
20,Thomas Jones,CHI,26,RB,14,14,240,948,7,54,4.0,67.7,2
21,Jamal Lewis,BAL,25,RB,12,12,235,1006,7,75,4.3,83.8,2
22,Chris Brown,TEN,23,RB,11,11,220,1067,6,52,4.9,97.0,6
23,Michael Pittman,TAM,29,RB,13,13,219,926,7,78,4.2,71.2,6
24,Nick Goings,CAR,26,fb/rb,16,8,217,821,6,57,3.8,51.3,1
25,Lee Suggs,CLE,24,rb,10,3,199,744,2,39,3.7,74.4,6
26,Julius Jones,DAL,23,rb,8,7,197,819,7,53,4.2,102.4,3
27,Priest Holmes,KAN,31,RB,8,8,196,892,14,33,4.6,111.5,4
28,Marshall Faulk,STL,31,RB,14,14,195,774,3,40,4.0,55.3,2
29,Duce Staley,PIT,29,RB,10,10,192,830,1,38,4.3,83.0,3
30,Brian Westbrook,PHI,25,RB,13,12,177,812,3,50,4.6,62.5,1
31,William Green,CLE,25,RB,15,13,163,585,2,46,3.6,39.0,3
32,Chester Taylor,BAL,25,rb,16,4,160,714,2,47,4.5,44.6,1
33,Antowain Smith,TEN,32,rb,13,4,137,509,4,43,3.7,39.2,2
34,Steven Jackson,STL,21,fb/rb,14,3,134,673,4,48,5.0,48.1,1
35,Eddie George,DAL,31,RB,13,8,132,432,4,24,3.3,33.2,3
36,Sammy Morris,MIA,27,RB,13,8,132,523,6,35,4.0,40.2,1
37,Onterrio Smith,MIN,24,rb,11,6,124,544,2,38,4.4,49.5,2
38,Anthony Thomas,CHI,27,rb,12,2,122,404,2,41,3.3,33.7,1
39,Larry Johnson,KAN,25,rb,10,3,120,581,9,46,4.8,58.1,0
40,Michael Vick,ATL,24,QB,15,15,120,902,3,58,7.5,60.1,16
41,Derrick Blaylock,KAN,25,rb,12,5,118,539,8,24,4.6,44.9,0
42,Amos Zereoue,OAK,28,rb,15,6,112,425,3,55,3.8,28.3,1
43,Travis Minor,MIA,25,rb,11,4,109,388,3,34,3.6,35.3,0
44,T.J. Duckett.00,ATL,23,,13,0,104,509,8,35,4.9,39.2,2
45,Maurice Hicks,SFO,26,rb,9,2,96,362,2,35,3.8,40.2,3
46,Travis Henry,BUF,26,rb,10,5,94,326,0,19,3.5,32.6,0
47,Dorsey Levens,PHI,34,rb,15,5,94,410,4,45,4.4,27.3,0
48,LaMont Jordan,NYJ,26,,16,0,93,479,2,33,5.2,29.9,1
49,Ladell Betts,WAS,25,rb,16,1,90,371,1,27,4.1,23.2,0
50,Daunte Culpepper,MIN,27,QB,16,16,88,406,2,16,4.6,25.4,9
51,Quentin Griffin,DEN,23,rb,6,4,85,311,2,47,3.7,51.8,3
52,Tyrone Wheatley,OAK,32,rb,8,7,85,327,4,60,3.8,40.9,0
53,Jonathan Wells,HOU,25,rb,16,1,82,299,3,14,3.6,18.7,1
54,Tatum Bell,DEN,23,,14,0,75,396,3,29,5.3,28.3,1
55,David Carr,HOU,25,QB,16,16,73,299,0,24,4.1,18.7,10
56,Najeh Davenport,GNB,25,rb,11,1,71,359,2,40,5.1,32.6,1
57,Michael Bennett,MIN,26,rb,11,7,70,276,1,25,3.9,25.1,1
58,Brad Hoover,CAR,28,fb/rb,14,9,68,246,0,16,3.6,17.6,0
59,Mike Alstott,TAM,31,FB,14,11,67,230,2,32,3.4,16.4,2
60,Jesse Chatman,SDG,25,,15,0,65,392,3,52,6.0,26.1,1
61,Tony Fisher,GNB,25,,16,0,65,224,0,24,3.4,14.0,1
62,Mewelde Moore,MIN,22,rb,10,3,65,379,0,33,5.8,37.9,0
63,Troy Hambrick,ARI,28,,10,0,63,283,1,62,4.5,28.3,0
64,Greg Jones,JAX,23,fb/rb,16,3,62,162,3,12,2.6,10.1,1
65,Jake Plummer,DEN,30,QB,16,16,62,202,1,22,3.3,12.6,6
66,DeShaun Foster,CAR,24,rb,4,3,59,255,2,71,4.3,63.8,0
67,Aaron Brooks,NOR,28,QB,16,16,58,173,4,15,3.0,10.8,13
68,Aaron Stecker,NOR,29,rb,16,3,58,244,2,42,4.2,15.3,1
69,Richie Anderson,DAL,33,fb/rb,12,4,57,246,1,27,4.3,20.5,1
70,Artose Pinner,DET,26,rb,9,2,57,174,2,14,3.1,19.3,0
71,Ben Roethlisberger,PIT,22,QB,14,13,56,144,1,20,2.6,10.3,2
72,Verron Haynes,PIT,25,,13,0,55,272,0,18,4.9,20.9,0
73,Kevin Faulk,NWE,28,rb,11,1,54,255,2,20,4.7,23.2,2
74,Kyle Boller,BAL,23,QB,16,16,53,189,1,19,3.6,11.8,11
75,Drew Brees,SDG,25,QB,15,15,53,85,2,22,1.6,5.7,7
76,Dominic Rhodes,IND,25,,16,0,53,254,1,55,4.8,15.9,2
77,Ron Dayne,NYG,26,rb,14,2,52,179,1,15,3.4,12.8,0
78,LaBrandon Toefield,JAX,24,,14,0,51,169,0,16,3.3,12.1,1
79,Shawn Bryson,DET,28,rb,16,1,50,264,0,28,5.3,16.5,1
80,Zack Crockett,OAK,32,fb/rb,16,9,48,232,2,47,4.8,14.5,0
81,Joey Harrington,DET,26,QB,16,16,48,175,0,17,3.6,10.9,6
82,Leonard Henry,MIA,26,rb,6,2,46,141,0,53,3.1,23.5,1
83,Tom Brady,NWE,27,QB,16,16,43,28,0,10,0.7,1.8,7
84,Shaud Williams,BUF,24,,4,0,42,167,2,27,4.0,41.8,1
85,Donovan McNabb,PHI,28,QB,15,15,41,220,3,28,5.4,14.7,8
86,Byron Leftwich,JAX,24,QB,14,14,39,148,2,17,3.8,10.6,5
87,Patrick Pass,NWE,27,fb,14,4,39,141,0,19,3.6,10.1,1
88,Josh McCown,ARI,25,QB,14,13,36,112,2,12,3.1,8.0,12
89,Mack Strong,SEA,33,FB,16,13,36,131,0,11,3.6,8.2,2
90,Justin Fargas,OAK,24,,12,0,35,126,1,15,3.6,10.5,1
91,Jeff Garcia,CLE,34,QB,11,10,35,169,2,21,4.8,15.4,9
92,Lamar Gordon,MIA,24,rb,3,2,35,64,0,11,1.8,21.3,1
93,Chad Pennington,NYJ,28,QB,13,13,34,126,1,16,3.7,9.7,5
94,Willie Parker,PIT,24,,8,0,32,186,0,58,5.8,23.3,0
95,Obafemi Ayanbadejo,ARI,29,fb,16,5,30,122,3,23,4.1,7.6,1
96,Charlie Garner,TAM,32,rb,3,3,30,111,0,25,3.7,37.0,0
97,Brian Griese,TAM,29,QB,11,10,30,17,0,7,0.6,1.5,6
98,Maurice Morris,SEA,25,,15,0,30,126,0,12,4.2,8.4,0
99,Moe Williams,MIN,30,rb,14,1,30,161,3,49,5.4,11.5,0
100,Larry Croom,ARI,23,rb,6,1,29,76,0,20,2.6,12.7,2
101,Matt Hasselbeck,SEA,29,QB,14,14,27,90,1,19,3.3,6.4,5
102,ReShard Lee,DAL,24,,14,0,27,128,1,14,4.7,9.1,0
103,Josh Scobey,ARI,25,,12,0,27,89,0,10,3.3,7.4,1
104,Jamel White,2TM,27,,13,0,27,82,0,16,3.0,6.3,0
105,Terry Jackson,SFO,28,,16,0,26,101,0,13,3.9,6.3,3
106,Kenny Watson,CIN,26,,16,0,26,161,0,25,6.2,10.1,2
