,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Ricky Williams,MIA,26,RB,16,16,392,1372,9,45,3.5,85.8,7
2,Jamal Lewis,BAL,24,fb/RB,16,16,387,2066,14,82,5.3,129.1,8
3,Ahman Green,GNB,26,RB,16,16,355,1883,15,98,5.3,117.7,7
4,Deuce McAllister,NOR,25,RB,16,16,351,1641,8,76,4.7,102.6,6
5,Fred Taylor,JAX,27,RB,16,16,345,1572,6,62,4.6,98.3,6
6,Travis Henry,BUF,25,RB,15,15,331,1356,10,64,4.1,90.4,7
7,Shaun Alexander,SEA,26,RB,16,15,326,1435,14,55,4.4,89.7,4
8,Curtis Martin,NYJ,30,RB,16,16,323,1308,2,56,4.0,81.8,2
9,Priest Holmes,KAN,30,RB,16,16,320,1420,27,31,4.4,88.8,1
10,Stephen Davis,CAR,29,RB,14,14,318,1444,8,40,4.5,103.1,3
11,LaDainian Tomlinson,SDG,24,RB,16,16,313,1645,13,73,5.3,102.8,2
12,Eddie George,TEN,30,RB,16,16,312,1031,5,27,3.3,64.4,1
13,Edgerrin James,IND,25,RB,13,13,310,1259,11,43,4.1,96.8,5
14,Clinton Portis,DEN,22,RB,13,13,290,1591,14,65,5.5,122.4,3
15,Tiki Barber,NYG,28,fb/RB,16,16,278,1216,2,27,4.4,76.0,9
16,Troy Hambrick,DAL,27,RB,16,16,275,972,5,42,3.5,60.8,4
17,Jerome Bettis,PIT,31,RB,16,10,246,811,7,21,3.3,50.7,5
18,Anthony Thomas,CHI,26,RB,13,13,244,1024,6,67,4.2,78.8,1
19,Domanick Williams,HOU,23,RB,14,10,238,1031,8,51,4.3,73.6,4
20,Marcel Shipp,ARI,25,RB,16,11,228,830,0,36,3.6,51.9,3
21,Rudi Johnson,CIN,24,rb,13,5,215,957,9,54,4.5,73.6,0
22,Marshall Faulk,STL,30,RB,11,11,209,818,10,52,3.9,74.4,0
23,Kevan Barlow,SFO,24,rb,16,4,201,1024,6,78,5.1,64.0,5
24,T.J. Duckett.00,ATL,22,RB,16,10,197,779,11,55,4.0,48.7,3
25,Michael Pittman,TAM,28,RB,16,13,187,751,0,17,4.0,46.9,4
26,Antowain Smith,NWE,31,rb,13,6,182,642,3,30,3.5,49.4,1
27,Kevin Faulk,NWE,27,fb/rb,15,8,178,638,0,23,3.6,42.5,4
28,Garrison Hearst,SFO,32,RB,12,12,178,768,3,36,4.3,64.0,2
29,Moe Williams,MIN,29,rb,16,7,174,745,5,61,4.3,46.6,2
30,Tyrone Wheatley,OAK,31,fb/rb,15,5,159,678,4,41,4.3,45.2,2
31,Shawn Bryson,DET,27,RB,16,13,158,606,3,39,3.8,37.9,2
32,Trung Canidate,WAS,26,RB,11,10,142,600,1,38,4.2,54.5,1
33,William Green,CLE,24,rb,7,7,142,559,1,26,3.9,79.9,5
34,Corey Dillon,CIN,29,RB,13,11,138,541,2,39,3.9,41.6,0
35,Thomas Jones,TAM,25,rb,16,3,137,627,3,61,4.6,39.2,4
36,Amos Zereoue,PIT,27,rb,16,6,132,433,2,22,3.3,27.1,0
