,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
58,Michael Turner,SDG,25,,16,0,71,316,1,74,4.5,19.8,1
59,Leon Washington,NYJ,25,rb,16,4,71,353,3,49,5.0,22.1,4
60,Ahman Green,HOU,30,rb,6,5,70,260,2,18,3.7,43.3,0
61,Michael Pittman,TAM,32,fb/rb,10,3,68,286,0,29,4.2,28.6,1
62,T.J. Duckett.00,DET,26,rb,12,1,65,335,3,53,5.2,27.9,1
63,Correll Buckhalter,PHI,29,rb,14,2,62,313,4,30,5.0,22.4,1
64,Kevin Faulk,NWE,31,RB,16,8,62,265,0,14,4.3,16.6,1
65,Michael Bennett,2TM,29,,14,1,61,241,1,28,4.0,17.2,2
66,Jason Wright,CLE,25,rb,16,1,60,277,1,18,4.6,17.3,1
67,Fred Jackson,BUF,26,rb,8,1,58,300,0,27,5.2,37.5,0
68,Darius Walker,HOU,22,rb,4,2,58,264,1,41,4.6,66.0,0
69,Tarvaris Jackson,MIN,24,QB,12,12,54,260,3,32,4.8,21.7,5
70,Cadillac Williams,TAM,25,rb,4,4,54,208,3,20,3.9,52.0,2
71,Samkon Gado,2TM,25,,8,2,53,150,4,20,2.8,18.8,1
72,Pierre Thomas,NOR,23,rb,12,1,52,252,1,24,4.8,21.0,0
73,Donovan McNabb,PHI,31,QB,14,14,50,236,0,40,4.7,16.9,9
74,DeShawn Wynn,GNB,24,rb,7,4,50,203,4,44,4.1,29.0,0
75,David Garrard,JAX,29,QB,12,12,49,185,1,19,3.8,15.4,3
76,Priest Holmes,KAN,34,rb,4,2,46,137,0,11,3.0,34.3,0
77,Tatum Bell,DET,26,rb,5,5,44,182,1,24,4.1,36.4,1
78,Jay Cutler,DEN,24,QB,16,16,44,205,1,31,4.7,12.8,11
79,Andre Hall,DEN,25,rb,10,1,44,216,2,62,4.9,21.6,1
80,Greg Jones,JAX,26,FB,16,11,42,119,2,11,2.8,7.4,0
81,Matt Hasselbeck,SEA,32,QB,16,16,39,89,0,12,2.3,5.6,9
82,Antonio Pittman,STL,22,,11,0,38,139,0,43,3.7,12.6,0
83,Tom Brady,NWE,30,QB,16,16,37,98,2,19,2.6,6.1,6
84,Darren Sproles,SDG,24,,15,0,37,164,2,34,4.4,10.9,1
85,Jason Campbell,WAS,26,QB,13,13,36,185,1,29,5.1,14.2,13
86,Anthony Thomas,BUF,30,rb,10,2,36,89,0,9,2.5,8.9,0
87,Jeff Garcia,TAM,37,QB,13,13,35,116,1,21,3.3,8.9,4
88,Ben Roethlisberger,PIT,25,QB,15,15,35,204,2,30,5.8,13.6,9
89,Heath Evans,NWE,29,fb,16,1,34,121,3,11,3.6,7.6,0
90,Kyle Eckel,NWE,26,,12,0,33,90,2,14,2.7,7.5,0
91,Leonard Weaver,SEA,25,fb,16,4,33,146,1,37,4.4,9.1,0
92,Derek Anderson,CLE,24,QB,16,15,32,70,3,11,2.2,4.4,5
93,Chris Henry,TEN,22,,7,0,31,119,2,24,3.8,17.0,0
94,Cleo Lemon,MIA,28,qb,9,7,31,102,4,11,3.3,11.3,7
95,Tony Romo,DAL,27,QB,16,16,31,129,2,17,4.2,8.1,10
96,Garrett Wolfe,CHI,23,,13,0,31,85,0,25,2.7,6.5,1
97,Clifton Dawson,2TM,24,,13,0,30,64,1,12,2.1,4.9,0
98,Brett Favre,GNB,38,QB,16,16,29,12,0,21,0.4,0.8,9
99,Eli Manning,NYG,26,QB,16,16,29,69,1,18,2.4,4.3,13
100,Josh McCown,OAK,28,QB,9,9,29,143,0,24,4.9,15.9,11
101,Vernand Morency,GNB,27,,13,0,29,108,0,15,3.7,8.3,1
102,Philip Rivers,SDG,26,QB,16,16,29,33,1,10,1.1,2.1,11
103,Dwayne Wright,BUF,24,,15,0,29,94,0,15,3.2,6.3,1
104,Lorenzo Booker,MIA,23,rb,7,1,28,125,0,22,4.5,17.9,0
105,Kellen Clemens,NYJ,24,QB,10,8,27,111,1,18,4.1,11.1,4
106,J.J. Arrington.00,ARI,24,,16,0,26,78,0,12,3.0,4.9,0
107,Michael Robinson,SFO,24,rb,15,1,26,121,0,28,4.7,8.1,1
108,Mike Sellers,WAS,32,FB,14,12,26,78,2,15,3.0,5.6,1
109,Jon Kitna,DET,35,QB,16,16,25,63,0,11,2.5,3.9,17
110,Deuce McAllister,NOR,29,rb,3,3,24,92,0,15,3.8,30.7,1
111,Carson Palmer,CIN,28,QB,16,16,24,10,0,10,0.4,0.6,5
112,Ahmad Bradshaw,NYG,21,,12,0,23,190,1,88,8.3,15.8,2
113,Drew Brees,NOR,28,QB,16,16,23,52,1,9,2.3,3.3,9
114,Jerome Harrison,CLE,24,,8,0,23,142,0,17,6.2,17.8,0
115,De Dorsey,CIN,23,rb,12,2,21,183,0,45,8.7,15.3,0
116,Maurice Hicks,SFO,29,,16,0,21,117,1,18,5.6,7.3,3
117,Sage Rosenfels,HOU,29,qb,9,5,21,51,1,19,2.4,5.7,4
118,Daunte Culpepper,OAK,30,qb,7,6,20,40,3,9,2.0,5.7,9
119,Adimchinobe Echemandu,2TM,27,,9,0,20,85,0,20,4.3,9.4,1
120,J.P. Losman.00,BUF,26,qb,8,7,20,110,0,17,5.5,13.8,5
121,Peyton Manning,IND,31,QB,16,16,20,-5,3,4,-0.3,-0.3,6
122,Mewelde Moore,MIN,25,,12,0,20,113,0,17,5.7,9.4,1
123,Chad Pennington,NYJ,31,QB,9,8,20,32,1,5,1.6,3.6,5
124,Kyle Boller,BAL,26,QB,12,8,19,89,0,15,4.7,7.4,5
125,Quinn Gray,JAX,28,qb,8,4,19,57,0,15,3.0,7.1,2
126,Cecil Sapp,DEN,29,FB,16,8,18,59,2,12,3.3,3.7,0
127,David Carr,CAR,28,qb,6,4,17,59,0,15,3.5,9.8,1
128,Carey Davis,PIT,26,fb,16,7,17,68,0,12,4.0,4.3,0
129,Travis Minor,STL,28,,14,0,17,68,0,13,4.0,4.9,0
130,Matt Schaub,HOU,26,QB,11,11,17,52,0,12,3.1,4.7,7
131,Kurt Warner,ARI,36,QB,14,11,17,15,1,9,0.9,1.1,12
132,Mike Anderson,BAL,34,,8,0,15,62,0,16,4.1,7.8,2
133,Patrick Cobbs,MIA,24,,14,0,15,47,1,12,3.1,3.4,0
134,Marcel Shipp,ARI,29,,16,0,15,41,1,14,2.7,2.6,0
135,Lawrence Vickers,CLE,24,FB,16,14,15,43,0,7,2.9,2.7,0
136,Jackie Battle,KAN,24,,3,0,14,47,1,6,3.4,15.7,0
137,Trent Edwards,BUF,24,QB,10,9,14,49,0,14,3.5,4.9,4
138,Rex Grossman,CHI,27,qb,8,7,14,27,0,12,1.9,3.4,6
139,Joey Harrington,ATL,29,QB,12,10,14,33,0,13,2.4,2.8,0
140,Tyson Thompson,DAL,26,,8,0,14,54,0,23,3.9,6.8,1
141,Brian Griese,CHI,32,qb,7,6,13,28,0,9,2.2,4.0,6
142,Lorenzo Neal,SDG,37,FB,13,8,13,32,0,10,2.5,2.5,1
143,Alex Smith,SFO,23,qb,7,7,13,89,0,25,6.8,12.7,6
144,Jason Snelling,ATL,24,,7,0,13,43,1,17,3.3,6.1,0
145,LaBrandon Toefield,JAX,27,rb,2,1,13,27,1,7,2.1,13.5,0
146,Charlie Batch,PIT,33,qb,7,1,12,-7,0,0,-0.6,-1.0,0
147,Shaun Hill,SFO,27,qb,3,2,12,14,1,12,1.2,4.7,3
148,Brad Hoover,CAR,31,FB,16,12,12,39,0,10,3.3,2.4,0
149,Luke McCown,TAM,26,qb,5,3,12,117,0,31,9.8,23.4,3
150,Cory Ross,BAL,25,,6,0,12,72,1,32,6.0,12.0,2
151,Brad Smith,NYJ,24,WR,16,9,12,45,0,11,3.8,2.8,1
152,Troy Smith,BAL,23,qb,4,2,12,54,1,14,4.5,13.5,3
153,Aveion Cason,DET,28,,12,0,11,38,0,12,3.5,3.2,2
154,Mike Karney,NOR,26,FB,16,9,11,17,2,10,1.5,1.1,0
155,Matt Leinart,ARI,24,qb,5,5,11,42,0,20,3.8,8.4,0
156,Billy Volek,SDG,31,,5,0,11,-7,0,0,-0.6,-1.4,1
157,Trent Dilfer,SFO,35,qb,7,6,10,25,0,11,2.5,3.6,8
158,Tony Hunt,PHI,22,,8,0,10,16,1,4,1.6,2.0,0
159,Steve McNair,BAL,34,qb,6,6,10,32,0,13,3.2,5.3,8
160,John Beck,MIA,26,qb,5,4,9,12,1,8,1.3,2.4,7
161,Marc Bulger,STL,30,QB,12,12,9,13,0,14,1.4,1.1,6
162,Josh Cribbs,CLE,24,wr,16,2,9,61,0,18,6.8,3.8,5
163,Gilbert Harris,KAN,23,,4,0,9,9,0,4,1.0,2.3,1
164,Damon Huard,KAN,34,QB,11,10,9,-1,0,2,-0.1,-0.1,5
165,Steve Smith,CAR,28,WR,15,15,9,66,0,22,7.3,4.4,1
166,Vinny Testaverde,CAR,44,qb,7,6,9,22,0,16,2.4,3.1,3
167,Todd Collins,WAS,36,qb,4,3,8,1,0,4,0.1,0.3,4
168,Jameel Cook,HOU,28,,16,0,8,24,0,9,3.0,1.5,0
169,Le'Ron McClain,BAL,23,FB,16,11,8,18,0,4,2.3,1.1,1
170,Chris Redman,ATL,30,qb,7,4,8,16,0,7,2.0,2.3,2
171,Brian Calhoun,DET,23,,4,0,7,35,0,17,5.0,8.8,0
172,Brodie Croyle,KAN,24,qb,9,6,7,18,0,6,2.6,2.0,4
173,A.J. Feeley.00,PHI,30,qb,3,2,7,23,0,7,3.3,7.7,1
174,Bruce Gradkowski,TAM,24,,4,0,7,20,0,13,2.9,5.0,0
175,Trent Green,MIA,37,qb,5,5,7,32,0,23,4.6,6.4,2
176,Justin Griffith,OAK,27,FB,16,11,7,27,0,6,3.9,1.7,0
177,Devin Hester,CHI,25,,16,0,7,-10,0,5,-1.4,-0.6,7
178,Jeremi Johnson,CIN,27,FB,16,9,7,25,0,12,3.6,1.6,0
179,Moran Norris,SFO,29,fb,16,5,7,17,0,6,2.4,1.1,0
180,Tony Richardson,MIN,36,fb,14,3,7,13,0,4,1.9,0.9,0
181,Aaron Rodgers,GNB,24,,2,0,7,29,0,13,4.1,14.5,0
182,Gary Russell,PIT,21,,3,0,7,21,0,8,3.0,7.0,0
183,Mike Bell,DEN,24,,5,0,6,3,0,3,0.5,0.6,1
184,Jake Delhomme,CAR,32,qb,3,3,6,26,0,13,4.3,8.7,1
185,Gus Frerotte,STL,36,qb,8,3,6,3,0,2,0.5,0.4,3
186,Chad Johnson,CIN,29,WR,16,16,6,47,0,16,7.8,2.9,2
187,Byron Leftwich,ATL,27,qb,3,2,6,7,0,7,1.2,2.3,6
188,Jason McKie,CHI,27,FB,16,11,6,17,1,6,2.8,1.1,1
189,Ovie Mughelli,ATL,27,fb/te,16,7,6,7,1,3,1.2,0.4,0
190,Dennis Northcutt,JAX,30,WR,15,11,6,27,0,8,4.5,1.8,1
191,Jim Sorgi,IND,27,,4,0,6,-4,0,1,-0.7,-1.0,0
192,Naufahu Tahi,MIN,26,,10,0,6,15,0,6,2.5,1.5,0
193,Ricky Williams,MIA,30,,1,0,6,15,0,6,2.5,15.0,1
194,Brooks Bollinger,MIN,28,qb,5,1,5,18,0,10,3.6,3.6,1
195,Jon Bradley,DET,26,fb,15,6,5,9,0,3,1.8,0.6,1
196,Reggie Brown,PHI,26,WR,16,14,5,36,0,12,7.2,2.3,1
197,Michael Clayton,TAM,25,wr,14,4,5,22,0,20,4.4,1.6,1
198,Jerricho Cotchery,NYJ,25,WR,15,15,5,38,0,16,7.6,2.5,1
199,Matt Gutierrez,NWE,23,,5,0,5,-13,0,-1,-2.6,-2.6,0
200,Santonio Holmes,PIT,23,se/WR,13,13,5,17,0,11,3.4,1.3,2
201,T.J. Houshmandzadeh,CIN,30,WR,16,15,5,14,0,8,2.8,0.9,2
202,Brad Johnson,DAL,39,,16,0,5,-5,0,0,-1.0,-0.3,0
203,Luke Lawton,IND,27,,11,0,5,13,0,4,2.6,1.2,0
204,Brandon Marshall,DEN,23,WR,16,16,5,57,0,24,11.4,3.6,3
205,Craig Nall,GNB,28,,1,0,5,6,0,8,1.2,6.0,2
206,Kyle Orton,CHI,25,qb,3,3,5,-1,0,1,-0.2,-0.3,2
207,Artose Pinner,ATL,29,,7,0,5,46,0,49,9.2,6.6,0
208,JaMarcus Russell,OAK,22,qb,4,1,5,4,0,7,0.8,1.0,4
209,Thomas Tapeh,PHI,27,FB,16,8,5,18,0,11,3.6,1.1,0
210,Kevin Walter,HOU,26,WR,16,15,5,30,0,13,6.0,1.9,0
211,Arnaz Battle,SFO,27,WR,16,15,4,4,1,8,1.0,0.3,3
212,Matt Cassel,NWE,25,,6,0,4,12,1,15,3.0,2.0,1
213,Ted Ginn,MIA,22,WR,16,9,4,3,0,7,0.8,0.2,3
214,Calvin Johnson,DET,22,WR,15,10,4,52,1,32,13.0,3.5,1
215,Reagan Maui'a,MIA,23,,16,9,4,5,0,3,1.3,0.3,1
216,Shaun McDonald,DET,26,wr,16,7,4,2,0,9,0.5,0.1,3
217,Brian Moorman,BUF,31,P,16,0,4,14,0,10,3.5,0.9,1
218,J.T. O'Sullivan.00,DET,28,,4,0,4,-10,0,2,-2.5,-2.5,3
219,Andrew Pinnock,SDG,27,fb,10,3,4,1,0,5,0.3,0.1,0
220,Antwaan Randle El,WAS,28,WR,15,13,4,-3,0,1,-0.8,-0.2,3
221,Josh Reed,BUF,27,WR,15,9,4,10,0,12,2.5,0.7,0
222,Mack Strong,SEA,36,fb,5,2,4,19,0,9,4.8,3.8,0
223,Seneca Wallace,SEA,27,,10,0,4,17,0,11,4.3,1.7,1
224,Wes Welker,NWE,26,WR,16,13,4,34,0,27,8.5,2.1,3
225,Brock Berlin,STL,26,qb,1,1,3,-16,0,0,-5.3,-16.0,2
226,Chris Chambers,2TM,29,,16,12,3,12,0,9,4.0,0.8,1
227,Kerry Collins,TEN,35,qb,6,1,3,-3,0,-1,-1.0,-0.5,1
228,Craig Davis,SDG,22,wr,13,1,3,9,0,6,3.0,0.7,1
229,Dante Hall,STL,29,wr,7,1,3,18,0,9,6.0,2.6,2
230,Alex Haynes,CAR,25,,10,0,3,3,0,3,1.0,0.3,0
231,Jacoby Jones,HOU,23,wr,14,3,3,-1,0,4,-0.3,-0.1,2
232,Kevin Kolb,PHI,23,,1,0,3,-2,0,0,-0.7,-2.0,1
233,Jamie Martin,NOR,37,,3,0,3,-3,0,-1,-1.0,-1.0,0
234,Matt Moore,CAR,23,qb,9,3,3,5,0,5,1.7,0.6,2
235,Santana Moss,WAS,28,WR,14,14,3,13,0,11,4.3,0.9,2
236,Roscoe Parrish,BUF,25,wr,16,3,3,19,1,24,6.3,1.2,1
237,Hines Ward,PIT,31,fl/WR,13,13,3,11,0,7,3.7,0.8,0
238,Kris Wilson,KAN,26,FB,16,12,3,7,0,5,2.3,0.4,2
239,Aundrae Allison,MIN,21,,11,0,2,3,0,3,1.5,0.3,2
240,Marty Booker,MIA,31,WR,15,15,2,12,0,12,6.0,0.8,1
241,Steve Breaston,ARI,24,,16,0,2,8,0,10,4.0,0.5,0
242,Isaac Bruce,STL,35,WR,14,12,2,-4,0,-1,-2.0,-0.3,0
243,Nate Burleson,SEA,26,WR,16,12,2,4,0,3,2.0,0.3,3
244,Rock Cartwright,WAS,28,,15,0,2,0,0,1,0.0,0.0,0
245,Dallas Clark,IND,28,TE,15,15,2,29,0,15,14.5,1.9,0
246,Kenneth Darby,TAM,25,,1,0,2,9,0,7,4.5,9.0,0
247,Chris Davis,TEN,23,,12,0,2,19,0,14,9.5,1.6,6
248,Donald Driver,GNB,32,WR,15,14,2,4,0,5,2.0,0.3,1
249,Jeff Dugan,MIN,26,te,16,3,2,7,0,4,3.5,0.4,1
250,Tim Dwight,OAK,32,wr,6,1,2,12,0,10,6.0,2.0,2
251,Marques Hagans,STL,25,wr,4,1,2,-4,0,-2,-2.0,-1.0,2
252,Devery Henderson,NOR,25,WR,16,9,2,20,0,15,10.0,1.3,0
253,Johnnie Lee Higgins,OAK,24,wr,16,2,2,3,0,8,1.5,0.2,4
254,Glenn Holt,CIN,23,,16,0,2,2,0,1,1.0,0.1,3
255,Brandon Jones,TEN,25,wr,9,2,2,37,0,19,18.5,4.1,1
256,Zak Keasey,SFO,25,,13,0,2,4,0,3,2.0,0.3,0
257,Vonta Leach,HOU,26,FB,16,12,2,2,1,1,1.0,0.1,2
258,Lance Moore,NOR,24,wr,16,4,2,7,1,7,3.5,0.4,2
259,David Patten,NOR,33,wr,16,5,2,-5,0,1,-2.5,-0.3,2
260,Adam Podlesh,JAX,24,P,16,0,2,-2,0,0,-1.0,-0.1,1
261,Patrick Ramsey,DEN,28,,2,0,2,6,0,4,3.0,3.0,2
262,Tim Rattay,ARI,30,,4,0,2,5,0,5,2.5,1.3,2
263,Jon Ryan,GNB,26,P,16,0,2,7,0,7,3.5,0.4,1
264,Javon Walker,DEN,29,wr,8,5,2,-3,0,-1,-1.5,-0.4,0
265,Roy Williams,DET,26,WR,12,12,2,1,0,9,0.5,0.1,2
266,Roydell Williams,TEN,26,WR,16,14,2,-17,0,-6,-8.5,-1.1,0
267,Troy Williamson,MIN,24,WR,11,8,2,29,0,26,14.5,2.6,0
268,Cedrick Wilson,PIT,29,se,16,1,2,37,0,37,18.5,2.3,0
269,Dave Zastudil,CLE,29,P,12,0,2,-3,0,0,-1.5,-0.3,1
270,Jason Avant,PHI,24,fb/wr,15,5,1,1,0,1,1.0,0.1,0
271,Chris Barclay,2TM,24,,5,0,1,3,0,3,3.0,0.6,0
272,Jacob Bell,TEN,26,LG,16,16,1,-15,0,-15,-15.0,-0.9,1
273,Mitch Berger,ARI,35,p,5,0,1,0,0,0,0.0,0.0,1
274,Anquan Boldin,ARI,27,WR,12,11,1,14,0,14,14.0,1.2,2
275,Antonio Chatman,CIN,28,wr,13,1,1,5,0,5,5.0,0.4,0
276,Zack Crockett,TAM,35,,1,0,1,0,0,0,0.0,0.0,0
277,Ronald Curry,OAK,28,WR,16,13,1,1,0,1,1.0,0.1,0
278,Chris Davis,NYJ,24,,2,0,1,3,0,3,3.0,1.5,0
279,Eddie Drummond,KAN,27,,12,0,1,-3,0,-3,-3.0,-0.3,2
280,Yamon Figurs,BAL,24,,14,0,1,-1,0,-1,-1.0,-0.1,4
281,Derrick Frost,WAS,27,P,16,0,1,0,0,0,0.0,0.0,1
282,Charlie Frye,CLE,26,qb,1,1,1,1,0,1,1.0,1.0,0
283,Joey Galloway,TAM,36,WR,15,15,1,1,0,1,1.0,0.1,0
284,Bryan Gilmore,SFO,29,,10,0,1,-8,0,-8,-8.0,-0.8,0
285,Skyler Green,CIN,23,,7,0,1,1,0,1,1.0,0.1,0
286,Ahmard Hall,TEN,28,fb,11,4,1,8,0,8,8.0,0.7,0
287,Tim Hasselbeck,ARI,29,,1,0,1,-1,0,-1,-1.0,-1.0,0
288,Craig Hentrich,TEN,36,P,15,0,1,-8,0,-8,-8.0,-0.5,0
289,Ike Hilliard,TAM,31,WR,15,10,1,6,0,6,6.0,0.4,3
290,Domenik Hixon,2TM,23,,16,1,1,-8,0,0,-8.0,-0.5,1
291,Taylor Jacobs,2TM,26,,10,0,1,-8,0,0,-8.0,-0.8,0
292,Dwayne Jarrett,CAR,21,,7,0,1,11,0,11,11.0,1.6,0
293,Eddie Kennison,KAN,34,WR,8,8,1,5,0,5,5.0,0.6,1
294,Michael Koenen,ATL,25,P,16,0,1,0,0,0,0.0,0.0,1
295,Dan Kreider,PIT,30,fb,10,4,1,2,0,2,2.0,0.2,0
296,Shane Lechler,OAK,31,P,16,0,1,-4,0,-4,-4.0,-0.3,0
297,Jared Lorenzen,NYG,26,,2,0,1,2,0,2,2.0,1.0,0
298,Jon McGraw,KAN,28,,13,0,1,4,0,4,4.0,0.3,0
299,Sean Morey,ARI,31,,15,0,1,13,0,13,13.0,0.9,0
300,Sinorice Moss,NYG,24,wr,13,2,1,4,0,4,4.0,0.3,1
301,Terrell Owens,DAL,34,WR,15,15,1,5,0,5,5.0,0.3,0
302,Samie Parker,KAN,26,wr,15,7,1,2,0,2,2.0,0.1,1
303,Tab Perry,CIN,25,wr,2,1,1,9,0,9,9.0,4.5,1
304,Ryan Plackemeier,SEA,23,P,16,0,1,0,0,0,0.0,0.0,0
305,Koren Robinson,GNB,27,wr,9,1,1,5,0,5,5.0,0.6,0
306,Jeremy Shockey,NYG,27,TE,14,14,1,6,0,6,6.0,0.4,0
307,Terrelle Smith,ARI,29,FB,16,10,1,3,0,3,3.0,0.2,0
308,Donte' Stallworth,NWE,27,WR,16,9,1,12,0,12,12.0,0.8,0
309,Derek Stanley,STL,22,,3,0,1,5,0,5,5.0,1.7,1
310,Brandon Stokley,DEN,31,WR,13,9,1,-6,0,-6,-6.0,-0.5,0
311,Ben Troupe,TEN,25,te,16,2,1,-1,0,-1,-1.0,-0.1,0
312,Matt Turk,HOU,39,P,16,0,1,0,0,0,0.0,0.0,0
313,Bobby Wade,MIN,26,WR,16,12,1,-9,0,-9,-9.0,-0.6,3
314,Nate Washington,PIT,24,fl/wr,16,4,1,0,0,0,0.0,0.0,0
315,Ben Watson,NWE,27,TE,12,8,1,11,0,11,11.0,0.9,1
316,Reggie Wayne,IND,29,WR,16,16,1,4,0,4,4.0,0.3,3
317,Steve Weatherford,NOR,25,P,16,0,1,5,0,5,5.0,0.3,0
318,Jeff Webb,KAN,25,wr,16,2,1,5,0,5,5.0,0.3,2
319,Roddy White,ATL,26,WR,16,15,1,-2,0,-2,-2.0,-0.1,3
320,Reggie Williams,JAX,24,wr,15,6,1,8,0,8,8.0,0.5,3
321,Travis Williams,ATL,24,,6,0,1,37,0,37,37.0,6.2,0
322,Anthony Wright,NYG,31,,3,0,1,-1,0,-1,-1.0,-0.3,0
