,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Clinton Portis,WAS,26,RB,16,16,325,1262,11,32,3.9,78.9,6
2,Edgerrin James,ARI,29,RB,16,16,324,1222,7,27,3.8,76.4,5
3,Willie Parker,PIT,27,RB,15,15,321,1316,2,32,4.1,87.7,4
4,LaDainian Tomlinson,SDG,28,RB,16,16,315,1474,15,49,4.7,92.1,0
5,Thomas Jones,NYJ,29,RB,16,14,310,1119,1,36,3.6,69.9,2
6,LenDale White,TEN,23,RB,16,16,303,1110,7,28,3.7,69.4,5
7,Jamal Lewis,CLE,28,RB,15,15,298,1304,9,66,4.4,86.9,4
8,Willis McGahee,BAL,26,RB,15,15,294,1207,7,46,4.1,80.5,4
9,Marshawn Lynch,BUF,21,RB,13,13,280,1115,7,56,4.0,85.8,2
10,Brian Westbrook,PHI,28,RB,15,15,278,1333,7,36,4.8,88.9,2
11,Joseph Addai,IND,24,RB,15,15,261,1072,12,23,4.1,71.5,0
12,Frank Gore,SFO,24,RB,15,15,260,1102,5,43,4.2,73.5,4
13,DeShaun Foster,CAR,27,RB,16,16,247,876,3,20,3.5,54.8,7
14,Adrian Peterson,MIN,22,RB,14,9,238,1341,12,73,5.6,95.8,4
15,Steven Jackson,STL,24,RB,12,12,237,1002,5,54,4.2,83.5,5
16,Warrick Dunn,ATL,32,RB,16,15,227,720,4,38,3.2,45.0,2
17,Fred Taylor,JAX,31,RB,15,15,223,1202,5,80,5.4,80.1,2
18,Justin Fargas,OAK,27,rb,14,7,222,1009,4,48,4.5,72.1,3
19,Earnest Graham,TAM,27,fb/RB,15,10,222,898,10,28,4.0,59.9,1
20,Shaun Alexander,SEA,30,RB,13,10,207,716,4,25,3.5,55.1,2
21,Marion Barber,DAL,24,,16,0,204,975,10,54,4.8,60.9,3
22,Brandon Jacobs,NYG,25,RB,11,9,202,1009,4,43,5.0,91.7,5
23,Cedric Benson,CHI,25,RB,11,11,196,674,4,43,3.4,61.3,3
24,Ron Dayne,HOU,29,RB,13,8,194,773,6,39,4.0,59.5,1
25,Ryan Grant,GNB,25,rb,15,7,188,956,8,66,5.1,63.7,1
26,Laurence Maroney,NWE,22,rb,13,6,185,835,6,59,4.5,64.2,0
27,Kenny Watson,CIN,29,rb,16,5,178,763,7,24,4.3,47.7,3
28,Rudi Johnson,CIN,28,RB,11,9,170,497,3,22,2.9,45.2,3
29,Travis Henry,DEN,29,rb,12,7,167,691,4,33,4.1,57.6,3
30,Maurice Jones-Drew,JAX,22,,15,0,167,768,9,57,4.6,51.2,2
31,Julius Jones,DAL,26,RB,16,16,164,588,2,25,3.6,36.8,0
32,Larry Johnson,KAN,28,RB,8,8,158,559,3,54,3.5,69.9,1
33,Reggie Bush,NOR,22,RB/wr,12,10,157,581,4,22,3.7,48.4,8
34,Chester Taylor,MIN,28,RB,14,8,157,844,7,84,5.4,60.3,5
35,Kevin Jones,DET,25,RB,13,10,153,581,8,34,3.8,44.7,2
36,Adrian Peterson,CHI,28,rb,16,5,151,510,3,21,3.4,31.9,3
37,LaMont Jordan,OAK,29,rb,12,7,144,549,3,33,3.8,45.8,0
38,DeAngelo Williams,CAR,24,,16,0,144,717,4,75,5.0,44.8,1
39,Maurice Morris,SEA,28,rb,14,6,140,628,4,46,4.5,44.9,1
40,Selvin Young,DEN,24,RB,15,8,140,729,1,50,5.2,48.6,2
41,Jesse Chatman,MIA,28,rb,14,6,128,515,1,30,4.0,36.8,1
42,Derrick Ward,NYG,27,rb,8,5,125,602,3,44,4.8,75.3,2
43,Kenton Keith,IND,27,rb,16,1,121,533,3,22,4.4,33.3,1
44,Ronnie Brown,MIA,26,rb,7,7,119,602,4,60,5.1,86.0,0
45,Aaron Stecker,NOR,32,fb/rb,16,6,115,448,5,26,3.9,28.0,1
46,Kolby Smith,KAN,23,,16,6,112,407,2,19,3.6,25.4,0
47,Najeh Davenport,PIT,28,rb,15,1,107,499,5,45,4.7,33.3,1
48,Jerious Norwood,ATL,24,rb,15,2,103,613,1,67,6.0,40.9,0
49,Chris Brown,TEN,26,rb,12,1,102,462,5,42,4.5,38.5,1
50,Ladell Betts,WAS,28,,16,0,93,335,1,20,3.6,20.9,1
51,Vince Young,TEN,24,QB,15,15,93,395,3,21,4.2,26.3,10
52,Brian Leonard,STL,23,fb/rb,16,7,86,303,0,31,3.5,18.9,0
53,Reuben Droughns,NYG,29,rb,16,1,85,275,6,45,3.2,17.2,1
54,Sammy Morris,NWE,30,rb,6,2,85,384,3,49,4.5,64.0,0
55,Brandon Jackson,GNB,22,rb,11,3,75,267,1,46,3.6,24.3,0
56,Dominic Rhodes,OAK,28,rb,10,2,75,302,1,25,4.0,30.2,2
57,Musa Smith,BAL,25,rb,16,1,75,264,2,24,3.5,16.5,1
