Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991
Adewale Ogunleye;;;;;;;;800.000;6.466.668;6.366.666;5.566.666;5.666.666;7.680.971;2.121.666;451.250;376.250;299.250;194.250;;;;;;;;;
Adewale Ojomo;;;;;;390.500;;;;;;;;;;;;;;;;;;;;;
Adimchinobi Echemandu;;;;;;;;;;;;425.000;305.000;149.000;;;;;;;;;;;;;
Adolphus Washington;758.574;638.574;;;;;;;;;;;;;;;;;;;;;;;;;
Adoree' Jackson;2.051.415;;;;;;;;;;;;;;;;;;;;;;;;;;
Adrian Amos;673.070;583.070;493.070;;;;;;;;;;;;;;;;;;;;;;;;
Adrian Arrington;;;;;;;;581.250;496.250;311.250;;;;;;;;;;;;;;;;;
Adrian Clayborn;5.406.250;3.000.000;2.062.500;2.612.325;2.239.136;1.865.947;1.492.758;;;;;;;;;;;;;;;;;;;;
Adrian Colbert;486.196;;;;;;;;;;;;;;;;;;;;;;;;;;
Adrian Davis;;;;306.334;291.333;393.333;;;;;;;;;;;;;;;;;;;;;
Adrian Hamilton;;;;;303.000;390.000;;;;;;;;;;;;;;;;;;;;;
Adrian McPherson;;;;;;;;;;;;;271.918;;;;;;;;;;;;;;
Adrian Moten;;;;;;465.000;;;;;;;;;;;;;;;;;;;;;
Adrian Peterson;705.882;12.000.000;15.400.000;14.400.000;13.900.000;12.705.000;12.955.000;5.695.000;2.810.000;2.425.000;4.490.000;;;;;;;;;;;;;;;;
Adrian Phillips;690.000;600.000;90.000;;;;;;;;;;;;;;;;;;;;;;;;
Adrian Robinson;;;;;480.000;391.667;;;;;;;;;;;;;;;;;;;;;
Adrian Tracy;;;;;;540.000;;;;;;;;;;;;;;;;;;;;;
Adrian Wilson;;;;;1.333.333;2.925.000;7.550.000;7.550.000;6.300.000;5.650.000;4.900.000;4.150.000;3.400.000;2.900.000;569.000;480.000;389.000;;;;;;;;;;
Adrien Clarke;;;;;;;;;;;360.000;;315.625;240.625;;;;;;;;;;;;;
Adrien Robinson;;;;666.413;576.413;486.413;;;;;;;;;;;;;;;;;;;;;
Aeneas Williams;;;;;;;;;;;;;;3.500.000;3.700.000;3.300.000;3.200.000;3.400.000;;3.400.000;;3.400.000;1.800.000;1.200.000;976.668;;866.666
Ahkello Witherspoon;708.393;;;;;;;;;;;;;;;;;;;;;;;;;;
Ahmad Black;;;;;;465.000;;;;;;;;;;;;;;;;;;;;;
Ahmad Bradshaw;;;378.529;486.353;1.918.750;4.500.000;2.750.000;1.010.181;469.181;379.181;294.181;;;;;;;;;;;;;;;;
Ahmad Brooks;3.500.000;8.005.000;7.055.000;4.503.750;5.050.000;2.850.000;2.425.000;1.825.000;535.000;445.000;520.187;435.187;;;;;;;;;;;;;;;
Ahmad Carroll;;;;;;;;;460.000;520.000;;425.000;1.105.000;975.000;;;;;;;;;;;;;
Ahmad Dixon;;;;49.411;;;;;;;;;;;;;;;;;;;;;;;
Ahman Green;;;;;;;;;845.001;4.650.000;4.250.000;2.350.000;5.625.000;4.882.000;4.050.000;2.400.000;1.418.000;358.000;;285.000;;;;;;;
Ahmard Hall;;;;;;;1.000.000;;;;;;;;;;;;;;;;;;;;
Ahmed Plummer;;;;;;;;;;;;;3.857.857;1.927.857;1.162.857;1.052.857;942.857;832.857;;;;;;;;;
Ahtyba Rubin;397.941;3.000.000;2.600.000;8.175.000;7.575.000;9.375.000;1.998.100;493.100;408.100;318.100;;;;;;;;;;;;;;;;;
Airese Currie;;;;;;;;;;;;321.400;181.400;;;;;;;;;;;;;;
Akeem Ayers;319.117;2.600.000;2.921.875;615.762;1.343.595;1.119.663;895.731;;;;;;;;;;;;;;;;;;;;
Akeem Davis;;61.764;90.000;247.058;;;;;;;;;;;;;;;;;;;;;;;
Akeem Dent;;2.625.000;1.709.375;725.000;760.725;635.725;510.725;;;;;;;;;;;;;;;;;;;;
Akeem Hunt;578.823;247.056;179.117;;;;;;;;;;;;;;;;;;;;;;;;
Akeem Jordan;;;;;575.000;540.000;575.000;1.684.000;461.166;1.471.166;2.786.166;;;;;;;;;;;;;;;;
Akeem Judd;82.059;;;;;;;;;;;;;;;;;;;;;;;;;;
Akeem King;;525.000;230.294;;;;;;;;;;;;;;;;;;;;;;;;
Akeem Spence;2.250.000;1.792.071;671.659;616.071;526.071;;;;;;;;;;;;;;;;;;;;;;
Akiem Hicks;10.700.000;4.500.000;1.259.588;718.225;628.225;525.725;;;;;;;;;;;;;;;;;;;;;
Akwasi Owusu-Ansah;;;;;32.647;;;432.630;;;;;;;;;;;;;;;;;;;
Al Afalava;;;;;;565.000;460.000;395.000;335.150;;;;;;;;;;;;;;;;;;
Al Louis-Jean;;;;296.470;;;;;;;;;;;;;;;;;;;;;;;
Al Woods;2.000.000;2.468.750;2.600.000;1.400.000;630.000;540.000;450.000;320.000;;;;;;;;;;;;;;;;;;;
Alameda Ta'amu;;;;570.000;480.000;452.516;;;;;;;;;;;;;;;;;;;;;
Alan Ball;;;3.000.000;1.305.000;765.000;700.000;1.200.000;545.000;;;72.646;;;;;;;;;;;;;;;;
Alan Bonner;;;;327.250;312.250;;;;;;;;;;;;;;;;;;;;;;
Alan Branch;4.625.000;2.750.000;2.150.000;301.765;3.775.000;4.550.000;3.050.000;1.800.000;960.000;870.000;785.000;;;;;;;;;;;;;;;;
Alan Cross;158.825;397.050;;;;;;;;;;;;;;;;;;;;;;;;;
Alan Faneca;;;;;;;;2.500.000;7.845.000;5.420.000;5.972.750;5.797.750;5.497.750;4.372.750;2.384.000;1.855.000;1.495.000;1.200.000;;810.000;;;;;;;
Alan Zemaitis;;;;;;;;;;;;377.500;;;;;;;;;;;;;;;
Alani Fua;;384.900;440.666;;;;;;;;;;;;;;;;;;;;;;;;
Albert Haynesworth;;;;;;;1.500.000;7.952.941;4.600.000;7.250.003;6.530.002;1.622.919;1.576.668;1.476.668;1.402.084;1.245.001;;;;;;;;;;;
Albert McClellan;1.200.000;1.100.000;1.200.000;1.000.000;555.000;465.000;375.000;;;;;;;;;;;;;;;;;;;;
Albert Wilson;1.797.000;603.334;513.333;423.333;;;;;;;;;;;;;;;;;;;;;;;
Aldon Smith;;4.000.000;3.000.000;3.339.781;3.922.909;3.269.091;2.615.273;;;;;;;;;;;;;;;;;;;;
Aldrick Robinson;1.800.000;675.000;;;480.000;390.000;375.000;;;;;;;;;;;;;;;;;;;;
Aldrick Rosas;465.000;;;;;;;;;;;;;;;;;;;;;;;;;;
Alec Lemon;;;;;289.000;;;;;;;;;;;;;;;;;;;;;;
Alec Ogletree;5.719.000;2.236.829;1.917.282;1.597.735;1.278.188;;;;;;;;;;;;;;;;;;;;;;
Alejandro Villanueva;3.125.000;525.000;435.000;;;;;;;;;;;;;;;;;;;;;;;;
Alex Albright;;;;;;465.500;375.500;;;;;;;;;;;;;;;;;;;;
Alex Anzalone;591.677;;;;;;;;;;;;;;;;;;;;;;;;;;
Alex Armah;410.294;;;;;;;;;;;;;;;;;;;;;;;;;;
Alex Balducci;;79.410;;;;;;;;;;;;;;;;;;;;;;;;;
Alex Barron;;;;;;;228.000;2.730.750;3.710.000;2.152.500;1.845.000;1.577.500;1.580.000;;;;;;;;;;;;;;
Alex Bayer;;;;423.333;;;;;;;;;;;;;;;;;;;;;;;
Alex Boone;1.937.500;6.700.000;3.723.000;2.990.000;1.940.000;930.000;790.000;320.000;;;;;;;;;;;;;;;;;;;
Alex Carrington;;;665.000;1.500.000;846.000;756.000;621.000;536.000;;;;;;;;;;;;;;;;;;;
Alex Carter;;52.941;552.127;;;;;;;;;;;;;;;;;;;;;;;;
Alex Collins;508.235;496.096;;;;;;;;;;;;;;;;;;;;;;;;;
Alex Debniak;;;;;289.666;;;;;;;;;;;;;;;;;;;;;;
Alex Ellis;;158.820;;;;;;;;;;;;;;;;;;;;;;;;;
Alex Erickson;543.000;450.000;;;;;;;;;;;;;;;;;;;;;;;;;
Alex Hall;;;;;;;;555.000;470.000;396.716;306.716;;;;;;;;;;;;;;;;
Alex Henery;;;;;660.027;570.027;480.027;;;;;;;;;;;;;;;;;;;;
Alex Kupper;;;;;119.117;;;;;;;;;;;;;;;;;;;;;;
Alex Lewis;485.974;572.974;;;;;;;;;;;;;;;;;;;;;;;;;
Alex Mack;8.300.000;4.050.000;8.000.000;10.000.000;5.032.000;3.203.000;1.974.000;2.875.000;1.316.000;;;;;;;;;;;;;;;;;;
Alex McCalister;;350.841;;;;;;;;;;;;;;;;;;;;;;;;;
Alex Okafor;2.000.000;1.789.607;703.607;613.607;406.607;;;;;;;;;;;;;;;;;;;;;;
Alex Parsons;;;;;;390.000;;;;;;;;;;;;;;;;;;;;;
Alex Redmond;465.000;;;;;;;;;;;;;;;;;;;;;;;;;;
Alex Smith;16.900.000;17.800.000;15.600.000;4.600.000;8.500.000;850.000;685.000;630.000;7.526.666;4.160.000;3.535.000;6.910.000;2.700.000;;;;;;;;;;;;;;
Alex Stepanovich;;;;;;;;;;825.000;610.000;540.833;420.833;345.833;;;;;;;;;;;;;
Alex Tanney;363.000;30.882;51.176;;119.117;390.000;;;;;;;;;;;;;;;;;;;;;
Alex Van Pelt;;;;;;;;;;;;;;600.000;250.000;250.000;477.000;440.000;;;;;;;;;
Alexander Green;;;;;555.000;601.250;503.750;;;;;;;;;;;;;;;;;;;;
Alfonso Marshall;;;;;;;;;;;;;150.000;135.000;;;;;;;;;;;;;
Alfonso Smith;;;;265.588;555.000;465.000;380.000;;;;;;;;;;;;;;;;;;;;
Alfonzo Dennard;;;;584.462;494.462;404.462;;;;;;;;;;;;;;;;;;;;;
Alfred Blue;719.483;629.483;539.483;449.483;;;;;;;;;;;;;;;;;;;;;;;
Alfred Fincher;;;;;;;;;;520.000;609.000;524.000;404.000;;;;;;;;;;;;;;
Alfred Morris;2.137.500;1.300.000;1.572.775;600.775;510.775;420.775;;;;;;;;;;;;;;;;;;;;;
Al-Hajj Shabazz;;52.940;;;;;;;;;;;;;;;;;;;;;;;;;
Ali Marpet;1.029.160;857.633;686.106;;;;;;;;;;;;;;;;;;;;;;;;
Allen Bailey;6.156.250;5.212.500;3.231.250;2.808.986;718.986;603.986;513.986;;;;;;;;;;;;;;;;;;;;
Allen Barbre;2.350.000;1.950.000;1.450.000;885.000;720.000;700.000;640.000;238.412;569.000;479.000;394.000;;;;;;;;;;;;;;;;
Allen Bradford;;;;;480.000;465.000;375.000;;;;;;;;;;;;;;;;;;;;
Allen Hurns;7.000.000;9.001.668;511.666;421.666;;;;;;;;;;;;;;;;;;;;;;;
Allen Patrick;;;;;;;;;;605.667;;;;;;;;;;;;;;;;;
Allen Reisner;;;333.000;;555.000;300.882;201.029;;;;;;;;;;;;;;;;;;;;
Allen Robinson;1.117.095;957.510;797.925;638.340;;;;;;;;;;;;;;;;;;;;;;;
Alphonso Hodge;;;;;;;;;;;435.000;350.000;230.000;;;;;;;;;;;;;;
Alphonso Smith;;;;;;384.375;530.000;395.000;847.500;;;;;;;;;;;;;;;;;;
Al-Quadin Muhammad;502.616;;;;;;;;;;;;;;;;;;;;;;;;;;
Alshon Jeffery;10.750.000;11.163.940;1.447.036;1.240.317;1.033.598;826.879;;;;;;;;;;;;;;;;;;;;;
Alterraun Verner;695.000;6.750.000;4.250.000;8.250.000;1.454.785;671.785;581.785;451.785;;;;;;;;;;;;;;;;;;;
Alvin Bailey;;1.215.685;587.000;497.000;407.000;;;;;;;;;;;;;;;;;;;;;;
Alvin Bowen;;;;;;;600.250;515.250;355.250;340.250;;;;;;;;;;;;;;;;;
Alvin Harper;;;;;;;;;;;;;;;;;;;;2.550.000;;2.850.000;2.500.000;868.000;746.668;;696.666
Alvin Kamara;708.193;;;;;;;;;;;;;;;;;;;;;;;;;;
Alvin Pearman;;;;;;;;;620.000;520.000;435.000;451.166;331.166;;;;;;;;;;;;;;
Alvin Scioneaux;;;;304.000;;;;;;;;;;;;;;;;;;;;;;;
Amara Darboh;641.572;;;;;;;;;;;;;;;;;;;;;;;;;;
Amari Cooper;6.180.850;5.150.708;4.120.566;;;;;;;;;;;;;;;;;;;;;;;;
Amari Spievey;;;;;;722.333;682.333;552.333;;;;;;;;;;;;;;;;;;;
Amarlo Herrera;;;25.588;;;;;;;;;;;;;;;;;;;;;;;;
Ameer Abdullah;1.133.489;944.574;755.659;;;;;;;;;;;;;;;;;;;;;;;;
Amini Silatolu;695.000;;1.570.897;1.346.483;1.122.069;897.655;;;;;;;;;;;;;;;;;;;;;
Amobi Okoye;;;;;;700.000;1.382.500;2.432.500;2.297.500;2.037.500;1.630.000;;;;;;;;;;;;;;;;
Anderson Russell;;;;;;390.000;;;;;;;;;;;;;;;;;;;;;
Andra Davis;;;;;;;2.400.000;2.000.000;1.470.000;4.225.000;2.500.000;5.405.000;2.130.000;421.000;341.000;261.000;;;;;;;;;;;
Andre Branch;5.000.000;2.703.125;1.619.525;1.388.164;1.156.803;925.442;;;;;;;;;;;;;;;;;;;;;
Andre Brown;;;;;2.023.000;355.588;450.000;320.000;417.500;;;;;;;;;;;;;;;;;;
Andre Caldwell;;;1.550.000;1.150.000;1.000.000;800.000;750.250;620.250;535.250;445.250;;;;;;;;;;;;;;;;;
Andre Carter;;;;;326.470;444.706;;4.638.332;4.198.332;2.828.332;2.261.666;1.585.000;9.009.166;5.964.166;4.820.833;1.783.333;2.533.333;;;;;;;;;;
Andre Debose;;;337.253;;;;;;;;;;;;;;;;;;;;;;;;
Andre Ellington;273.529;1.696.966;610.966;520.966;430.966;;;;;;;;;;;;;;;;;;;;;;
Andre Fluellen;;;;268.235;457.059;123.530;1.200.000;640.416;555.416;465.416;;;;;;;;;;;;;;;;;
Andre' Goodman;;;;;;;3.480.000;4.680.000;4.680.000;1.333.333;1.333.333;1.333.333;790.538;514.538;434.538;359.538;;;;;;;;;;;
Andre Gurode;;;;;595.622;;3.000.000;4.666.667;4.066.667;3.666.667;2.266.667;1.500.000;726.803;658.678;590.553;522.428;;;;;;;;;;;
Andre Hal;5.564.281;617.281;527.281;437.281;;;;;;;;;;;;;;;;;;;;;;;
Andre Holmes;1.400.000;2.000.000;1.542.000;645.000;424.412;319.688;375.000;;;;;;;;;;;;;;;;;;;;
Andre Johnson;;;7.500.000;15.644.583;11.811.251;7.494.668;6.494.668;10.877.168;9.787.379;8.937.379;4.179.046;9.787.204;3.342.204;2.682.204;2.285.714;;;;;;;;;;;;
Andre Maddox;;;;;;;;;;;;;269.500;;;;;;;;;;;;;;
Andre Neblett;;;;;;490.000;405.000;320.000;;;;;;;;;;;;;;;;;;;
Andre Reed;;;;;;;;;;;;;;;;80.000;80.000;1.325.000;;2.200.000;;525.000;1.351.668;1.351.666;1.846.666;;651.666
Andre Rison;;;;;;;;;;;;;;;;;1.785.000;595.000;;1.350.000;;2.000.000;1.578.000;1.297.589;1.859.000;;350.000
Andre Roberts;1.800.000;600.000;3.750.000;2.250.000;1.504.050;721.050;635.050;501.050;;;;;;;;;;;;;;;;;;;
Andre Smith;3.062.500;3.468.750;6.362.500;5.200.000;5.000.000;6.508.000;8.686.750;2.591.750;2.375.000;;;;;;;;;;;;;;;;;;
Andre Wadsworth;;;;;;;;;;;;;;;;;5.245.500;2.106.500;;1.892.500;;;;;;;
Andre Ware;;;;;;;;;;;;;;;;;;;;;;;;;1.525.000;;1.162.500
Andre Williams;527.644;35.294;623.400;533.400;;;;;;;;;;;;;;;;;;;;;;;
Andre Woodson;;;;;;;;;;88.400;;;;;;;;;;;;;;;;;
Andre Woolfolk;;;;;;;;;;;;1.491.900;1.391.300;1.289.250;685.400;;;;;;;;;;;;
Andrew Adam;540.000;397.050;;;;;;;;;;;;;;;;;;;;;;;;;
Andrew Billings;598.961;466.961;;;;;;;;;;;;;;;;;;;;;;;;;
Andrew Carnahan;;;;;;;;;144.375;46.250;285.000;;;;;;;;;;;;;;;;
Andrew DePaola;690.000;600.000;510.000;420.000;;;;;;;;;;;;;;;;;;;;;;;
Andrew Donnal;253.235;649.233;559.233;;;;;;;;;;;;;;;;;;;;;;;;
Andrew Economos;;;;;555.000;805.000;780.000;775.000;640.000;550.000;360.000;180.000;;;;;;;;;;;;;;;
Andrew Franks;;525.000;435.000;;;;;;;;;;;;;;;;;;;;;;;;
Andrew Gachkar;397.941;1.900.000;1.600.000;656.475;566.475;476.475;386.475;;;;;;;;;;;;;;;;;;;;
Andrew Gardner;;89.411;931.045;735.000;650.000;540.000;;422.443;337.443;;;;;;;;;;;;;;;;;;
Andrew Hawkins;695.000;1.000.000;5.000.000;5.800.000;555.000;465.000;;;;;;;;;;;;;;;;;;;;;
Andrew Jackson;;;;370.588;;;;;;;;;;;;;;;;;;;;;;;
Andrew Jelks;348.000;;;;;;;;;;;;;;;;;;;;;;;;;;
Andrew Luck;19.400.000;18.400.000;7.034.363;6.029.454;5.024.545;4.019.636;;;;;;;;;;;;;;;;;;;;;
Andrew McDonald;;;;49.412;;1.500;;;;;;;;;;;;;;;;;;;;;
Andrew Mitchell;;;;;;;330.000;;;;;;;;;;;;;;;;;;;;
Andrew Norwell;2.746.000;604.000;514.000;424.000;;;;;;;;;;;;;;;;;;;;;;;
Andrew Quarless;;;1.750.000;1.250.000;1.368.606;585.606;495.606;365.606;;;;;;;;;;;;;;;;;;;
Andrew Sendejo;2.826.470;4.000.000;1.066.668;866.666;696.666;540.000;450.000;94.117;;;;;;;;;;;;;;;;;;;
Andrew Szczerba;;;;;288.000;;;;;;;;;;;;;;;;;;;;;;
Andrew Tiller;;600.000;390.000;74.117;;418.000;;;;;;;;;;;;;;;;;;;;;
Andrew Turzilli;;;179.117;;;;;;;;;;;;;;;;;;;;;;;;
Andrew Walter;;;;;;;;;;1.157.000;682.000;547.000;427.000;;;;;;;;;;;;;;
Andrew Whitworth;9.166.666;8.000.000;7.200.000;6.200.000;6.750.000;6.750.000;8.390.000;4.640.000;5.675.000;1.875.000;635.000;550.000;;;;;;;;;;;;;;;
Andrew Williamson;;451.833;;;;;;;;;;;;;;;;;;;;;;;;;
Andrus Peat;3.107.317;2.589.431;2.071.544;;;;;;;;;;;;;;;;;;;;;;;;
Andy Alleman;;;;;;;;;460.000;370.000;448.000;;;;;;;;;;;;;;;;
Andy Dalton;15.700.000;13.100.000;9.600.000;9.059.063;1.422.054;1.185.045;948.036;;;;;;;;;;;;;;;;;;;;
Andy Gallik;;;460.368;;;;;;;;;;;;;;;;;;;;;;;;
Andy Janovich;581.077;456.657;;;;;;;;;;;;;;;;;;;;;;;;;
Andy Jones;54.706;;;;;;;;;;;;;;;;;;;;;;;;;;
Andy Lee;1.362.500;2.833.000;2.050.000;2.400.000;4.075.000;1.963.000;1.338.000;1.338.000;1.338.000;1.048.000;938.000;445.500;325.500;250.500;;;;;;;;;;;;;
Andy Levitre;6.625.000;5.375.000;2.875.000;8.600.000;4.600.000;965.000;830.000;745.000;660.000;;;;;;;;;;;;;;;;;;
Andy Mulumba;;;586.667;340.490;406.666;;;;;;;;;;;;;;;;;;;;;;
Andy Studebaker;;;103.235;730.000;504.706;1.530.000;1.000.000;1.305.000;385.000;258.125;;;;;;;;;;;;;;;;;
Andy Tanner;;;;303.000;;;;;;;;;;;;;;;;;;;;;;;
Angelo Blackson;325.588;667.903;577.903;;;;;;;;;;;;;;;;;;;;;;;;
Angelo Craig;;;;;;;;;;88.400;;;;;;;;;;;;;;;;;
