Player;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
Greg McElroy; ; ; ; ; ;406288;391288; ; ; ; ; ; ; ; ; ; ; 
Ingle Martin IV; ; ; ; ; ; ; ; ; ; ; ;318000; ; ; ; ; ; 
J.P. Losman; ; ; ; ; ; ;525000;630000;460000;3132000;3032000;1657000;1347500;1078000; ; ; ; 
Jacoby Brissett;580038;530675; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jake Delhomme; ; ; ; ; ; ;154412;6250000;8525000;10390000;7100000;4151667;4281667;3301667;1780000;563000;418000;358000
Jake Locker; ; ; ;4004637;3432546;2860455;2288364; ; ; ; ; ; ; ; ; ; ; 
Jake Plummer; ; ; ; ; ; ; ; ; ; ;5503800;7354800;3220475;1664150;1534800;8737500;7037500;6030000
Jake Rudock;540000;158820; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
JaMarcus Russell; ; ; ; ; ; ; ; ;13113830;4351000;2976320; ; ; ; ; ; ; 
Jameill Showers; ; ;51176; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jameis Winston;6913985;5761654;4609323; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jared Goff;6349471;5079577; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jason Campbell; ; ; ;1500000;1500000;3500000;4600000;3140000;3887500;2265500;1603000;1380500;1078000; ; ; ; ; 
Jay Cutler;10000000;17000000;16500000;18500000;10370000;9600000;9500000;8900000;11534999;2325000;1937500;1550000; ; ; ; ; ; 
Jeff Blake; ; ; ; ; ; ; ; ; ; ; ; ;455000;1000000;2500000;450000; ;1690000
Jeff Driskel;363000;450000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jeff Garcia; ; ; ; ; ; ; ; ; ;3500000;3500000;1300000;2000000;1776250;6384521;2209522;566666;325000
Jeff George; ; ; ; ; ; ; ; ; ; ; ; ; ;455000; ;3682000;1591000;2000000
Jeff Rowe; ; ; ; ; ; ; ; ;460000;370000;328500; ; ; ; ; ; ; 
Jeff Smoker; ; ; ; ; ; ; ; ; ; ; ; ;305000;246333; ; ; ; 
Jeff Tuel; ; ; ; ;406666; ; ; ; ; ; ; ; ; ; ; ; ; 
Jerod Evans;54706; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jim Sorgi; ; ; ; ; ; ; ;545000;1305000;760000;1475000;400400;325400;250400; ; ; ; 
Jimmy Clausen; ; ;262941;645000;952500;812500;727500;642500; ; ; ; ; ; ; ; ; ; 
Jimmy Garoppolo;434158;950154;791795;633436; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Joe Callahan;63530;79410; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Joe Flacco;24550000;22550000;14550000;14800000;6800000;8000000;5725000;3900000;4875000;1300000; ; ; ; ; ; ; ; 
Joe Webb;615000;860000;665000;635000;653129;563128;473128;343128; ; ; ; ; ; ; ; ; ; 
Joey Harrington; ; ; ; ; ; ; ; ; ;645000;2125000;1533333;8543750;3443750;2625000;2300000; ; 
John Beck; ; ; ; ; ;175000;887500;718750;460000;845000;1116500; ; ; ; ; ; ; 
John David Booty; ; ; ; ; ; ; ; ;88400;346500; ; ; ; ; ; ; ; 
John Elway; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4493666
John Navarre; ; ; ; ; ; ; ; ; ;630000; ;439833;319833;244833; ; ; ; 
John Parker Wilson; ; ; ; ; ; ; ;403750;318750; ; ; ; ; ; ; ; ; 
John Skelton; ; ; ; ; ;585412;495412;365412; ; ; ; ; ; ; ; ; ; 
Johnny Manziel; ; ;1874681;1499745; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Jon Kitna; ; ; ; ;32647; ;3200000;2600000;2275000;3825000;2325000;2325000; ;3375000;3958333;2833333;1833333;1371000
Jordan Palmer; ; ; ;67058;326471;615000; ;470000;385000;295000; ; ; ; ; ; ; ; 
Josh Freeman; ; ;43823; ;2000001;7915000;2270000;4875000;1380000; ; ; ; ; ; ; ; ; 
Josh Harris; ; ; ; ; ; ; ; ; ; ; ; ; ;73950; ; ; ; 
Josh Johnson;52941;600000;412941;335294;921250;1358823;631375;501375;416375;1296375; ; ; ; ; ; ; ; 
Josh McCown;6500000;5041666;3916666;4750000;580000;540000;810000; ;1800000;2000000;2000000;3000000;1430000;541000;461000;386000; ; 
Joshua Dobbs;614781; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Keith Null; ; ; ; ; ; ;480000; ;334500; ; ; ; ; ; ; ; ; 
Keith Wenning; ; ;76764; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kellen Clemens;1000000;680000;1822500;1177500;555000;540000;525000;700000;937500;847500;762500;677500; ; ; ; ; ; 
Kellen Moore; ;760000;232941;576668;486666;396666; ; ; ; ; ; ; ; ; ; ; ; 
Kelly Holcomb; ; ; ; ; ; ; ; ; ; ;1485000;1825000;1165000;1300000;1075000;850000;660000;485000
Kerry Collins; ; ; ; ; ; ;2750000;7500000;6500000;2875000;2375000;2000000;3413666;1950000;5950000;6380000;3760000;2210000
Kevin Hogan;540000;317640; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kevin Kolb; ; ; ; ;2500000;10500000;4000000;7230625;1625625;1535625;1378500; ; ; ; ; ; ; 
Kevin O'Connell; ; ; ; ; ; ;525000; ;575125;485125; ; ; ; ; ; ; ; 
Kirk Cousins;23943600;19953000;778172;688172;598172;508172; ; ; ; ; ; ; ; ; ; ; ; 
Kurt Warner; ; ; ; ; ; ; ; ;11500000;6000000;5000000;5000000;4000000;2000000;8831523;4056523;2334523;2000857
Kyle Boller; ; ; ; ; ; ;1250000;1000000;1500000;3250000;2802500;2586250;2422500;1258750;1845000; ; ; 
Kyle Orton; ; ; ;4000000;1967500;1900000;8879000;2612000;1095000;2214500;549500;464500;344500; ; ; ; ; 
Kyle Sloter;437647; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Landry Jones;2200000;784805;694805;604805;514805; ; ; ; ; ; ; ; ; ; ; ; ; 
Levi Brown; ; ; ; ; ; ; ;263529; ; ; ; ; ; ; ; ; ; 
Luke McCown; ;1250000;665000;635000;555000;540000;1800000;2500000;3750000;605000;510000;425000;415000;340000; ; ; ; 
Marc Bulger; ; ; ; ; ; ; ;3800000;10500000;8500000;12800000;7373000;2795000;2705000;375000;317000;226000; 
Marcus Mariota;6603811;5503176;4402541; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Mark Rypien; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;477000; 
Mark Sanchez;1906250;2000000;3750000;2250000;12853125;7853125;17228125;8945625;10100000; ; ; ; ; ; ; ; ; 
Matt Baker; ; ; ; ; ; ; ; ; ;200000; ; ; ; ; ; ; ; 
Matt Barkley;319117;595588;592500;644257;549257; ; ; ; ; ; ; ; ; ; ; ; ; 
Matt Cassel;2750000;2000000;1764705;5750000;3700000;7575000;7075000;12200000;15200000;533500;448500;363500;243500; ; ; ; ; 
Matt Flynn; ; ;275294;1078750;294412;4000000;616043;486043;401043;311043; ; ; ; ; ; ; ; 
Matt Hasselbeck; ; ;3000000;3750000;3500000;7500000;5000000;6750000;9450000;9950000;9200000;6450000;6600000;5900000;5400000;2000000;950000;30000
Matt Leinart; ; ; ; ; ;540000;2750000;630000;2625000;2250000;4275000;1500000; ; ; ; ; ; 
Matt Mauck; ; ; ; ; ; ; ; ; ; ; ; ; ;221850; ; ; ; 
Matt McGloin; ;2553000;585000;495000;405000; ; ; ; ; ; ; ; ; ; ; ; ; 
Matt Moore;2150000;1400000;2600000;5500000;2500000;3525000;3250000;3043000;460000;370000;285000; ; ; ; ; ; ; 
Matt Ryan;23750000;23750000;19500000;17500000;9600000;13500000;13250000;12250000;9900000;6600000; ; ; ; ; ; ; ; 
Matt Schaub;3500000;1750000;2000000;8000000;10750000;11150000;9000000;7800000;10200000;5750000;4250000;573333;453333;378333; ; ; ; 
Matt Simms; ; ; ;262058;405000; ; ; ; ; ; ; ; ; ; ; ; ; 
Matthew Stafford;16500000;22500000;17721250;15820000;17820000;8935000;6123750;12980000;3100000; ; ; ; ; ; ; ; ; 
Max Hall; ; ; ; ; ; ;455000;227500; ; ; ; ; ; ; ; ; ; 
McLeod Bethel-Thompson; ; ; ; ; ;392500; ; ; ; ; ; ; ; ; ; ; ; 
Michael Vick; ; ;585000;4000000;12200000;13900000;14400000;6400000;3641000; ; ;11772857;11892857;7592857;4842857;2242857;2200000; 
Mike Glennon;14000000;1830375;846563;705469;564375; ; ; ; ; ; ; ; ; ; ; ; ; 
Mike Hartline; ; ; ; ; ;390000; ; ; ; ; ; ; ; ; ; ; ; 
Mike Kafka; ; ; ; ; ; ;521696;436696; ; ; ; ; ; ; ; ; ; 
Mike Teel; ; ; ; ; ; ; ; ;338562; ; ; ; ; ; ; ; ; 
Mitchell Trubisky;5278622; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Nate Davis; ; ; ; ; ; ; ;40300;347575; ; ; ; ; ; ; ; ; 
Nate Sudfeld;285882;484333; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Nathan Enderle; ; ; ; ; ; ;417215; ; ; ; ; ; ; ; ; ; ; 
Nathan Peterman;524874; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Neil O'Donnell; ; ; ; ; ; ; ; ; ; ; ; ; ; ;800000;1648167; ; 
Nick Foles;1600000;1750000;4042000;770880;655880;525880; ; ; ; ; ; ; ; ; ; ; ; 
Pat Devlin; ; ;34411; ;480000;390000;44117; ; ; ; ; ; ; ; ; ; ; 
Pat White; ; ; ; ; ; ; ;907718;726175; ; ; ; ; ; ; ; ; 
Patrick Mahomes;2986506; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Paxton Lynch;2153704;1722963; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Peyton Manning; ; ;17500000;17500000;17500000;18000000;16000000;19266666;23216666;20716666;10216666;8550000;6415000;6285000;15375333;10331333;8485333;6699333
Philip Rivers;18000000;16500000;21166668;16666666;13776666;15310000;13510000;11710000;14135000;9675000;8675000;7350000;4855000;2580000; ; ; ; 
R.J. Archer; ; ; ; ; ; ; ;56470; ; ; ; ; ; ; ; ; ; 
Reggie McNeal; ; ; ; ; ; ; ; ; ; ; ;275000; ; ; ; ; ; 
Rex Grossman; ; ; ; ;575000;1300000;1150000;755000;460000;2500000;2940000;1530000;1370000;1255000;1050000; ; ; 
Rhett Bomar; ; ; ; ; ; ;330000;320000;356295; ; ; ; ; ; ; ; ; 
Rich Gannon; ; ; ; ; ; ; ; ; ; ; ; ; ;6547618;3547618;3714285;4414285;3814285
Richard Bartel; ; ; ; ; ; ;525000;92941;109411;17352; ; ; ; ; ; ; ; 
Ricky Stanzi; ; ; ; ;424411;517763;427763; ; ; ; ; ; ; ; ; ; ; 
Rob Johnson; ; ; ; ; ; ; ; ; ; ; ; ; ; ;450000;5075250;5552250;3753750
Robert Griffin III; ;5234375;6719713;5759754;4799795;3839836; ; ; ; ; ; ; ; ; ; ; ; 
Russell Wilson;14626666;18542000;7054868;817302;681085;544868; ; ; ; ; ; ; ; ; ; ; ; 
Rusty Smith; ; ; ; ;481764;568556;478556;348556; ; ; ; ; ; ; ; ; ; 
Ryan Fitzpatrick;3675000;7000000;3250000;3375000;2375000;6000000;5610000;2755000;2210000;927000;435000;319416;239416; ; ; ; ; 
Ryan Griffin;1150000;600000;510000; ;238235; ; ; ; ; ; ; ; ; ; ; ; ; 
Ryan Leaf; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;418000;2733000
Ryan Lindley; ; ;38823;234706;506327;416327; ; ; ; ; ; ; ; ; ; ; ; 
Ryan Mallett;2000000;1500000;131470;776976;803953;669961;535969; ; ; ; ; ; ; ; ; ; ; 
Ryan Nassib; ;788400;698400;608400;518400; ; ; ; ; ; ; ; ; ; ; ; ; 
Ryan Perrilloux; ; ; ; ; ; ;330000; ; ; ; ; ; ; ; ; ; ; 
Ryan Tannehill;20300000;11640000;4873364;3455046;2879205;2303364; ; ; ; ; ; ; ; ; ; ; ; 
Sage Rosenfels; ; ; ; ; ; ;3466667;3066667;2466667;1850000;1600000;1100000;630000;628000;491000;402000;311000; 
Sam Bradford;18000000;7000000;12985000;17610000;12595000;15595000;12465000;3200000; ; ; ; ; ; ; ; ; ; 
Scott Tolzien;2000000;1500000;1200000;645000;261176;465000;375000; ; ; ; ; ; ; ; ; ; ; 
Sean Mannion;886486;738734;591449; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Sean Renfree; ; ;596474;431474;299474; ; ; ; ; ; ; ; ; ; ; ; ; 
Seneca Wallace; ; ; ; ;457412; ;2616667;1500000;2150000;1005000;995000;1500000;483333;408333;328333; ; ; 
Shane Boyd; ; ; ; ; ; ; ; ; ; ;16176; ; ; ; ; ; ; 
Shaun Hill; ;3250000;3250000;1750000;3250000;2250000;2273225;1585000;2050000;1650000;595000; ;656000;385000;305000;230000; ; 
Stefan LeFors; ; ; ; ; ; ; ; ; ; ; ; ;336000; ; ; ; ; 
Stephen McGee; ; ; ; ; ; ;613000;528000;443000; ; ; ; ; ; ; ; ; 
Stephen Morris; ; ;51176;49411; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Steve Beuerlein; ; ; ; ; ; ; ; ; ; ; ; ; ;125000;1250000;1225000; ;1750000
Steve McNair; ; ; ; ; ; ; ; ; ; ;4700000;3200000;8291158;6839168;5819167;4866667;3573809;7068892
T.J. Yates;410294;134117;344117;645000;601250;511250;421250; ; ; ; ; ; ; ; ; ; ; 
Tarvaris Jackson; ; ;1500000;1250000;840000;1950000;3250000;1176000;740000;650000;565000;715000; ; ; ; ; ; 
Taylor Heinicke;108529;465862;438333; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Taysom Hill;465000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Teddy Bridgewater;2179387;1868046;1556705;1245364; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Thaddeus Lewis; ;363000;516176;189705;391764;465000; ; ; ; ; ; ; ; ; ; ; ; 
Tim Couch; ; ; ; ; ; ; ; ; ; ; ; ; ;1750000;7950000;2100000;2139000;2025000
Tim Tebow; ; ; ; ; ;2100000;2111875;1767500; ; ; ; ; ; ; ; ; ; 
Todd Collins; ; ; ; ; ; ; ;1000000;1708333;1500000;1475000;1035000;1165000;1065000;770000;1416668;1016666;656666
Tom Brady;14000000;13764705;14000000;14800000;13800000;8000000;12950000;20320000;14620000;14621320;7345160;13828590;8427930;5058750;3318750;1087833;310833;205833
Tom Brandstater; ; ; ; ; ; ;450000;395000;351333; ; ; ; ; ; ; ; ; 
Tom Savage;765146;675146;408146;495146; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Tony Pike; ; ; ; ; ; ; ;340286; ; ; ; ; ; ; ; ; ; 
Tony Romo; ;20835000;14973000;11773000;11818833;8060499;6410499;12462499;4582499;4567499;8916666;2330000;550000;310000;230000; ; ; 
Trent Dilfer; ; ; ; ; ; ; ; ; ; ;1500000;1500000;1425000;2250000;1750000;1750000;1000000;1000000
Trent Edwards; ; ; ; ; ;540000; ;1358823;817750;727750;442750; ; ; ; ; ; ; 
Trevone Boykin; ;455000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Trevor Siemian;628195;538195;448195; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Trevor Vittatoe; ; ; ; ; ;390000; ; ; ; ; ; ; ; ; ; ; ; 
Troy  Aikman; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10063210;5915892
Troy Smith; ; ; ; ; ; ; ;545000;495000;405000;320000; ; ; ; ; ; ; 
Tyler Bray;1318750;620000;513334;321333;408333; ; ; ; ; ; ; ; ; ; ; ; ; 
Tyler Thigpen; ; ; ;33529; ;1500000;2500000;550000;460000;370000;285000; ; ; ; ; ; ; 
Tyler Wilson; ; ; ; ;47647; ; ; ; ; ; ; ; ; ; ; ; ; 
Tyrod Taylor;9713334;6919573;883333;671327;581327;491327;401327; ; ; ; ; ; ; ; ; ; ; 
Vince Young; ; ; ; ; ; ;4000000;9960000;4620000;3960000;3300000;6740000; ; ; ; ; ; 
Zac Dysert;615000;92646; ; ;417050; ; ; ; ; ; ; ; ; ; ; ; ; 
Zac Robinson; ; ; ; ;417529; ; ; ; ; ; ; ; ; ; ; ; ; 
Zach Mettenberger; ;600000;541279;451279; ; ; ; ; ; ; ; ; ; ; ; ; ; 
