Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Rod Smith,DEN,31,WR,15,14,172,113,65.7%,1343,11.9,11,65,7.5,89.5,1
2,Jimmy Smith,JAX,32,WR,16,16,176,112,63.6%,1373,12.3,8,35,7.0,85.8,1
3,Marvin Harrison,IND,29,WR,16,16,164,109,66.5%,1524,14.0,15,68,6.8,95.3,0
4,Keyshawn Johnson,TAM,29,WR,15,15,180,106,58.9%,1266,11.9,1,47,7.1,84.4,2
5,Troy Brown,NWE,30,WR,16,13,142,101,71.1%,1199,11.9,5,60,6.3,74.9,2
6,Marty Booker,CHI,25,WR,16,16,157,100,63.7%,1071,10.7,8,66,6.3,66.9,2
7,David Boston,ARI,23,WR,16,15,175,98,56.0%,1598,16.3,8,61,6.1,99.9,1
8,Hines Ward,PIT,25,FL/wr,16,16,145,94,64.8%,1003,10.7,4,34,5.9,62.7,1
9,Keenan McCardell,JAX,31,WR,16,16,145,93,64.1%,1110,11.9,6,45,5.8,69.4,1
10,Terrell Owens,SFO,28,WR,16,16,155,93,60.0%,1412,15.2,16,60,5.8,88.3,0
11,Tim Brown,OAK,35,WR,16,16,140,91,65.0%,1165,12.8,9,46,5.7,72.8,1
12,Kevin Johnson,CLE,25,WR,16,16,129,84,65.1%,1097,13.1,9,55,5.3,68.6,2
13,Marshall Faulk,STL,28,RB,14,14,104,83,79.8%,765,9.2,9,65,5.9,54.6,3
14,Joe Horn,NOR,29,WR,16,16,156,83,53.2%,1265,15.2,9,56,5.2,79.1,1
15,Jerry Rice,OAK,39,WR,16,15,125,83,66.4%,1139,13.7,9,40,5.2,71.2,1
16,Randy Moss,MIN,24,WR,16,16,154,82,53.2%,1233,15.0,10,73,5.1,77.1,0
17,Torry Holt,STL,25,WR,16,14,133,81,60.9%,1363,16.8,7,51,5.1,85.2,2
18,Willie Jackson,NOR,30,WR,16,16,135,81,60.0%,1046,12.9,5,63,5.1,65.4,0
19,Larry Centers,BUF,33,FB,16,13,105,80,76.2%,620,7.8,2,26,5.0,38.8,2
20,Johnnie Morton,DET,30,WR,16,16,144,77,53.5%,1154,15.0,4,76,4.8,72.1,1
21,Qadry Ismail,BAL,31,WR,16,15,134,74,55.2%,1059,14.3,7,77,4.6,66.2,1
22,Cris Carter,MIN,36,WR,16,16,130,73,56.2%,871,11.9,6,52,4.6,54.4,2
23,Tony Gonzalez,KAN,25,TE,16,16,118,73,61.9%,917,12.6,6,36,4.6,57.3,0
24,Derrick Mason,TEN,27,WR,15,15,113,73,64.6%,1128,15.5,9,71,4.9,75.2,2
25,Shannon Sharpe,BAL,33,TE,16,15,114,73,64.0%,811,11.1,2,37,4.6,50.7,1
26,Tiki Barber,NYG,26,RB,14,9,98,72,73.5%,577,8.0,0,44,5.1,41.2,8
27,Charlie Garner,OAK,29,RB,16,16,91,72,79.1%,578,8.0,2,27,4.5,36.1,2
28,Amani Toomer,NYG,27,WR,16,14,141,72,51.1%,1054,14.6,5,60,4.5,65.9,2
29,Curtis Conway,SDG,30,WR,16,16,126,71,56.3%,1125,15.8,6,72,4.4,70.3,1
30,Darrell Jackson,SEA,23,WR,16,16,132,70,53.0%,1081,15.4,8,64,4.4,67.6,0
31,Peter Warrick,CIN,24,WR,16,14,137,70,51.1%,667,9.5,1,33,4.4,41.7,3
32,Warrick Dunn,TAM,26,fb/RB,13,12,97,68,70.1%,557,8.2,3,31,5.2,42.8,2
33,Eric Moulds,BUF,28,WR,16,16,135,67,49.6%,904,13.5,5,80,4.2,56.5,1
34,Plaxico Burress,PIT,24,SE/wr,16,16,120,66,55.0%,1008,15.3,6,43,4.1,63.0,1
35,Isaac Bruce,STL,29,WR,16,16,103,64,62.1%,1106,17.3,6,51,4.0,69.1,4
36,Duce Staley,PHI,26,RB,13,10,91,63,69.2%,626,9.9,2,46,4.8,48.2,3
37,James Thrash,PHI,26,WR,15,15,108,63,58.3%,833,13.2,8,64,4.2,55.5,1
38,Ahman Green,GNB,24,RB,16,16,82,62,75.6%,594,9.6,2,42,3.9,37.1,5
39,Priest Holmes,KAN,28,RB,16,16,75,62,82.7%,614,9.9,2,67,3.9,38.4,4
40,Cory Schlesinger,DET,29,FB,16,13,85,60,70.6%,466,7.8,0,38,3.8,29.1,1
41,Ricky Williams,NOR,24,fb/RB,16,16,88,60,68.2%,511,8.5,1,42,3.8,31.9,8
42,Frank Wycheck,TEN,30,TE,16,16,84,60,71.4%,672,11.2,4,30,3.8,42.0,0
43,Laveranues Coles,NYJ,24,WR,16,16,102,59,57.8%,868,14.7,7,40,3.7,54.3,1
44,LaDainian Tomlinson,SDG,22,RB,16,16,74,59,79.7%,367,6.2,0,27,3.7,22.9,8
45,Byron Chamberlain,MIN,30,TE,16,15,81,57,70.4%,666,11.7,3,47,3.6,41.6,1
46,Darnay Scott,CIN,29,WR,16,15,103,57,55.3%,819,14.4,2,49,3.6,51.2,0
47,Michael Westbrook,WAS,29,WR,16,16,91,57,62.6%,664,11.6,4,76,3.6,41.5,0
48,Wayne Chrebet,NYJ,28,WR,15,15,92,56,60.9%,750,13.4,1,36,3.7,50.0,0
49,Oronde Gadsden,MIA,30,WR,14,14,93,55,59.1%,674,12.3,3,61,3.9,48.1,1
50,James McKnight,MIA,29,WR,16,15,90,55,61.1%,684,12.4,3,40,3.4,42.8,3
51,Peerless Price,BUF,25,WR,16,16,111,55,49.5%,895,16.3,7,70,3.4,55.9,2
52,Kevin Dyson,TEN,26,WR,16,16,112,54,48.2%,825,15.3,7,68,3.4,51.6,0
53,J.J. Stokes,SFO,29,WR,16,16,90,54,60.0%,585,10.8,7,47,3.4,36.6,0
54,Rocket Ismail,DAL,32,WR,14,13,93,53,57.0%,834,15.7,2,80,3.8,59.6,0
55,Curtis Martin,NYJ,28,RB,16,16,63,53,84.1%,320,6.0,0,27,3.3,20.0,2
56,Jay Riemersma,BUF,28,TE,16,15,78,53,67.9%,590,11.1,3,36,3.3,36.9,0
57,Bill Schroeder,GNB,30,WR,14,14,93,53,57.0%,918,17.3,9,67,3.8,65.6,1
58,Antonio Freeman,GNB,29,WR,16,16,108,52,48.1%,818,15.7,6,63,3.3,51.1,1
59,Joey Galloway,DAL,30,WR,16,16,112,52,46.4%,699,13.4,3,47,3.3,43.7,1
60,Jeff Graham,SDG,32,WR,14,11,110,52,47.3%,811,15.6,5,61,3.7,57.9,1
61,Donald Hayes,CAR,26,WR,16,15,105,52,49.5%,597,11.5,2,48,3.3,37.3,1
62,Ike Hilliard,NYG,25,WR,14,10,88,52,59.1%,659,12.7,6,38,3.7,47.1,0
63,Desmond Clark,DEN,24,,16,4,76,51,67.1%,566,11.1,6,39,3.2,35.4,3
64,Joe Jurevicius,NYG,27,WR,14,9,92,51,55.4%,706,13.8,3,46,3.6,50.4,0
65,Terance Mathis,ATL,34,WR,16,16,105,51,48.6%,564,11.1,2,34,3.2,35.3,0
66,David Patten,NWE,27,WR,16,14,94,51,54.3%,749,14.7,4,91,3.2,46.8,1
67,Muhsin Muhammad,CAR,28,WR,11,11,93,50,53.8%,585,11.7,1,43,4.5,53.2,2
68,Chris Chambers,MIA,23,wr,16,7,90,48,53.3%,883,18.4,7,74,3.0,55.2,2
69,Marcus Pollard,IND,29,RB/te,16,16,73,47,64.4%,739,15.7,8,86,2.9,46.2,0
70,Rod Gardner,WAS,24,WR,16,16,101,46,45.5%,741,16.1,4,85,2.9,46.3,1
71,Bob Christian,ATL,33,FB,16,8,60,45,75.0%,392,8.7,2,42,2.8,24.5,0
72,Dez White,CHI,22,wr,14,6,82,45,54.9%,428,9.5,0,32,3.2,30.6,0
73,Shaun Alexander,SEA,24,RB,16,12,59,44,74.6%,343,7.8,2,28,2.8,21.4,4
74,Jamel White,CLE,24,rb,16,7,60,44,73.3%,418,9.5,1,45,2.8,26.1,1
75,Wesley Walls,CAR,35,TE,14,14,73,43,58.9%,452,10.5,5,25,3.1,32.3,0
76,Todd Pinkston,PHI,24,WR,15,15,84,42,50.0%,586,14.0,4,62,2.8,39.1,0
77,Michael Pittman,ARI,26,RB,15,14,66,42,63.6%,264,6.3,0,27,2.8,17.6,5
78,Travis Taylor,BAL,22,WR,16,13,90,42,46.7%,560,13.3,3,63,2.6,35.0,0
79,Garrison Hearst,SFO,30,fb/RB,16,16,55,41,74.5%,347,8.5,1,60,2.6,21.7,1
80,Chad Lewis,PHI,30,TE,15,15,68,41,60.3%,422,10.3,6,33,2.7,28.1,2
81,Frank Sanders,ARI,28,WR,15,13,76,41,53.9%,618,15.1,2,68,2.7,41.2,1
