Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Torry Holt,STL,27,WR,16,15,183,117,63.9%,1696,14.5,12,48,7.3,106.0,1
2,Randy Moss,MIN,26,WR,16,16,172,111,64.5%,1632,14.7,17,72,6.9,102.0,1
3,Anquan Boldin,ARI,23,WR,16,16,165,101,61.2%,1377,13.6,8,71,6.3,86.1,3
4,LaDainian Tomlinson,SDG,24,RB,16,16,137,100,73.0%,725,7.3,4,73,6.3,45.3,2
5,Derrick Mason,TEN,29,WR,16,16,133,95,71.4%,1303,13.7,8,50,5.9,81.4,0
6,Hines Ward,PIT,27,FL/wr,16,16,156,95,60.9%,1163,12.2,10,50,5.9,72.7,0
7,Marvin Harrison,IND,31,WR,15,15,142,94,66.2%,1272,13.5,10,79,6.3,84.8,2
8,Chad Johnson,CIN,25,WR,16,14,154,90,58.4%,1355,15.1,10,82,5.6,84.7,0
9,Steve Smith,CAR,24,WR,16,11,142,88,62.0%,1110,12.6,7,67,5.5,69.4,5
10,Keenan McCardell,TAM,33,WR,16,16,139,84,60.4%,1174,14.0,8,76,5.3,73.4,1
11,Laveranues Coles,WAS,26,WR,16,16,159,82,51.6%,1204,14.7,6,64,5.1,75.3,0
12,Terrell Owens,SFO,30,WR,15,15,146,80,54.8%,1102,13.8,9,75,5.3,73.5,0
13,Peter Warrick,CIN,26,WR,15,14,122,79,64.8%,819,10.4,7,77,5.3,54.6,2
14,Joe Horn,NOR,31,WR,15,14,130,78,60.0%,973,12.5,10,50,5.2,64.9,2
15,Michael Pittman,TAM,28,RB,16,13,121,75,62.0%,597,8.0,2,68,4.7,37.3,4
16,Priest Holmes,KAN,30,RB,16,16,90,74,82.2%,690,9.3,0,36,4.6,43.1,1
17,Santana Moss,NYJ,24,WR,16,12,117,74,63.2%,1105,14.9,10,65,4.6,69.1,4
18,Rod Smith,DEN,33,WR,15,15,114,74,64.9%,845,11.4,3,38,4.9,56.3,0
19,Tony Gonzalez,KAN,27,TE,16,16,106,71,67.0%,916,12.9,10,67,4.4,57.3,0
20,David Boston,SDG,25,WR,14,14,115,70,60.9%,880,12.6,7,46,5.0,62.9,2
21,Richie Anderson,DAL,32,FB,15,8,87,69,79.3%,493,7.1,4,37,4.6,32.9,1
22,Tiki Barber,NYG,28,fb/RB,16,16,98,69,70.4%,461,6.7,1,36,4.3,28.8,9
23,Isaac Bruce,STL,31,WR,15,15,119,69,58.0%,981,14.2,5,41,4.6,65.4,0
24,Deuce McAllister,NOR,25,RB,16,16,87,69,79.3%,516,7.5,0,39,4.3,32.3,6
25,Darrell Jackson,SEA,25,WR,16,16,130,68,52.3%,1137,16.7,9,80,4.3,71.1,1
26,Reggie Wayne,IND,25,WR,16,16,107,68,63.6%,838,12.3,7,57,4.3,52.4,0
27,Andre Johnson,HOU,22,WR,16,16,119,66,55.5%,976,14.8,4,46,4.1,61.0,0
28,Koren Robinson,SEA,23,WR,15,15,119,65,54.6%,896,13.8,4,38,4.3,59.7,1
29,Moe Williams,MIN,29,rb,16,7,87,65,74.7%,644,9.9,3,42,4.1,40.3,2
30,Chris Chambers,MIA,25,WR,16,16,130,64,49.2%,963,15.0,11,57,4.0,60.2,1
31,Eric Moulds,BUF,30,WR,13,13,121,64,52.9%,780,12.2,1,49,4.9,60.0,0
32,Peerless Price,ATL,27,WR,16,15,141,64,45.4%,838,13.1,3,49,4.0,52.4,0
33,Jerry Rice,OAK,41,WR,16,15,124,63,50.8%,869,13.8,2,47,3.9,54.3,2
34,Amani Toomer,NYG,29,WR,16,16,152,63,41.4%,1057,16.8,5,77,3.9,66.1,0
35,Dennis Northcutt,CLE,26,wr,15,6,93,62,66.7%,729,11.8,2,44,4.1,48.6,2
36,Shannon Sharpe,DEN,35,TE,15,15,94,62,66.0%,770,12.4,8,28,4.1,51.3,0
37,Plaxico Burress,PIT,26,se/WR,16,16,124,60,48.4%,860,14.3,4,47,3.8,53.8,1
38,Ike Hilliard,NYG,27,WR,13,12,102,60,58.8%,608,10.1,6,38,4.6,46.8,2
39,Rod Gardner,WAS,26,WR,16,16,115,59,51.3%,600,10.2,5,35,3.7,37.5,1
40,Kevin Johnson,2TM,27,,15,9,95,58,61.1%,634,10.9,3,41,3.9,42.3,0
41,Josh Reed,BUF,23,WR,16,16,104,58,55.8%,588,10.1,2,26,3.6,36.8,1
42,Deion Branch,NWE,24,WR,15,12,104,57,54.8%,803,14.1,3,66,3.8,53.5,0
43,Todd Heap,BAL,23,TE,16,16,112,57,50.9%,693,12.2,3,33,3.6,43.3,1
44,Eddie Kennison,KAN,30,WR,16,16,99,56,56.6%,853,15.2,5,51,3.5,53.3,1
45,Bobby Shaw,BUF,28,wr,16,7,86,56,65.1%,732,13.1,4,54,3.5,45.8,1
46,Freddie Jones,ARI,29,TE,16,16,89,55,61.8%,517,9.4,3,34,3.4,32.3,0
47,Shawn Bryson,DET,27,RB,16,13,72,54,75.0%,340,6.3,0,26,3.4,21.3,2
48,Muhsin Muhammad,CAR,30,WR,15,15,100,54,54.0%,837,15.5,3,60,3.6,55.8,3
49,Jimmy Smith,JAX,34,WR,12,12,112,54,48.2%,805,14.9,4,67,4.5,67.1,1
50,Marty Booker,CHI,27,WR,13,13,105,52,49.5%,715,13.8,4,61,4.0,55.0,1
51,Tim Brown,OAK,37,WR,16,15,94,52,55.3%,567,10.9,2,36,3.3,35.4,0
