Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,T.J. Houshmandzadeh,CIN,30,WR,16,15,169,112,66.3%,1143,10.2,12,42,7.0,71.4,2
2,Wes Welker,NWE,26,WR,16,13,145,112,77.2%,1175,10.5,8,42,7.0,73.4,3
3,Reggie Wayne,IND,29,WR,16,16,156,104,66.7%,1510,14.5,10,64,6.5,94.4,3
4,Derrick Mason,BAL,33,WR,16,16,164,103,62.8%,1087,10.6,5,79,6.4,67.9,1
5,Brandon Marshall,DEN,23,WR,16,16,170,102,60.0%,1325,13.0,7,68,6.4,82.8,3
6,Larry Fitzgerald,ARI,24,WR,15,15,167,100,59.9%,1409,14.1,10,48,6.7,93.9,3
7,Tony Gonzalez,KAN,31,TE,16,16,153,99,64.7%,1172,11.8,5,31,6.2,73.3,0
8,Marques Colston,NOR,24,WR,16,14,143,98,68.5%,1202,12.3,11,45,6.1,75.1,1
9,Randy Moss,NWE,30,WR,16,16,160,98,61.3%,1493,15.2,23,65,6.1,93.3,0
10,Jason Witten,DAL,25,TE,16,16,141,96,68.1%,1145,11.9,7,53,6.0,71.6,1
11,Bobby Engram,SEA,34,WR,16,13,134,94,70.1%,1147,12.2,6,49,5.9,71.7,1
12,Torry Holt,STL,31,WR,16,16,149,93,62.4%,1189,12.8,7,40,5.8,74.3,2
13,Chad Johnson,CIN,29,WR,16,16,161,93,57.8%,1440,15.5,8,70,5.8,90.0,2
14,Brian Westbrook,PHI,28,RB,15,15,118,90,76.3%,771,8.6,5,57,6.0,51.4,2
15,Steve Smith,CAR,28,WR,15,15,148,87,58.8%,1002,11.5,7,74,5.8,66.8,1
16,Roddy White,ATL,26,WR,16,15,137,83,60.6%,1202,14.5,6,69,5.2,75.1,3
17,Jerricho Cotchery,NYJ,25,WR,15,15,127,82,64.6%,1130,13.8,2,50,5.5,75.3,1
18,Donald Driver,GNB,32,WR,15,14,122,82,67.2%,1048,12.8,2,47,5.5,69.9,1
19,Kellen Winslow,CLE,24,TE,16,14,148,82,55.4%,1106,13.5,5,49,5.1,69.1,2
20,Terrell Owens,DAL,34,WR,15,15,141,81,57.4%,1355,16.7,15,52,5.4,90.3,0
21,Braylon Edwards,CLE,24,WR,16,16,154,80,51.9%,1289,16.1,16,78,5.0,80.6,3
22,Shaun McDonald,DET,26,wr,16,7,127,79,62.2%,943,11.9,6,49,4.9,58.9,3
23,Kevin Curtis,PHI,29,WR,16,16,135,77,57.0%,1110,14.4,6,75,4.8,69.4,0
24,Antonio Gates,SDG,27,TE,16,16,117,75,64.1%,984,13.1,9,49,4.7,61.5,0
25,Reggie Bush,NOR,22,RB/wr,12,10,98,73,74.5%,417,5.7,2,25,6.1,34.8,8
26,Bernard Berrian,CHI,27,WR,16,15,128,71,55.5%,951,13.4,5,59,4.4,59.4,1
27,Anquan Boldin,ARI,27,WR,12,11,99,71,71.7%,853,12.0,9,44,5.9,71.1,2
28,Hines Ward,PIT,31,fl/WR,13,13,113,71,62.8%,732,10.3,7,25,5.5,56.3,0
