Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Marvin Harrison,IND,30,WR,16,16,205,143,69.8%,1722,12.0,11,69,8.9,107.6,0
2,Hines Ward,PIT,26,FL/WR,16,16,160,112,70.0%,1329,11.9,12,72,7.0,83.1,1
3,Randy Moss,MIN,25,WR,16,16,185,106,57.3%,1347,12.7,7,60,6.6,84.2,1
4,Eric Moulds,BUF,29,WR,16,15,180,100,55.6%,1292,12.9,10,70,6.3,80.8,1
5,Terrell Owens,SFO,29,WR,14,14,159,100,62.9%,1300,13.0,13,76,7.1,92.9,0
6,Marty Booker,CHI,26,WR,16,16,168,97,57.7%,1189,12.3,6,54,6.1,74.3,0
7,Troy Brown,NWE,31,WR,14,13,141,97,68.8%,890,9.2,3,38,6.9,63.6,4
8,Peerless Price,BUF,26,WR,16,16,148,94,63.5%,1252,13.3,9,73,5.9,78.3,2
9,Jerry Rice,OAK,40,WR,16,16,150,92,61.3%,1211,13.2,7,75,5.8,75.7,1
10,Charlie Garner,OAK,30,RB,16,15,111,91,82.0%,941,10.3,4,69,5.7,58.8,0
11,Torry Holt,STL,26,WR,16,11,160,91,56.9%,1302,14.3,4,58,5.7,81.4,1
12,Laveranues Coles,NYJ,25,WR,16,16,134,89,66.4%,1264,14.2,5,43,5.6,79.0,1
13,Rod Smith,DEN,32,WR,16,16,147,89,60.5%,1027,11.5,5,46,5.6,64.2,1
14,Joe Horn,NOR,30,WR,16,16,149,88,59.1%,1312,14.9,7,63,5.5,82.0,1
15,Amani Toomer,NYG,28,WR,16,16,134,82,61.2%,1343,16.4,8,82,5.1,83.9,0
16,Tim Brown,OAK,36,WR,16,16,127,81,63.8%,930,11.5,2,45,5.1,58.1,3
17,Marshall Faulk,STL,29,RB,14,10,102,80,78.4%,537,6.7,2,40,5.7,38.4,4
18,Jimmy Smith,JAX,33,WR,16,16,137,80,58.4%,1027,12.8,7,47,5.0,64.2,0
19,Isaac Bruce,STL,30,WR,16,16,130,79,60.8%,1075,13.6,7,34,4.9,67.2,2
20,Derrick Mason,TEN,28,WR,14,14,125,79,63.2%,1012,12.8,5,40,5.6,72.3,2
21,LaDainian Tomlinson,SDG,23,RB,16,16,101,79,78.2%,489,6.2,1,30,4.9,30.6,3
22,Plaxico Burress,PIT,25,SE/wr,16,15,144,78,54.2%,1325,17.0,7,62,4.9,82.8,2
23,Koren Robinson,SEA,22,WR,16,16,141,78,55.3%,1240,15.9,5,83,4.9,77.5,2
24,Keyshawn Johnson,TAM,30,WR,16,16,142,76,53.5%,1088,14.3,5,76,4.8,68.0,0
25,Jeremy Shockey,NYG,22,TE/wr,15,14,128,74,57.8%,894,12.1,2,30,4.9,59.6,3
26,Tai Streets,SFO,25,WR,16,14,109,72,66.1%,756,10.5,5,47,4.5,47.3,1
27,Rod Gardner,WAS,25,WR,16,15,141,71,50.4%,1006,14.2,8,43,4.4,62.9,1
28,Donald Driver,GNB,27,WR,16,16,113,70,61.9%,1064,15.2,9,85,4.4,66.5,1
29,Priest Holmes,KAN,29,RB,14,14,81,70,86.4%,672,9.6,3,64,5.0,48.0,1
30,Tiki Barber,NYG,27,RB,16,15,95,69,72.6%,597,8.7,0,38,4.3,37.3,9
31,Chad Johnson,CIN,24,WR,16,14,137,69,50.4%,1166,16.9,5,72,4.3,72.9,0
32,Ed McCaffrey,DEN,34,WR,16,16,103,69,67.0%,903,13.1,2,69,4.3,56.4,1
33,Todd Heap,BAL,22,TE,16,16,122,68,55.7%,836,12.3,6,43,4.3,52.3,0
34,Kevin Johnson,CLE,26,WR,16,15,120,67,55.8%,703,10.5,4,30,4.2,43.9,0
35,Tony Gonzalez,KAN,26,TE,16,16,99,63,63.6%,773,12.3,7,42,3.9,48.3,0
36,Muhsin Muhammad,CAR,29,WR,14,14,108,63,58.3%,823,13.1,3,42,4.5,58.8,0
37,Jamel White,CLE,25,rb,14,6,86,63,73.3%,452,7.2,0,33,4.5,32.3,0
38,Darrell Jackson,SEA,24,WR,13,13,112,62,55.4%,877,14.1,4,48,4.8,67.5,3
39,Joey Galloway,DAL,31,WR,16,16,120,61,50.8%,908,14.9,6,80,3.8,56.8,2
40,Edgerrin James,IND,24,RB,14,14,80,61,76.3%,354,5.8,1,23,4.4,25.3,4
41,Keenan McCardell,TAM,32,WR,14,14,101,61,60.4%,670,11.0,6,65,4.4,47.9,1
42,David Patten,NWE,28,WR,16,14,120,61,50.8%,824,13.5,5,39,3.8,51.5,0
43,Shannon Sharpe,DEN,34,TE,13,13,88,61,69.3%,686,11.2,3,82,4.7,52.8,0
44,Travis Taylor,BAL,23,WR,16,15,118,61,51.7%,869,14.2,6,64,3.8,54.3,0
45,Todd Pinkston,PHI,25,WR,15,15,113,60,53.1%,798,13.3,7,42,4.0,53.2,2
46,Shaun Alexander,SEA,25,RB,16,16,78,59,75.6%,460,7.8,2,80,3.7,28.8,3
47,Michael Pittman,TAM,27,RB,16,15,86,59,68.6%,477,8.1,0,64,3.7,29.8,3
48,Curtis Conway,SDG,31,WR,13,13,94,57,60.6%,852,14.9,5,52,4.4,65.5,2
49,Ahman Green,GNB,25,RB,14,14,74,57,77.0%,393,6.9,2,23,4.1,28.1,4
50,Brian Finneran,ATL,26,WR,16,16,102,56,54.9%,838,15.0,6,47,3.5,52.4,2
51,Terry Glenn,GNB,28,WR,15,14,106,56,52.8%,817,14.6,2,49,3.7,54.5,1
52,Quincy Morgan,CLE,25,WR,16,16,97,56,57.7%,964,17.2,7,78,3.5,60.3,2
53,Bubba Franks,GNB,24,TE,16,15,71,54,76.1%,442,8.2,7,20,3.4,27.6,0
54,Steve Smith,CAR,23,WR,15,13,98,54,55.1%,872,16.1,3,69,3.6,58.1,5
55,Eddie Kennison,KAN,29,wr,16,14,92,53,57.6%,906,17.1,2,64,3.3,56.6,0
56,Derrius Thompson,WAS,25,WR,16,14,93,53,57.0%,773,14.6,4,47,3.3,48.3,2
57,Peter Warrick,CIN,25,WR,15,10,81,53,65.4%,606,11.4,6,37,3.5,40.4,2
58,Chris Chambers,MIA,24,WR,15,15,100,52,52.0%,734,14.1,3,59,3.5,48.9,1
59,James Thrash,PHI,27,WR,16,16,107,52,48.6%,635,12.2,6,39,3.3,39.7,1
60,Wayne Chrebet,NYJ,29,WR,15,15,80,51,63.8%,691,13.5,9,37,3.4,46.1,2
61,Billy Miller,HOU,25,te,16,7,80,51,63.8%,613,12.0,3,42,3.2,38.3,0
62,Jerry Porter,OAK,24,WR,16,14,70,51,72.9%,688,13.5,9,36,3.2,43.0,0
63,Duce Staley,PHI,27,RB,16,16,69,51,73.9%,541,10.6,3,45,3.2,33.8,3
64,Dez White,CHI,23,WR,16,14,94,51,54.3%,656,12.9,4,76,3.2,41.0,1
65,D'Wayne Bates,MIN,27,WR,14,11,80,50,62.5%,689,13.8,4,59,3.6,49.2,2
66,Warrick Dunn,ATL,27,RB,15,14,66,50,75.8%,377,7.5,2,31,3.3,25.1,4
67,Tim Dwight,SDG,27,WR,16,14,93,50,53.8%,623,12.5,2,42,3.1,38.9,1
68,Bobby Engram,SEA,29,wr,15,6,72,50,69.4%,619,12.4,0,38,3.3,41.3,2
69,Curtis Martin,NYJ,29,RB,16,16,56,49,87.5%,362,7.4,0,28,3.1,22.6,0
70,Fred Taylor,JAX,26,RB,16,16,57,49,86.0%,408,8.3,0,72,3.1,25.5,3
71,Reggie Wayne,IND,24,wr,16,7,72,49,68.1%,716,14.6,4,49,3.1,44.8,2
72,Garrison Hearst,SFO,31,RB,16,16,69,48,69.6%,317,6.6,1,16,3.0,19.8,4
73,James Allen,HOU,27,rb,16,5,57,47,82.5%,302,6.4,0,21,2.9,18.9,1
74,Ron Dugans,CIN,25,wr,16,5,73,47,64.4%,421,9.0,0,31,2.9,26.3,0
75,Jamal Lewis,BAL,23,RB,16,15,60,47,78.3%,442,9.4,1,77,2.9,27.6,8
76,Deuce McAllister,NOR,24,RB,15,15,74,47,63.5%,352,7.5,3,30,3.1,23.5,4
