Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Andre Johnson,HOU,27,WR,16,16,171,115,67.3%,1575,13.7,8,65,7.2,98.4,1
2,Wes Welker,NWE,27,WR,16,14,149,111,74.5%,1165,10.5,3,64,6.9,72.8,1
3,Brandon Marshall,DEN,24,WR,15,15,181,104,57.5%,1265,12.2,6,47,6.9,84.3,4
4,Larry Fitzgerald,ARI,25,WR,16,16,154,96,62.3%,1431,14.9,12,78,6.0,89.4,1
5,Tony Gonzalez,KAN,32,TE,16,16,155,96,61.9%,1058,11.0,10,35,6.0,66.1,0
6,T.J. Houshmandzadeh,CIN,31,WR,15,15,137,92,67.2%,904,9.8,4,46,6.1,60.3,0
7,Eddie Royal,DEN,22,WR,15,15,129,91,70.5%,980,10.8,5,93,6.1,65.3,2
8,Anquan Boldin,ARI,28,WR,12,11,127,89,70.1%,1038,11.7,11,79,7.4,86.5,4
9,Roddy White,ATL,27,WR,16,15,148,88,59.5%,1382,15.7,7,70,5.5,86.4,1
10,Dwayne Bowe,KAN,24,WR,16,16,157,86,54.8%,1022,11.9,7,36,5.4,63.9,0
11,Antonio Bryant,TAM,27,WR,16,15,138,83,60.1%,1248,15.0,7,71,5.2,78.0,1
12,Chris Cooley,WAS,26,TE,16,16,111,83,74.8%,849,10.2,1,28,5.2,53.1,3
13,Reggie Wayne,IND,30,WR,16,16,131,82,62.6%,1145,14.0,6,65,5.1,71.6,0
14,Hines Ward,PIT,32,fl/WR,16,15,124,81,65.3%,1043,12.9,7,49,5.1,65.2,1
15,Jason Witten,DAL,26,TE,16,16,121,81,66.9%,952,11.8,4,42,5.1,59.5,0
16,Greg Jennings,GNB,25,WR,16,15,140,80,57.1%,1292,16.2,9,63,5.0,80.8,1
17,Derrick Mason,BAL,34,wr,16,16,121,80,66.1%,1037,13.0,5,54,5.0,64.8,2
18,Lance Moore,NOR,25,wr,16,6,121,79,65.3%,928,11.7,10,70,4.9,58.0,1
19,Santana Moss,WAS,29,WR,16,16,138,79,57.2%,1044,13.2,6,67,4.9,65.3,1
20,Calvin Johnson,DET,23,WR,16,16,150,78,52.0%,1331,17.1,12,96,4.9,83.2,3
21,Steve Smith,CAR,29,WR,14,14,129,78,60.5%,1421,18.2,6,65,5.6,101.5,1
22,Steve Breaston,ARI,25,WR,16,9,113,77,68.1%,1006,13.1,3,58,4.8,62.9,1
23,Dallas Clark,IND,29,TE,15,15,107,77,72.0%,848,11.0,6,33,5.1,56.5,2
24,Donald Driver,GNB,33,WR,16,16,116,74,63.8%,1012,13.7,5,71,4.6,63.3,0
25,Jerricho Cotchery,NYJ,26,WR,16,16,112,71,63.4%,858,12.1,5,56,4.4,53.6,2
26,Laveranues Coles,NYJ,31,WR,16,16,116,70,60.3%,850,12.1,7,54,4.4,53.1,1
27,Owen Daniels,HOU,26,TE,16,16,101,70,69.3%,862,12.3,2,35,4.4,53.9,2
28,Randy Moss,NWE,31,WR,16,16,125,69,55.2%,1008,14.6,11,76,4.3,63.0,3
29,Terrell Owens,DAL,35,WR,16,16,140,69,49.3%,1052,15.2,10,75,4.3,65.8,1
30,Matt Jones,JAX,25,WR,12,10,107,65,60.7%,761,11.7,2,35,5.4,63.4,1
31,Muhsin Muhammad,CAR,35,WR,16,15,107,65,60.7%,923,14.2,5,60,4.1,57.7,2
32,Torry Holt,STL,32,WR,16,14,119,64,53.8%,796,12.4,3,45,4.0,49.8,0
33,Lee Evans,BUF,27,WR,16,16,102,63,61.8%,1017,16.1,3,87,3.9,63.6,2
34,Matt Forte,CHI,23,RB,16,16,76,63,82.9%,477,7.6,4,19,3.9,29.8,1
35,DeSean Jackson,PHI,22,WR,16,15,120,62,51.7%,912,14.7,2,60,3.9,57.0,4
36,Maurice Jones-Drew,JAX,23,rb,16,3,75,62,82.7%,565,9.1,2,26,3.9,35.3,6
37,Isaac Bruce,SFO,36,WR,16,15,108,61,56.5%,835,13.7,7,63,3.8,52.2,0
38,Antonio Gates,SDG,28,TE,16,16,92,60,65.2%,704,11.7,8,34,3.8,44.0,1
39,Marvin Harrison,IND,36,WR,15,15,107,60,56.1%,636,10.6,5,67,4.0,42.4,1
40,Kevin Walter,HOU,27,WR,16,16,95,60,63.2%,899,15.0,8,61,3.8,56.2,0
41,Vincent Jackson,SDG,25,WR,16,16,101,59,58.4%,1098,18.6,7,60,3.7,68.6,1
42,Kevin Faulk,NWE,32,rb,15,3,74,58,78.4%,486,8.4,3,22,3.9,32.4,0
