Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Marvin Harrison,IND,28,WR,16,16,169,102,60.4%,1413,13.9,14,78,6.4,88.3,2
2,Muhsin Muhammad,CAR,27,WR,16,16,156,102,65.4%,1183,11.6,6,36,6.4,73.9,1
3,Ed McCaffrey,DEN,32,wr,16,16,149,101,67.8%,1317,13.0,9,61,6.3,82.3,0
4,Rod Smith,DEN,30,wr,16,16,173,100,57.8%,1602,16.0,8,49,6.3,100.1,1
5,Terrell Owens,SFO,27,WR,14,13,146,97,66.4%,1451,15.0,13,69,6.9,103.6,3
6,Cris Carter,MIN,35,WR,16,16,161,96,59.6%,1274,13.3,9,53,6.0,79.6,3
7,Joe Horn,NOR,28,WR,16,16,151,94,62.3%,1340,14.3,8,52,5.9,83.8,1
8,Keenan McCardell,JAX,30,WR,16,16,140,94,67.1%,1207,12.8,5,67,5.9,75.4,3
9,Eric Moulds,BUF,27,WR,16,16,164,94,57.3%,1326,14.1,5,52,5.9,82.9,1
10,Tony Gonzalez,KAN,24,TE,16,16,150,93,62.0%,1203,12.9,9,39,5.8,75.2,0
11,Jimmy Smith,JAX,31,wr,15,14,145,91,62.8%,1213,13.3,8,65,6.1,80.9,1
12,Richie Anderson,NYJ,29,fb,16,10,125,88,70.4%,853,9.7,2,41,5.5,53.3,2
13,Isaac Bruce,STL,28,WR,16,16,135,87,64.4%,1471,16.9,9,78,5.4,91.9,1
14,Troy Brown,NWE,29,WR,16,15,119,83,69.7%,944,11.4,4,44,5.2,59.0,2
15,Torry Holt,STL,24,WR,16,15,139,82,59.0%,1635,19.9,6,85,5.1,102.2,2
16,Larry Centers,WAS,32,fb/rb,15,6,93,81,87.1%,600,7.4,3,26,5.4,40.0,1
17,Marshall Faulk,STL,27,RB,14,14,113,81,71.7%,830,10.2,8,72,5.8,59.3,0
18,Terry Glenn,NWE,26,WR,16,16,163,79,48.5%,963,12.2,6,39,4.9,60.2,0
19,Derrick Alexander,KAN,29,WR,16,16,144,78,54.2%,1391,17.8,10,81,4.9,86.9,0
20,Amani Toomer,NYG,26,WR,16,14,124,78,62.9%,1094,14.0,7,54,4.9,68.4,1
21,Randy Moss,MIN,23,WR,16,16,129,77,59.7%,1437,18.7,15,78,4.8,89.8,2
